Tempo,102
84,50,1565
82,51,1885
84,0,1911
80,43,2157
82,0,2161
80,0,2237
44,37,2468
80,62,2469
44,0,2701
51,36,2736
51,0,2995
56,43,3052
56,0,3126
51,39,3315
51,0,3367
51,36,3608
82,49,3613
80,0,3615
51,0,3887
58,24,3970
58,0,4089
63,37,4217
63,0,4259
82,0,4301
84,36,4511
53,39,4786
53,0,5064
60,36,5068
84,0,5283
65,33,5354
65,0,5583
68,40,5645
85,59,5939
68,0,6005
85,0,6223
84,49,6257
60,0,6354
84,0,6515
65,42,6549
82,48,6561
65,0,6609
60,44,6825
82,0,6828
80,54,6835
60,0,6873
80,0,7118
85,57,7135
61,44,7139
49,48,7140
49,0,7366
61,0,7383
56,36,7433
56,0,7643
61,49,7739
61,0,7799
56,46,7997
56,0,8038
85,0,8185
44,47,8313
84,56,8314
56,41,8320
56,0,8531
44,0,8541
51,36,8582
51,0,8821
56,48,8894
56,0,8942
84,0,9119
51,38,9190
82,55,9197
63,40,9200
63,0,9489
51,0,9719
58,33,9776
58,0,10016
63,39,10047
63,0,10113
82,0,10327
58,35,10359
67,41,10628
84,40,10636
84,0,10878
80,46,10891
80,0,10953
80,56,11040
67,0,11163
80,0,11313
77,49,11340
58,0,11390
63,41,11499
63,0,11551
75,44,11672
77,0,11701
75,0,11840
80,50,11849
44,47,11855
56,36,11872
44,0,12103
56,0,12104
51,32,12135
80,0,12198
51,0,12365
80,37,12418
56,40,12420
56,0,12475
51,41,12681
51,0,12741
82,48,13001
63,36,13016
80,0,13023
51,36,13026
51,0,13230
63,0,13238
58,27,13316
58,0,13471
63,44,13592
63,0,13639
82,0,13692
84,50,13874
53,38,13892
65,36,13909
65,0,14279
84,0,14473
82,51,14490
53,0,14534
82,0,14660
80,56,14750
60,35,14753
65,36,15026
65,0,15303
68,44,15342
80,0,15626
84,51,15630
68,0,15652
60,0,15703
84,0,15901
65,40,15927
82,49,15928
65,0,15971
82,0,16177
80,46,16210
80,0,16300
49,38,16497
61,40,16500
80,70,16504
49,0,16734
61,0,16748
56,33,16803
56,0,17031
61,35,17135
61,0,17172
56,44,17406
56,0,17455
80,0,17710
51,45,17714
82,56,17717
63,41,17721
63,0,17932
51,0,17938
58,36,17994
58,0,18154
63,50,18298
63,0,18354
82,0,18461
80,36,18555
44,32,18622
44,0,19097
51,41,19136
51,0,19416
56,41,19466
56,0,19530
51,37,19759
60,42,20111
80,0,20270
80,50,20367
60,0,20584
51,0,20625
56,36,20656
84,56,20667
80,0,20698
56,0,20704
84,0,20940
87,43,20959
49,46,21256
89,57,21261
87,0,21272
49,0,21542
56,39,21556
56,0,21840
61,40,21851
61,0,21950
89,0,22014
63,44,22119
63,0,22205
96,38,22422
96,0,22529
92,35,22770
92,0,22959
89,33,23039
89,0,23153
84,49,23369
49,38,23639
49,0,23810
58,40,23890
84,0,23895
82,44,23897
63,41,24168
58,0,24230
63,0,24327
67,51,24470
82,0,24676
67,0,24776
80,40,25070
63,38,25314
84,47,25338
80,0,25363
63,0,25369
87,41,25616
84,0,25622
87,0,25808
49,39,25874
89,50,25879
49,0,26129
56,33,26195
56,0,26491
61,30,26508
61,0,26621
63,37,26783
63,0,26860
89,0,26964
92,59,27077
92,0,27531
84,50,27654
84,0,27743
84,57,27933
51,36,28220
58,44,28553
51,0,28558
82,53,28565
84,0,28599
63,33,28846
63,0,29124
67,45,29159
82,0,29385
67,0,29724
80,47,29798
58,0,29835
63,41,30041
84,46,30058
80,0,30094
63,0,30097
87,48,30336
84,0,30357
87,0,30426
49,38,30618
87,33,30663
89,39,30687
87,0,30777
49,0,31002
56,35,31012
61,37,31246
56,0,31267
61,0,31439
63,39,31526
63,0,31617
89,0,31725
65,43,31809
92,51,31821
65,0,31937
92,0,32177
61,36,32366
84,37,32394
61,0,32400
84,0,32515
84,66,32668
51,44,32929
51,0,33221
58,37,33252
82,47,33255
84,0,33290
63,38,33520
63,0,33798
67,46,33831
82,0,33951
67,0,34494
58,0,34534
63,51,34733
63,0,34779
80,42,34992
80,0,35259
58,42,35284
46,43,35286
77,49,35293
80,40,35556
77,0,35576
80,0,35628
80,56,35703
58,0,36095
82,36,36118
80,0,36133
82,0,36220
82,50,36443
46,0,36583
46,46,37080
46,0,37136
82,0,37243
80,46,37377
80,0,37450
51,41,37656
63,40,37666
80,60,37668
80,0,37811
80,44,37970
63,0,38024
80,0,38160
82,36,38267
75,33,38271
75,0,38398
84,41,38559
82,0,38579
51,0,38595
84,0,38672
84,44,38882
84,0,38972
84,61,39177
84,0,39444
82,53,39474
63,38,39483
63,0,39564
80,52,39748
82,0,39781
80,0,39864
80,76,40062
44,44,40065
44,0,40303
51,39,40372
51,0,40632
56,49,40685
56,0,40749
51,38,40958
51,0,41016
80,0,41253
51,38,41261
82,49,41270
63,37,41283
51,0,41480
63,0,41516
58,35,41566
58,0,41781
63,43,41865
63,0,41911
82,0,42141
53,45,42148
84,45,42152
53,0,42672
60,36,42726
60,0,42983
65,43,43006
65,0,43069
60,40,43296
84,0,43403
85,52,43582
68,44,43595
68,0,43862
85,0,43881
84,51,43891
60,0,43972
65,41,44078
65,0,44147
84,0,44195
82,48,44205
80,51,44426
82,0,44446
49,44,44757
85,50,44771
80,0,44798
56,35,45052
49,0,45061
56,0,45295
61,51,45354
61,0,45421
56,50,45619
56,0,45651
85,0,45810
44,52,45935
84,58,45936
56,41,45944
44,0,46171
56,0,46180
51,36,46219
51,0,46424
56,45,46517
56,0,46558
84,0,46766
51,46,46800
63,43,46813
82,59,46815
63,0,47158
51,0,47247
58,38,47394
58,0,47578
63,46,47684
63,0,47735
58,31,47987
82,0,48060
84,37,48267
67,40,48274
84,0,48489
80,48,48531
80,0,48584
80,50,48681
67,0,48948
80,0,48966
77,47,48976
58,0,48998
63,46,49122
63,0,49172
75,50,49337
77,0,49400
44,47,49473
80,48,49476
75,0,49477
44,0,49741
51,36,49768
80,0,49814
51,0,49992
80,47,50058
56,41,50062
56,0,50118
51,45,50308
51,0,50373
51,37,50648
82,49,50650
63,35,50658
80,0,50674
51,0,50880
63,0,50890
58,33,50942
58,0,51092
63,48,51217
63,0,51263
82,0,51342
84,57,51512
53,40,51518
65,41,51523
65,0,51836
84,0,52031
82,39,52120
53,0,52212
82,0,52273
65,37,52376
80,50,52387
65,0,52469
53,43,52683
84,42,53330
53,0,53330
80,0,53342
65,31,53600
82,47,53609
84,0,53643
65,0,53645
82,0,53877
80,46,53883
80,0,53963
80,67,54192
61,43,54195
49,38,54198
49,0,54433
61,0,54435
56,35,54471
56,0,54718
61,49,54790
61,0,54847
56,43,55036
56,0,55091
80,0,55303
82,56,55347
51,49,55354
63,49,55369
51,0,55567
63,0,55568
58,46,55919
58,0,55964
82,0,56030
44,37,56203
56,37,56204
80,45,56206
56,0,56636
44,0,56654
51,38,56798
51,0,57044
56,43,57100
56,0,57165
51,38,57379
51,0,57634
60,44,57690
60,0,57792
51,38,57953
84,51,57965
80,0,57966
51,0,58168
56,46,58263
82,57,58270
56,0,58316
84,0,58317
51,45,58538
80,52,58565
82,0,58598
51,0,58606
80,0,58662
49,47,58889
61,43,58892
80,68,58899
61,0,59139
49,0,59380
61,41,59490
61,0,59556
49,49,59722
49,0,59778
80,0,60005
82,48,60055
51,46,60057
63,41,60061
79,48,60065
79,0,60158
63,0,60252
