Tempo,75
46,33,957
86,42,961
53,33,1174
84,46,1182
46,0,1186
86,0,1189
58,36,1389
86,47,1391
84,0,1407
58,0,1774
84,46,1781
86,0,1790
53,0,1860
81,51,2001
84,0,2020
84,50,2215
58,41,2218
81,0,2222
58,0,2263
41,41,2657
48,36,2840
41,0,2903
53,37,3046
84,0,3052
81,43,3059
48,0,3087
53,0,3184
79,44,3249
81,0,3252
55,37,3256
55,0,3371
79,0,3448
81,45,3464
81,0,3854
53,45,3874
77,40,3882
53,0,3938
79,42,4079
77,0,4093
41,40,4266
81,49,4272
79,0,4274
48,32,4464
41,0,4478
79,44,4491
81,0,4495
53,38,4660
81,48,4683
79,0,4686
53,0,4872
55,46,4876
81,0,5061
79,43,5074
55,0,5090
48,0,5131
79,0,5276
77,41,5278
79,49,5478
77,0,5492
48,36,5862
55,36,6065
48,0,6133
60,32,6256
79,0,6271
76,41,6275
76,0,6458
74,36,6464
60,0,6465
72,53,6653
74,0,6674
55,0,6733
72,0,6735
81,52,7050
60,40,7053
60,0,7108
84,46,7240
81,0,7241
46,45,7446
86,48,7450
84,0,7477
53,31,7664
84,50,7668
46,0,7668
86,0,7685
86,49,7869
58,36,7872
84,0,7894
58,0,8064
60,42,8076
53,0,8244
84,44,8265
86,0,8275
60,0,8336
81,45,8443
84,0,8456
58,39,8656
84,51,8658
81,0,8669
58,0,8710
41,41,9063
48,35,9241
41,0,9272
53,33,9439
81,38,9451
84,0,9455
53,0,9607
55,42,9628
79,41,9636
81,0,9649
79,0,9831
81,41,9845
55,0,9877
48,0,9907
53,41,10250
81,0,10256
77,41,10258
53,0,10327
79,43,10444
77,0,10457
41,36,10638
81,51,10640
79,0,10649
48,35,10817
79,42,10842
81,0,10855
41,0,10875
53,33,11029
79,0,11037
81,46,11039
53,0,11204
55,41,11231
81,0,11434
79,39,11448
48,0,11516
55,0,11519
77,42,11627
79,0,11628
77,0,11830
53,37,11832
79,36,11840
53,0,11885
48,40,12242
55,35,12457
48,0,12521
60,37,12636
79,0,12639
76,39,12655
76,0,12846
74,43,12849
60,0,12893
72,49,13041
74,0,13080
55,0,13193
60,48,13442
72,0,13451
60,0,13479
46,49,13834
74,61,13837
53,36,14039
46,0,14047
74,0,14064
77,57,14240
58,37,14252
53,0,14274
58,0,14378
60,45,14454
60,0,14551
77,0,14591
79,42,14658
79,0,15009
58,44,15011
81,49,15024
58,0,15070
72,53,15229
81,0,15252
41,39,15432
72,0,15454
72,57,15600
48,38,15613
41,0,15642
53,33,15801
72,0,15808
77,57,15811
53,0,16076
57,58,16191
79,51,16213
77,0,16235
57,0,16314
48,0,16423
79,0,16593
81,53,16602
79,52,16804
81,0,16825
48,51,17015
55,33,17213
48,0,17284
79,0,17351
60,32,17414
55,0,17600
60,0,17601
79,49,17613
62,37,17628
62,0,17817
55,32,18007
79,0,18018
79,47,18237
55,0,18279
64,41,18613
64,0,18927
55,37,18985
79,0,18991
76,40,19001
76,0,19197
74,36,19203
55,0,19306
74,0,19397
72,49,19403
60,37,19411
60,0,19479
72,0,19732
55,41,19798
55,0,19849
74,61,20202
46,51,20204
53,41,20410
46,0,20427
74,0,20456
58,43,20615
77,56,20618
53,0,20628
58,0,20716
60,40,20824
60,0,20900
77,0,20930
79,46,21016
81,53,21209
79,0,21233
58,44,21405
58,0,21455
81,0,21522
72,51,21619
41,45,21820
53,48,21829
72,0,21887
48,63,22006
72,59,22017
41,0,22034
53,0,22057
53,36,22215
77,55,22221
72,0,22237
53,0,22371
57,47,22436
77,0,22616
79,57,22634
57,0,22719
48,0,22738
53,47,23026
79,0,23027
81,56,23030
53,0,23083
81,0,23387
48,53,23409
79,61,23416
55,42,23620
48,0,23671
79,0,23810
60,33,23819
55,0,23980
60,0,23987
64,46,24008
79,52,24027
64,0,24166
55,37,24399
79,0,24484
79,44,24608
62,41,24616
55,0,24637
62,0,24908
55,40,24987
64,43,25193
79,0,25469
64,0,25564
60,36,25582
60,0,25760
64,59,25769
64,0,25938
55,0,25969
60,50,26164
81,53,26170
60,0,26220
81,0,26344
84,55,26357
86,59,26569
46,48,26579
84,0,26598
53,36,26772
46,0,26807
58,35,26989
53,0,27023
58,0,27101
86,0,27165
60,49,27171
88,57,27187
60,0,27333
86,59,27388
88,0,27411
86,0,27574
84,62,27587
58,50,27760
58,0,27815
84,0,27955
81,58,27958
41,48,28168
48,40,28388
41,0,28396
53,41,28592
81,0,28630
53,0,28722
57,50,28791
81,61,29000
81,0,29091
57,0,29188
48,0,29244
81,70,29291
81,0,29371
53,49,29450
53,0,29498
81,61,29617
81,0,29694
48,57,29839
81,70,29843
60,46,29844
55,60,30011
48,0,30045
60,0,30051
60,44,30252
60,0,30385
64,38,30434
81,0,30436
79,58,30451
55,0,30475
64,0,30753
55,38,30862
60,41,31059
55,0,31083
60,0,31239
55,35,31467
62,42,31659
55,0,31667
62,0,31856
55,33,32064
79,0,32252
55,0,32269
64,47,32272
64,0,32398
81,54,32622
55,35,32628
55,0,32684
81,0,32811
84,53,32835
46,41,33028
86,57,33030
84,0,33054
53,36,33222
46,0,33269
58,33,33445
53,0,33467
58,0,33571
60,45,33610
86,0,33614
88,55,33618
86,62,33820
88,0,33851
60,0,33854
86,0,34017
84,59,34026
58,49,34198
