Tempo,118
76,50,3673
77,46,3939
76,0,3958
79,50,4209
77,0,4243
84,46,4446
79,0,4451
41,41,4669
86,56,4917
48,36,4927
84,0,4928
41,0,4954
84,51,5159
48,0,5171
53,35,5188
86,0,5210
53,0,5337
84,0,5389
55,38,5410
55,0,5646
57,33,5680
84,57,5694
84,0,5996
83,60,6022
57,0,6025
79,51,6397
83,0,6400
36,44,6679
77,51,6684
79,0,6688
43,37,6922
36,0,6978
76,51,7180
48,35,7183
43,0,7184
77,0,7219
48,0,7360
50,32,7433
50,0,7714
52,35,7729
77,49,7751
76,0,7752
77,0,7978
76,52,8005
52,0,8143
76,0,8220
55,36,8236
72,45,8241
55,0,8304
72,0,8485
77,51,8501
45,39,8736
52,41,8980
77,0,8994
76,50,8997
45,0,9054
57,41,9243
52,0,9255
57,0,9414
59,47,9468
74,50,9474
76,0,9488
59,0,9585
74,0,9966
72,41,9994
60,46,10217
76,53,10225
72,0,10231
60,0,10275
76,0,10496
74,53,10499
43,41,10749
50,35,11030
43,0,11081
55,35,11276
74,0,11342
55,0,11520
57,40,11536
57,0,11628
59,38,11785
76,57,11786
59,0,12052
77,61,12148
76,0,12181
50,0,12249
55,47,12291
55,0,12361
79,61,12500
77,0,12551
41,41,12776
79,0,12784
84,46,12789
48,42,13026
86,50,13039
84,0,13049
41,0,13096
84,56,13277
53,35,13292
48,0,13303
86,0,13316
53,0,13487
84,0,13497
55,43,13525
55,0,13603
57,42,13783
84,57,13794
57,0,13936
84,0,14052
83,60,14149
53,43,14275
53,0,14338
79,57,14492
83,0,14498
36,37,14774
77,51,14787
79,0,14791
43,33,15028
36,0,15050
48,36,15314
43,0,15319
48,0,15451
76,57,15569
50,37,15571
77,0,15613
50,0,15813
52,36,15829
76,0,16050
77,47,16053
77,0,16313
55,42,16330
76,53,16339
52,0,16344
55,0,16406
76,0,16571
72,44,16601
72,0,16757
45,50,16849
77,58,16855
52,35,17114
45,0,17188
77,0,17339
57,44,17352
76,56,17365
57,0,17563
59,37,17609
59,0,17710
74,53,17876
60,41,17878
76,0,17883
60,0,17996
52,0,18141
74,0,18222
72,51,18248
57,43,18377
57,0,18448
76,50,18600
72,0,18602
43,28,18941
76,0,18947
74,48,18958
50,33,19209
43,0,19263
55,33,19453
55,0,19668
57,33,19712
57,0,19801
59,39,19956
74,0,20137
59,0,20142
76,41,20189
76,0,20259
50,0,20286
55,40,20417
76,44,20436
55,0,20487
76,0,20680
74,42,20692
74,0,20855
76,35,20942
53,38,20946
41,40,20951
76,0,21177
53,0,21262
76,41,21448
76,0,21540
53,32,21711
76,57,21991
76,0,22098
41,0,22210
53,0,22226
76,53,22313
53,49,22473
41,41,22477
53,0,22546
41,0,22555
74,42,22680
76,0,22680
74,0,22928
36,33,22972
76,44,22973
48,38,22976
76,0,23282
48,0,23448
76,43,23494
76,0,23566
48,43,23694
76,58,23999
76,0,24082
36,0,24257
48,0,24261
76,50,24326
36,46,24493
48,45,24496
36,0,24562
48,0,24569
76,0,24693
74,47,24697
74,0,24933
76,46,24968
45,40,24977
72,49,24979
57,43,24989
72,0,25230
76,0,25281
57,0,25469
76,41,25525
76,0,25673
57,35,25753
76,62,26066
76,0,26148
45,0,26187
57,0,26221
76,63,26371
45,49,26517
45,0,26597
76,0,26702
74,47,26750
71,48,26756
74,0,26830
71,0,26847
43,48,27012
74,60,27021
55,42,27024
55,0,27427
74,0,27454
76,37,28319
76,0,28372
43,0,28469
55,44,28543
76,62,28562
55,0,28603
76,0,28826
74,49,28846
74,0,28938
76,46,29078
41,43,29081
53,48,29083
72,49,29084
72,0,29317
76,0,29333
53,0,29430
76,48,29603
72,48,29604
76,0,29672
72,0,29685
53,32,29823
