Tempo,118
84,50,3673
85,46,3939
84,0,3958
87,50,4209
85,0,4243
92,46,4446
87,0,4451
49,41,4669
94,56,4917
56,36,4927
92,0,4928
49,0,4954
92,51,5159
56,0,5171
61,35,5188
94,0,5210
61,0,5337
92,0,5389
63,38,5410
63,0,5646
65,33,5680
92,57,5694
92,0,5996
91,60,6022
65,0,6025
87,51,6397
91,0,6400
44,44,6679
85,51,6684
87,0,6688
51,37,6922
44,0,6978
84,51,7180
56,35,7183
51,0,7184
85,0,7219
56,0,7360
58,32,7433
58,0,7714
60,35,7729
85,49,7751
84,0,7752
85,0,7978
84,52,8005
60,0,8143
84,0,8220
63,36,8236
80,45,8241
63,0,8304
80,0,8485
85,51,8501
53,39,8736
60,41,8980
85,0,8994
84,50,8997
53,0,9054
65,41,9243
60,0,9255
65,0,9414
67,47,9468
82,50,9474
84,0,9488
67,0,9585
82,0,9966
80,41,9994
68,46,10217
84,53,10225
80,0,10231
68,0,10275
84,0,10496
82,53,10499
51,41,10749
58,35,11030
51,0,11081
63,35,11276
82,0,11342
63,0,11520
65,40,11536
65,0,11628
67,38,11785
84,57,11786
67,0,12052
85,61,12148
84,0,12181
58,0,12249
63,47,12291
63,0,12361
87,61,12500
85,0,12551
49,41,12776
87,0,12784
92,46,12789
56,42,13026
94,50,13039
92,0,13049
49,0,13096
92,56,13277
61,35,13292
56,0,13303
94,0,13316
61,0,13487
92,0,13497
63,43,13525
63,0,13603
65,42,13783
92,57,13794
65,0,13936
92,0,14052
91,60,14149
61,43,14275
61,0,14338
87,57,14492
91,0,14498
44,37,14774
85,51,14787
87,0,14791
51,33,15028
44,0,15050
56,36,15314
51,0,15319
56,0,15451
84,57,15569
58,37,15571
85,0,15613
58,0,15813
60,36,15829
84,0,16050
85,47,16053
85,0,16313
63,42,16330
84,53,16339
60,0,16344
63,0,16406
84,0,16571
80,44,16601
80,0,16757
53,50,16849
85,58,16855
60,35,17114
53,0,17188
85,0,17339
65,44,17352
84,56,17365
65,0,17563
67,37,17609
67,0,17710
82,53,17876
68,41,17878
84,0,17883
68,0,17996
60,0,18141
82,0,18222
80,51,18248
65,43,18377
65,0,18448
84,50,18600
80,0,18602
51,28,18941
84,0,18947
82,48,18958
58,33,19209
51,0,19263
63,33,19453
63,0,19668
65,33,19712
65,0,19801
67,39,19956
82,0,20137
67,0,20142
84,41,20189
84,0,20259
58,0,20286
63,40,20417
84,44,20436
63,0,20487
84,0,20680
82,42,20692
82,0,20855
84,35,20942
61,38,20946
49,40,20951
84,0,21177
