Tempo,70
85,49,1539
89,45,1743
97,67,1975
85,0,1977
58,67,1984
89,0,1990
61,49,2425
97,0,2427
96,44,2443
97,49,2643
96,0,2740
70,63,2846
85,49,3046
97,0,3186
70,0,3228
96,57,3262
65,62,3264
61,0,3325
58,0,3332
65,0,3347
97,57,3467
96,0,3540
85,0,3601
54,52,3680
85,35,3897
97,0,4073
58,55,4075
92,42,4105
97,55,4297
92,0,4317
85,0,4341
61,58,4528
85,49,4720
66,63,4926
85,0,4943
90,51,4959
58,0,4981
97,0,5024
66,0,5078
61,0,5095
54,0,5109
85,54,5112
90,0,5130
89,62,5349
49,73,5372
85,0,5465
90,50,5813
53,49,5824
89,0,5868
56,62,6260
92,47,6283
89,55,6662
49,0,6664
53,0,6683
61,69,6692
92,0,6706
90,0,6709
56,0,6720
89,0,6847
85,43,6857
61,0,7059
87,53,7091
56,63,7098
85,0,7155
87,0,7526
60,40,7529
63,51,7947
68,59,8361
85,49,8363
56,0,8386
60,0,8418
63,0,8434
89,46,8611
68,0,8759
58,57,8810
97,57,8819
85,0,8842
89,0,8859
97,0,9247
61,51,9265
96,46,9288
97,36,9467
96,0,9571
70,54,9693
85,45,9894
97,0,10025
61,0,10056
70,0,10070
65,63,10113
96,49,10128
58,0,10175
65,0,10211
97,63,10361
96,0,10426
85,0,10512
54,62,10547
85,45,10769
58,50,10976
97,0,11004
92,41,11021
97,55,11202
85,0,11203
92,0,11358
61,62,11414
85,46,11616
97,0,11819
66,60,11839
90,54,11840
85,0,11870
58,0,11938
54,0,11952
61,0,11955
66,0,11964
85,48,12022
90,0,12071
49,77,12262
89,62,12268
85,0,12385
53,48,12704
90,52,12742
89,0,12801
56,62,13131
92,64,13149
49,0,13174
90,0,13242
53,0,13577
89,53,13579
61,60,13581
56,0,13625
92,0,13634
89,0,13758
85,51,13766
61,0,13978
56,62,14001
87,45,14005
85,0,14062
60,44,14419
63,57,14841
68,58,15248
56,0,15259
85,54,15268
60,0,15274
63,0,15311
87,0,15327
84,45,15481
85,0,15545
84,0,15680
85,49,15681
58,57,15682
68,0,15715
61,59,16136
70,58,16539
80,46,16738
85,0,16783
70,0,16918
85,48,16977
65,55,16990
61,0,17038
58,0,17046
80,0,17171
87,43,17188
65,0,17189
85,0,17306
89,46,17385
87,0,17416
54,53,17421
58,44,17843
61,51,18227
80,51,18462
89,0,18554
66,61,18687
89,55,18703
54,0,18813
61,0,18829
58,0,18830
66,0,18834
90,61,18902
92,66,19080
89,0,19113
49,72,19121
90,0,19126
80,0,19192
53,49,19528
56,60,19974
80,46,20183
92,0,20321
49,0,20391
87,54,20393
61,62,20411
53,0,20429
56,0,20460
90,84,20474
89,36,20481
87,0,20505
89,0,20506
89,58,20663
90,0,20723
80,0,20754
87,63,20863
56,60,20870
89,0,20878
61,0,20897
60,53,21257
87,0,21372
63,63,21730
68,60,22141
56,0,22206
60,0,22272
63,0,22299
85,42,22376
89,37,22448
68,0,22537
58,64,22543
85,0,22558
97,59,22559
89,0,22597
97,0,22961
96,46,22985
61,55,22991
97,57,23184
96,0,23232
70,62,23427
85,46,23617
97,0,23734
70,0,23824
96,55,23832
65,69,23835
61,0,23903
58,0,23917
65,0,23988
97,58,24039
96,0,24097
85,0,24225
54,54,24267
85,38,24481
61,60,24702
97,0,24706
92,45,24716
85,0,24862
97,53,24911
66,46,25137
85,46,25335
92,0,25386
97,0,25487
90,53,25558
58,64,25565
85,0,25612
66,0,25628
61,0,25661
54,0,25675
58,0,25732
85,49,25753
90,0,25803
89,51,25968
49,62,25989
85,0,26086
53,52,26396
90,46,26439
89,0,26527
56,58,26843
92,61,26852
90,0,27038
49,0,27266
89,53,27286
53,0,27287
61,58,27292
56,0,27313
92,0,27348
85,40,27492
89,0,27503
56,64,27727
87,46,27731
61,0,27787
85,0,27797
63,52,28169
87,0,28258
68,53,28579
85,42,28990
60,57,28998
68,0,29067
56,0,29077
63,0,29136
89,44,29209
97,53,29406
85,0,29415
58,54,29416
89,0,29423
60,0,29443
97,0,29834
61,52,29845
96,45,29868
97,49,30043
96,0,30118
70,55,30276
85,38,30487
97,0,30611
70,0,30665
96,50,30703
65,52,30723
61,0,30768
58,0,30784
97,61,30918
65,0,30930
96,0,30986
85,0,31080
54,52,31143
85,51,31343
58,49,31551
92,48,31556
97,0,31567
85,0,31688
97,48,31755
92,0,31842
61,60,31974
85,42,32183
97,0,32271
90,53,32397
66,60,32446
85,0,32449
54,0,32531
58,0,32548
61,0,32562
66,0,32598
85,54,32599
90,0,32648
89,67,32804
49,66,32834
85,0,32915
53,51,33259
90,53,33266
89,0,33330
56,58,33674
92,53,33694
49,0,33913
89,57,34111
53,0,34118
61,62,34123
92,0,34156
90,0,34158
56,0,34167
