Tempo,80
41,44,847
41,0,1080
48,32,1083
53,33,1272
48,0,1321
53,0,1452
55,39,1477
55,0,1653
71,47,1700
72,41,1945
71,0,1956
53,39,2107
53,0,2163
72,0,2275
71,46,2293
71,0,2484
43,41,2488
69,57,2493
50,33,2706
43,0,2716
55,36,2883
69,0,2888
67,48,2901
55,0,3195
50,0,3254
71,50,3289
67,0,3322
72,47,3512
71,0,3534
55,45,3666
55,0,3722
71,53,3826
72,0,3831
71,0,4036
36,38,4042
67,46,4043
43,38,4235
36,0,4270
48,31,4422
48,0,4602
52,33,4610
52,0,4916
48,31,5002
55,39,5236
48,0,5321
67,0,5486
55,0,5596
67,47,5939
67,0,6012
52,39,6296
64,35,6319
52,0,6419
43,0,6429
64,0,6486
62,49,6520
48,37,6675
48,0,6720
60,45,6832
62,0,6862
41,41,7006
60,0,7135
48,33,7208
41,0,7212
53,33,7379
48,0,7418
53,0,7520
55,42,7567
55,0,7659
71,44,7755
72,40,7979
71,0,7991
53,43,8125
53,0,8185
72,0,8281
71,53,8302
43,41,8486
69,56,8499
71,0,8500
50,31,8693
43,0,8720
55,36,8863
69,0,8877
67,47,8882
55,0,9013
59,32,9090
59,0,9225
71,46,9243
67,0,9281
50,0,9309
72,46,9443
71,0,9474
55,41,9603
55,0,9667
71,51,9766
72,0,9766
71,0,9951
67,53,9960
36,33,9968
43,33,10150
36,0,10198
48,29,10358
48,0,10517
52,40,10532
43,0,10591
52,0,10780
67,0,10849
43,37,10875
67,46,11069
67,0,11173
43,0,11347
67,63,11414
52,42,11420
67,0,11553
52,0,11583
67,59,11808
67,0,11943
48,40,11991
48,0,12106
67,62,12170
69,61,12376
67,0,12408
43,40,12532
43,0,12596
69,0,12694
72,61,12717
41,48,12918
48,44,13109
41,0,13131
72,0,13179
53,35,13307
48,0,13311
53,0,13418
55,37,13482
76,51,13652
57,36,13665
55,0,13671
57,0,13843
77,46,13903
76,0,13905
60,44,14064
60,0,14113
77,0,14223
76,52,14240
43,43,14407
76,0,14424
74,57,14431
50,36,14618
43,0,14651
74,0,14814
55,36,14816
72,48,14820
55,0,14953
72,0,15151
76,42,15156
50,0,15246
77,48,15384
76,0,15413
55,46,15515
55,0,15570
76,46,15682
77,0,15690
76,0,15867
72,51,15886
36,39,15909
43,33,16072
36,0,16118
72,0,16227
48,36,16274
48,0,16410
52,48,16464
72,46,16491
43,0,16559
52,0,16666
72,0,16795
43,40,16815
72,52,17035
72,0,17110
55,44,17382
72,56,17396
71,51,17400
71,0,17447
72,0,17451
55,0,17594
72,53,17784
72,0,17881
48,37,17964
72,71,18157
48,0,18166
43,0,18287
74,49,18359
72,0,18390
52,44,18505
52,0,18576
76,51,18694
74,0,18718
41,41,18878
48,35,19064
41,0,19106
76,0,19209
53,32,19286
53,0,19407
55,43,19434
76,56,19632
55,0,19704
48,0,19720
77,53,19851
76,0,19862
53,41,20015
53,0,20060
76,53,20195
77,0,20212
43,46,20373
76,0,20380
74,57,20388
50,33,20593
43,0,20619
55,39,20765
74,0,20769
72,43,20777
72,0,20929
55,0,20935
59,37,20974
74,36,21102
59,0,21107
76,51,21143
74,0,21166
50,0,21280
77,65,21425
76,0,21560
55,45,21630
55,0,21703
76,60,21716
77,0,21738
76,0,21907
72,41,21921
48,41,21933
55,36,22134
48,0,22226
72,0,22279
60,35,22313
72,53,22500
60,0,22521
55,0,22584
55,33,22829
72,0,22833
72,47,23034
60,33,23418
72,0,23555
60,0,23870
55,0,24127
60,44,24180
60,0,24252
55,46,24515
55,0,24550
41,58,24915
53,39,24927
72,44,25287
53,0,25309
72,0,25373
53,36,25562
72,60,25675
53,0,25799
41,0,25802
71,52,25866
72,0,25897
41,40,26042
71,0,26052
41,0,26117
71,59,26228
71,0,26293
43,59,26404
55,48,26409
71,70,26411
55,0,26643
71,0,26750
69,51,26786
69,0,26871
55,60,26937
43,0,27034
69,71,27149
55,0,27155
69,0,27467
43,38,27495
67,55,27506
43,0,27561
67,0,27598
48,57,27865
36,56,27867
67,60,27878
48,0,28136
67,0,28276
69,42,28293
69,0,28366
36,0,28416
48,50,28433
48,0,28528
64,59,28633
64,0,28720
36,41,28994
67,53,29009
36,0,29057
67,0,29084
45,50,29368
57,48,29373
67,57,29378
57,0,29578
69,57,29583
67,0,29596
69,0,29900
64,57,29951
64,0,30024
45,0,30103
57,55,30123
57,0,30217
69,53,30308
45,48,30478
45,0,30550
69,0,30611
71,52,30653
71,0,30720
41,53,30839
71,70,30848
72,50,31021
71,0,31037
72,0,31126
41,0,31185
72,64,31228
72,0,31337
48,37,31399
48,0,31592
72,70,31599
71,57,31783
72,0,31797
71,0,31945
53,38,31970
53,0,32045
71,60,32138
71,0,32224
71,75,32331
43,49,32333
43,0,32672
71,0,32708
69,51,32734
69,0,32840
50,36,32893
50,0,33015
69,73,33116
69,0,33496
55,46,33504
67,57,33506
55,0,33557
67,0,33594
36,46,33889
67,60,33897
36,0,34140
43,40,34236
67,0,34240
69,52,34254
43,0,34452
69,0,34575
64,53,34633
48,45,34645
48,0,34709
43,41,34997
64,0,35041
43,0,35068
67,48,35176
67,0,35263
45,44,35363
57,49,35372
67,70,35373
67,0,35558
57,0,35661
69,52,35774
69,0,35847
57,50,35929
45,0,36128
57,0,36128
72,70,36137
72,0,36264
45,50,36500
74,57,36514
45,0,36558
41,67,36908
48,41,37107
41,0,37154
74,0,37214
53,39,37316
48,0,37350
53,0,37429
55,51,37503
55,0,37584
76,59,37704
79,59,37907
76,0,37921
53,47,38082
53,0,38134
79,0,38238
72,55,38248
72,0,38332
43,57,38420
72,76,38433
72,0,38623
43,0,38698
72,53,38802
72,0,38936
43,59,38953
43,0,39115
76,48,39126
74,55,39343
76,0,39352
43,51,39484
43,0,39553
74,0,39645
72,61,39664
36,46,39852
43,30,40058
36,0,40082
48,37,40264
72,0,40335
48,0,40397
52,52,40457
76,61,40644
52,0,40711
43,0,40722
79,59,40854
76,0,40875
48,42,41020
48,0,41062
79,0,41188
72,51,41193
72,0,41278
45,51,41379
72,75,41391
72,0,41615
45,0,41718
72,51,41789
72,0,41895
52,36,41954
76,59,42134
52,0,42153
74,33,42354
76,0,42372
57,49,42525
57,0,42588
74,0,42709
72,56,42712
41,49,42908
48,39,43099
41,0,43165
53,33,43298
72,0,43412
53,0,43434
55,44,43474
55,0,43590
76,58,43669
48,0,43736
79,57,43876
76,0,43886
53,47,44036
53,0,44083
79,0,44177
72,48,44218
72,0,44301
43,52,44391
72,68,44393
55,54,44395
72,0,44615
55,0,44709
43,0,44735
72,62,44797
72,0,44906
55,53,44957
43,59,44958
55,0,45120
76,52,45136
43,0,45148
76,0,45321
74,58,45336
43,50,45496
55,48,45501
55,0,45562
43,0,45583
72,57,45698
74,0,45707
36,56,45873
43,35,46067
36,0,46097
48,30,46278
48,0,46434
52,47,46463
72,0,46550
52,0,46760
72,47,46834
72,0,46909
48,47,47033
72,78,47045
72,0,47132
72,63,47243
48,0,47265
72,0,47367
50,51,47409
71,67,47412
71,0,47579
72,56,47621
50,0,47647
72,0,47704
72,69,47818
43,0,47911
72,0,47979
48,43,47992
71,54,47997
48,0,48118
71,0,48126
72,90,48222
72,0,48338
72,58,48407
72,0,48532
48,49,48583
48,0,48639
41,49,48942
74,68,48944
74,0,49116
76,52,49125
41,0,49294
76,0,49315
72,66,49318
48,48,49484
72,0,49624
67,59,49675
48,0,49676
67,0,49970
53,46,50049
53,0,50101
71,50,50406
43,51,50408
55,44,50411
71,0,50598
72,47,50602
55,0,50669
43,0,50695
72,0,50696
72,67,50801
72,0,50974
43,52,50979
55,49,50988
71,51,50993
55,0,51115
43,0,51132
71,0,51186
72,41,51191
72,0,51272
72,60,51379
72,0,51479
43,48,51537
55,46,51539
55,0,51596
43,0,51620
74,51,51920
36,51,51922
76,50,52096
43,33,52101
74,0,52111
36,0,52128
48,36,52282
72,57,52290
76,0,52312
48,0,52439
52,44,52477
52,0,52652
72,0,52654
67,48,52670
43,0,52717
67,0,52994
48,40,53022
48,0,53071
57,44,53379
45,46,53382
71,50,53398
72,41,53592
71,0,53605
72,0,53690
57,0,53707
45,0,53758
72,59,53786
45,56,53945
72,0,53946
57,44,53953
71,48,53963
72,47,54146
71,0,54173
57,0,54186
45,0,54193
72,0,54251
72,55,54322
72,0,54428
45,53,54521
57,46,54525
57,0,54590
45,0,54607
41,49,54888
74,48,54892
76,46,55062
74,0,55080
41,0,55253
72,57,55266
76,0,55293
48,37,55441
72,0,55608
67,36,55626
48,0,55628
53,43,56012
53,0,56074
67,0,56244
55,44,56395
43,47,56397
71,50,56399
72,42,56571
71,0,56580
72,0,56662
55,0,56682
72,63,56768
72,0,56927
55,35,56943
71,49,56945
43,0,57041
72,44,57134
71,0,57149
55,0,57167
72,0,57227
72,63,57323
43,41,57495
43,0,57570
36,56,57902
72,0,58174
36,0,58188
43,47,58447
43,0,58616
76,53,58629
79,54,58827
76,0,58839
48,47,59020
48,0,59074
79,0,59174
72,49,59183
72,0,59269
45,45,59370
72,62,59372
72,0,59594
72,45,59758
45,0,59780
72,0,59891
52,38,59912
76,50,60085
52,0,60160
74,45,60308
76,0,60351
57,45,60480
57,0,60530
72,56,60647
74,0,60656
72,0,60855
76,44,60859
41,39,60867
41,0,61209
48,37,61227
48,0,61500
76,0,61507
74,47,61608
53,41,61619
53,0,61682
48,40,61958
48,0,62016
74,0,62114
79,50,62121
72,52,62316
43,45,62324
55,45,62327
79,0,62341
72,0,62535
55,0,62682
43,0,62725
72,35,62747
72,0,62862
43,48,62876
55,38,62884
76,44,63077
55,0,63162
43,0,63167
74,42,63268
76,0,63277
43,41,63420
43,0,63508
72,46,63634
74,0,63636
36,45,63830
48,42,63861
48,0,63932
72,0,64291
48,48,64399
76,44,64607
36,0,64634
48,0,64661
79,48,64804
76,0,64819
36,38,64977
48,33,64997
36,0,65055
48,0,65078
72,48,65165
79,0,65184
72,0,65258
45,36,65372
57,36,65374
72,64,65384
72,0,65610
57,0,65735
72,44,65775
72,0,65883
57,35,65917
74,35,66111
76,51,66145
74,0,66184
57,0,66213
45,0,66252
74,55,66330
76,0,66369
45,46,66510
45,0,66592
74,0,66684
72,57,66687
53,49,66880
41,50,66887
76,52,66890
72,0,66894
53,0,67226
76,0,67439
53,40,67478
74,51,67665
41,0,67666
53,0,67707
41,42,68029
53,42,68037
41,0,68101
53,0,68109
74,0,68202
79,41,68228
55,48,68370
43,66,68377
72,52,68385
79,0,68411
72,0,68582
55,0,68706
43,0,68708
72,33,68781
72,0,68897
43,55,68942
55,46,68947
76,50,69137
55,0,69138
43,0,69165
76,0,69310
74,52,69331
55,49,69484
43,41,69493
55,0,69554
43,0,69579
74,0,69674
72,57,69683
48,35,69872
36,42,69873
43,35,70065
48,0,70089
36,0,70096
48,40,70278
48,0,70460
52,32,70477
72,0,70518
52,0,70784
72,43,70859
72,0,70929
48,39,71052
72,62,71059
72,0,71141
72,50,71258
48,0,71362
72,0,71405
50,46,71416
71,60,71418
71,0,71599
72,42,71636
72,0,71696
50,0,71728
72,58,71828
48,38,71977
71,57,71987
72,0,71999
71,0,72161
72,56,72196
48,0,72208
72,0,72280
72,65,72381
43,0,72384
72,0,72552
48,47,72568
48,0,72621
74,69,72934
41,57,72936
76,51,73106
74,0,73113
48,36,73128
41,0,73171
72,59,73300
76,0,73304
53,33,73343
53,0,73475
55,39,73519
72,0,73666
67,55,73698
55,0,73710
48,0,73729
53,32,74086
53,0,74156
43,43,74404
71,50,74417
67,0,74452
72,41,74597
50,33,74606
71,0,74622
43,0,74704
72,0,74710
72,61,74792
72,0,74973
71,49,74975
71,0,75140
55,41,75143
72,56,75145
72,0,75246
50,0,75326
72,60,75341
55,0,75354
72,0,75502
50,37,75536
50,0,75583
48,41,75897
36,41,75899
74,51,75901
36,0,76081
43,36,76087
76,50,76092
48,0,76101
74,0,76110
48,35,76274
72,50,76281
76,0,76307
48,0,76445
52,42,76478
72,0,76638
52,0,76658
67,51,76661
43,0,76704
67,0,76928
48,38,77042
48,0,77107
45,46,77403
71,44,77417
72,37,77597
52,46,77605
71,0,77621
72,0,77718
72,60,77796
57,41,77806
72,0,77977
71,46,77982
57,0,78102
71,0,78123
72,51,78171
52,0,78186
45,0,78304
72,0,78310
72,58,78349
52,50,78542
52,0,78606
72,0,78647
74,41,78915
41,43,78917
74,0,79072
76,50,79085
72,41,79275
76,0,79285
41,0,79410
48,44,79436
72,0,79633
67,47,79652
48,0,79684
53,46,80030
53,0,80083
67,0,80216
43,44,80407
55,47,80408
71,51,80412
72,44,80602
71,0,80630
55,0,80691
72,0,80704
72,57,80807
55,45,80972
72,0,80977
71,51,80981
72,45,81169
71,0,81176
43,0,81249
55,0,81254
72,0,81271
72,50,81362
43,43,81546
43,0,81611
72,0,81660
48,43,81879
36,56,81887
48,0,82170
48,36,82433
36,0,82607
76,44,82623
48,0,82649
79,51,82819
76,0,82822
36,38,82994
48,47,83008
36,0,83048
48,0,83067
72,51,83178
79,0,83188
72,0,83265
45,57,83356
57,46,83358
72,61,83371
72,0,83610
57,0,83723
72,49,83772
72,0,83903
57,38,83917
76,49,84117
57,0,84180
45,0,84211
74,76,84372
76,0,84412
45,46,84527
45,0,84613
72,53,84679
74,0,84692
72,0,84856
53,43,84863
41,47,84871
76,49,84872
53,0,85174
53,41,85446
76,0,85532
74,57,85633
41,0,85667
53,0,85688
41,46,86011
41,0,86092
74,0,86160
79,48,86189
55,42,86367
72,54,86368
43,47,86370
79,0,86381
72,0,86559
55,0,86667
43,0,86702
72,47,86744
72,0,86856
43,52,86895
55,37,86911
76,47,87102
43,0,87118
55,0,87127
76,0,87278
74,56,87294
43,46,87439
55,44,87443
55,0,87505
43,0,87528
74,0,87626
72,57,87637
48,40,87819
36,54,87821
48,0,88113
72,0,88283
48,37,88426
76,44,88636
48,0,88637
36,0,88642
79,50,88817
76,0,88822
36,39,88996
48,38,89016
36,0,89054
48,0,89072
72,49,89209
79,0,89231
72,0,89294
57,35,89404
45,41,89406
72,56,89412
72,0,89626
57,0,89697
72,41,89779
72,0,89916
57,26,89951
76,35,90134
57,0,90196
45,0,90222
74,35,90328
76,0,90334
45,43,90492
45,0,90567
74,0,90665
72,44,90680
72,0,90775
53,37,90870
41,46,90872
76,57,90886
53,0,91150
53,36,91440
76,0,91534
74,52,91640
41,0,91687
53,0,91689
41,45,92018
53,46,92019
53,0,92079
41,0,92081
79,46,92191
74,0,92193
43,54,92363
55,42,92370
72,49,92373
79,0,92412
72,0,92577
55,0,92646
72,40,92772
72,0,92876
55,40,92896
76,47,93121
55,0,93171
43,0,93191
76,0,93301
74,49,93308
43,40,93478
43,0,93547
74,0,93689
72,49,93691
36,41,93872
48,44,93878
48,0,94215
72,0,94592
48,44,94640
36,0,94655
48,0,94987
36,40,95019
48,46,95425
36,0,95951
48,0,95985
