Tempo,80
50,44,847
50,0,1080
57,32,1083
62,33,1272
57,0,1321
62,0,1452
64,39,1477
64,0,1653
80,47,1700
81,41,1945
80,0,1956
62,39,2107
62,0,2163
81,0,2275
80,46,2293
80,0,2484
52,41,2488
78,57,2493
59,33,2706
52,0,2716
64,36,2883
78,0,2888
76,48,2901
64,0,3195
59,0,3254
80,50,3289
76,0,3322
81,47,3512
80,0,3534
64,45,3666
64,0,3722
80,53,3826
81,0,3831
80,0,4036
45,38,4042
76,46,4043
52,38,4235
45,0,4270
57,31,4422
57,0,4602
61,33,4610
61,0,4916
57,31,5002
64,39,5236
57,0,5321
76,0,5486
64,0,5596
76,47,5939
76,0,6012
61,39,6296
73,35,6319
61,0,6419
52,0,6429
73,0,6486
71,49,6520
57,37,6675
57,0,6720
69,45,6832
71,0,6862
50,41,7006
69,0,7135
57,33,7208
50,0,7212
62,33,7379
57,0,7418
62,0,7520
64,42,7567
64,0,7659
80,44,7755
81,40,7979
80,0,7991
62,43,8125
62,0,8185
81,0,8281
80,53,8302
52,41,8486
78,56,8499
80,0,8500
59,31,8693
52,0,8720
64,36,8863
78,0,8877
76,47,8882
64,0,9013
68,32,9090
68,0,9225
80,46,9243
76,0,9281
59,0,9309
81,46,9443
80,0,9474
64,41,9603
64,0,9667
80,51,9766
81,0,9766
80,0,9951
76,53,9960
45,33,9968
52,33,10150
45,0,10198
57,29,10358
57,0,10517
61,40,10532
52,0,10591
61,0,10780
76,0,10849
52,37,10875
76,46,11069
76,0,11173
52,0,11347
76,63,11414
61,42,11420
76,0,11553
61,0,11583
76,59,11808
76,0,11943
57,40,11991
57,0,12106
76,62,12170
78,61,12376
76,0,12408
52,40,12532
52,0,12596
78,0,12694
81,61,12717
50,48,12918
57,44,13109
50,0,13131
81,0,13179
62,35,13307
57,0,13311
62,0,13418
64,37,13482
85,51,13652
66,36,13665
64,0,13671
66,0,13843
86,46,13903
85,0,13905
69,44,14064
69,0,14113
86,0,14223
85,52,14240
52,43,14407
85,0,14424
83,57,14431
59,36,14618
52,0,14651
83,0,14814
64,36,14816
81,48,14820
64,0,14953
81,0,15151
85,42,15156
59,0,15246
86,48,15384
85,0,15413
64,46,15515
64,0,15570
85,46,15682
86,0,15690
85,0,15867
81,51,15886
45,39,15909
52,33,16072
45,0,16118
81,0,16227
57,36,16274
57,0,16410
61,48,16464
81,46,16491
52,0,16559
61,0,16666
81,0,16795
52,40,16815
81,52,17035
81,0,17110
64,44,17382
81,56,17396
80,51,17400
80,0,17447
81,0,17451
64,0,17594
81,53,17784
81,0,17881
57,37,17964
81,71,18157
57,0,18166
52,0,18287
83,49,18359
81,0,18390
61,44,18505
61,0,18576
85,51,18694
83,0,18718
50,41,18878
57,35,19064
50,0,19106
85,0,19209
62,32,19286
62,0,19407
64,43,19434
85,56,19632
64,0,19704
57,0,19720
86,53,19851
85,0,19862
62,41,20015
62,0,20060
85,53,20195
86,0,20212
52,46,20373
85,0,20380
83,57,20388
59,33,20593
52,0,20619
64,39,20765
83,0,20769
81,43,20777
81,0,20929
64,0,20935
68,37,20974
83,36,21102
68,0,21107
85,51,21143
83,0,21166
59,0,21280
86,65,21425
85,0,21560
64,45,21630
64,0,21703
85,60,21716
86,0,21738
85,0,21907
81,41,21921
57,41,21933
64,36,22134
57,0,22226
81,0,22279
69,35,22313
81,53,22500
69,0,22521
64,0,22584
64,33,22829
81,0,22833
81,47,23034
69,33,23418
81,0,23555
69,0,23870
64,0,24127
69,44,24180
69,0,24252
64,46,24515
64,0,24550
50,58,24915
62,39,24927
81,44,25287
62,0,25309
81,0,25373
62,36,25562
81,60,25675
62,0,25799
50,0,25802
80,52,25866
81,0,25897
50,40,26042
80,0,26052
50,0,26117
80,59,26228
80,0,26293
52,59,26404
64,48,26409
80,70,26411
64,0,26643
80,0,26750
78,51,26786
78,0,26871
64,60,26937
52,0,27034
78,71,27149
64,0,27155
78,0,27467
52,38,27495
76,55,27506
52,0,27561
76,0,27598
57,57,27865
45,56,27867
76,60,27878
57,0,28136
76,0,28276
78,42,28293
78,0,28366
45,0,28416
57,50,28433
57,0,28528
73,59,28633
73,0,28720
45,41,28994
76,53,29009
45,0,29057
76,0,29084
54,50,29368
66,48,29373
76,57,29378
66,0,29578
78,57,29583
76,0,29596
78,0,29900
73,57,29951
73,0,30024
54,0,30103
66,55,30123
66,0,30217
78,53,30308
54,48,30478
54,0,30550
78,0,30611
80,52,30653
80,0,30720
50,53,30839
80,70,30848
81,50,31021
80,0,31037
81,0,31126
50,0,31185
81,64,31228
81,0,31337
57,37,31399
57,0,31592
81,70,31599
80,57,31783
81,0,31797
80,0,31945
62,38,31970
62,0,32045
80,60,32138
80,0,32224
80,75,32331
52,49,32333
52,0,32672
80,0,32708
78,51,32734
78,0,32840
59,36,32893
59,0,33015
78,73,33116
78,0,33496
64,46,33504
76,57,33506
64,0,33557
76,0,33594
45,46,33889
76,60,33897
45,0,34140
52,40,34236
76,0,34240
78,52,34254
52,0,34452
78,0,34575
73,53,34633
57,45,34645
57,0,34709
52,41,34997
73,0,35041
52,0,35068
76,48,35176
76,0,35263
54,44,35363
66,49,35372
76,70,35373
76,0,35558
66,0,35661
78,52,35774
78,0,35847
66,50,35929
54,0,36128
66,0,36128
81,70,36137
81,0,36264
54,50,36500
83,57,36514
54,0,36558
50,67,36908
57,41,37107
50,0,37154
83,0,37214
62,39,37316
57,0,37350
62,0,37429
64,51,37503
64,0,37584
85,59,37704
88,59,37907
85,0,37921
62,47,38082
62,0,38134
88,0,38238
81,55,38248
81,0,38332
52,57,38420
81,76,38433
81,0,38623
52,0,38698
81,53,38802
81,0,38936
52,59,38953
52,0,39115
85,48,39126
83,55,39343
85,0,39352
52,51,39484
52,0,39553
83,0,39645
81,61,39664
45,46,39852
52,30,40058
45,0,40082
57,37,40264
81,0,40335
57,0,40397
61,52,40457
85,61,40644
61,0,40711
52,0,40722
88,59,40854
85,0,40875
57,42,41020
57,0,41062
88,0,41188
81,51,41193
81,0,41278
54,51,41379
81,75,41391
81,0,41615
54,0,41718
81,51,41789
81,0,41895
61,36,41954
85,59,42134
61,0,42153
83,33,42354
85,0,42372
66,49,42525
66,0,42588
83,0,42709
81,56,42712
50,49,42908
57,39,43099
50,0,43165
62,33,43298
81,0,43412
62,0,43434
64,44,43474
64,0,43590
85,58,43669
57,0,43736
88,57,43876
85,0,43886
62,47,44036
62,0,44083
88,0,44177
81,48,44218
81,0,44301
52,52,44391
81,68,44393
64,54,44395
81,0,44615
64,0,44709
52,0,44735
81,62,44797
81,0,44906
64,53,44957
52,59,44958
64,0,45120
85,52,45136
52,0,45148
85,0,45321
83,58,45336
52,50,45496
64,48,45501
64,0,45562
52,0,45583
81,57,45698
83,0,45707
45,56,45873
52,35,46067
45,0,46097
57,30,46278
57,0,46434
61,47,46463
81,0,46550
61,0,46760
81,47,46834
81,0,46909
57,47,47033
81,78,47045
81,0,47132
81,63,47243
57,0,47265
81,0,47367
59,51,47409
80,67,47412
80,0,47579
81,56,47621
59,0,47647
81,0,47704
81,69,47818
52,0,47911
81,0,47979
57,43,47992
80,54,47997
57,0,48118
80,0,48126
81,90,48222
81,0,48338
81,58,48407
81,0,48532
57,49,48583
57,0,48639
50,49,48942
83,68,48944
83,0,49116
85,52,49125
50,0,49294
85,0,49315
81,66,49318
57,48,49484
81,0,49624
76,59,49675
57,0,49676
76,0,49970
62,46,50049
62,0,50101
80,50,50406
52,51,50408
64,44,50411
80,0,50598
81,47,50602
64,0,50669
52,0,50695
81,0,50696
81,67,50801
81,0,50974
52,52,50979
64,49,50988
80,51,50993
64,0,51115
52,0,51132
80,0,51186
81,41,51191
81,0,51272
81,60,51379
81,0,51479
52,48,51537
64,46,51539
64,0,51596
52,0,51620
83,51,51920
45,51,51922
85,50,52096
52,33,52101
83,0,52111
45,0,52128
57,36,52282
81,57,52290
85,0,52312
57,0,52439
61,44,52477
61,0,52652
81,0,52654
76,48,52670
52,0,52717
76,0,52994
57,40,53022
57,0,53071
66,44,53379
54,46,53382
80,50,53398
81,41,53592
80,0,53605
81,0,53690
66,0,53707
54,0,53758
81,59,53786
54,56,53945
81,0,53946
66,44,53953
80,48,53963
81,47,54146
80,0,54173
66,0,54186
54,0,54193
81,0,54251
81,55,54322
81,0,54428
54,53,54521
66,46,54525
66,0,54590
54,0,54607
50,49,54888
83,48,54892
85,46,55062
83,0,55080
50,0,55253
81,57,55266
85,0,55293
57,37,55441
81,0,55608
76,36,55626
57,0,55628
62,43,56012
62,0,56074
76,0,56244
64,44,56395
52,47,56397
80,50,56399
81,42,56571
80,0,56580
81,0,56662
64,0,56682
81,63,56768
81,0,56927
64,35,56943
80,49,56945
52,0,57041
81,44,57134
80,0,57149
64,0,57167
81,0,57227
81,63,57323
52,41,57495
52,0,57570
45,56,57902
81,0,58174
45,0,58188
52,47,58447
52,0,58616
85,53,58629
88,54,58827
85,0,58839
57,47,59020
57,0,59074
88,0,59174
81,49,59183
81,0,59269
54,45,59370
81,62,59372
81,0,59594
81,45,59758
54,0,59780
81,0,59891
61,38,59912
85,50,60085
61,0,60160
83,45,60308
85,0,60351
66,45,60480
66,0,60530
81,56,60647
83,0,60656
81,0,60855
85,44,60859
50,39,60867
50,0,61209
57,37,61227
57,0,61500
85,0,61507
83,47,61608
62,41,61619
62,0,61682
57,40,61958
57,0,62016
83,0,62114
88,50,62121
81,52,62316
52,45,62324
64,45,62327
88,0,62341
81,0,62535
64,0,62682
52,0,62725
81,35,62747
81,0,62862
52,48,62876
64,38,62884
