Tempo,84
36,40,1274
43,35,1580
79,46,1587
36,0,1625
79,0,1688
43,0,1922
79,57,1953
48,35,1979
48,0,2091
79,0,2290
76,42,2298
50,35,2300
76,0,2382
50,0,2494
76,51,2664
52,33,2681
76,0,3042
74,50,3061
55,38,3231
52,0,3282
55,0,3348
74,0,3421
72,46,3429
47,40,4082
55,36,4426
79,41,4437
72,0,4463
47,0,4519
79,0,4534
79,42,4803
59,31,4807
79,0,5132
76,33,5166
76,0,5218
76,37,5562
59,0,5741
55,0,5898
45,39,6939
76,0,7174
79,50,7331
45,0,7332
52,39,7336
79,0,7432
79,59,7714
57,39,7716
57,0,7914
79,0,8031
76,46,8065
60,39,8070
76,0,8164
60,0,8311
76,67,8458
76,0,8824
74,49,8836
52,0,8878
57,41,9010
57,0,9082
74,0,9195
72,47,9203
72,0,9784
77,56,9929
41,45,9932
77,0,10207
41,0,10246
48,33,10254
48,0,10565
53,35,10579
77,39,10598
53,0,10689
77,0,10772
76,14,10776
55,36,10944
55,0,11030
77,50,11128
76,0,11139
57,36,11295
76,45,11458
77,0,11481
57,0,11979
53,33,12392
53,0,12427
36,49,12709
43,35,13029
79,41,13044
36,0,13045
76,0,13075
79,0,13138
43,0,13370
79,56,13404
48,41,13408
48,0,13522
79,0,13701
76,51,13742
50,43,13746
76,0,13844
50,0,13931
52,42,14099
76,73,14112
76,0,14429
74,51,14454
55,41,14622
74,0,14780
52,0,14805
72,60,14814
55,0,14900
52,39,15181
52,0,15231
47,43,15551
79,53,15565
72,0,15574
55,42,16180
47,0,16232
79,0,16280
81,56,16304
59,36,16651
81,0,16863
76,50,16872
59,0,17379
55,0,17778
45,49,18395
45,0,18731
79,43,18740
52,35,18743
76,0,18762
79,0,18823
79,54,19097
57,37,19103
52,0,19136
57,0,19236
79,0,19438
76,44,19442
60,35,19469
60,0,19528
76,0,19539
76,41,19816
57,43,20165
76,0,20175
74,51,20178
57,0,20450
74,0,20535
72,48,20538
57,38,20898
57,0,20948
77,47,21262
41,41,21267
72,0,21268
77,0,21579
48,31,21602
41,0,21607
77,44,21800
53,31,21972
48,0,21981
53,0,22146
77,0,22297
55,35,22321
76,41,22326
55,0,22410
77,51,22666
57,37,22680
76,0,22681
57,0,22821
76,41,22871
77,0,22894
53,29,23040
53,0,23360
55,39,23408
55,0,23527
36,35,24131
76,0,24391
36,0,24429
43,35,24470
67,43,24482
67,0,24577
43,0,24804
67,48,24826
48,33,24828
48,0,24926
69,48,25023
67,0,25089
50,48,25199
72,56,25200
69,0,25220
50,0,25283
43,40,25564
72,0,25580
67,48,25592
69,55,25765
67,0,25817
52,44,25925
72,61,25947
69,0,25988
52,0,26177
48,38,26274
74,41,26314
43,0,26315
72,0,26342
48,0,26376
43,44,26629
72,57,26642
74,0,26646
43,0,26680
43,55,27012
72,0,27323
50,37,27355
67,49,27370
43,0,27392
67,0,27464
55,33,27698
67,62,27710
69,42,27899
67,0,27932
55,0,28008
72,48,28065
69,0,28066
55,46,28466
72,0,28619
67,44,28648
69,51,28804
67,0,28883
72,56,28972
69,0,28976
55,0,29117
72,0,29150
74,56,29155
50,0,29340
74,0,29487
76,46,29490
55,43,29495
55,0,29541
45,49,29851
76,0,29972
45,0,30194
52,39,30198
76,54,30214
76,0,30513
57,36,30535
74,57,30548
76,51,30882
74,0,30924
57,0,31204
77,50,31252
60,43,31257
76,0,31264
60,0,31453
77,0,31558
52,0,31576
76,50,31609
57,43,31800
57,0,31889
76,0,31955
74,53,31989
72,48,32164
74,0,32190
72,0,32316
52,32,32343
52,0,32388
72,60,32506
41,47,32706
41,0,33040
48,37,33054
53,24,33260
48,0,33279
53,0,33403
55,50,33437
55,0,33551
48,40,33786
48,0,34086
57,50,34143
57,0,34260
48,36,34500
48,0,34747
60,40,34873
60,0,34961
48,41,35223
48,0,35272
36,35,35634
72,0,35860
43,45,35912
67,51,35927
36,0,35927
67,0,36026
43,0,36182
48,42,36271
67,58,36283
48,0,36352
69,49,36449
67,0,36478
69,0,36610
72,53,36623
50,45,36635
50,0,36750
72,0,36961
67,47,36982
52,37,36983
67,0,37147
69,51,37173
69,0,37345
72,52,37354
55,42,37534
52,0,37550
55,0,37692
74,49,37716
72,0,37730
52,36,38057
72,59,38068
74,0,38069
52,0,38096
43,50,38401
43,0,38717
72,0,38731
50,38,38739
67,47,38757
67,0,38838
50,0,39025
55,42,39102
67,61,39120
55,0,39186
69,49,39263
67,0,39281
69,0,39439
72,51,39456
50,42,39465
50,0,39764
59,36,39857
59,0,39931
72,0,39984
67,43,40015
69,57,40188
50,41,40192
67,0,40229
69,0,40348
72,56,40362
50,0,40475
72,0,40536
