Tempo,84
46,40,1274
53,35,1580
89,46,1587
46,0,1625
89,0,1688
53,0,1922
89,57,1953
58,35,1979
58,0,2091
89,0,2290
86,42,2298
60,35,2300
86,0,2382
60,0,2494
86,51,2664
62,33,2681
86,0,3042
84,50,3061
65,38,3231
62,0,3282
65,0,3348
84,0,3421
82,46,3429
57,40,4082
65,36,4426
89,41,4437
82,0,4463
57,0,4519
89,0,4534
89,42,4803
69,31,4807
89,0,5132
86,33,5166
86,0,5218
86,37,5562
69,0,5741
65,0,5898
55,39,6939
86,0,7174
89,50,7331
55,0,7332
62,39,7336
89,0,7432
89,59,7714
67,39,7716
67,0,7914
89,0,8031
86,46,8065
70,39,8070
86,0,8164
70,0,8311
86,67,8458
86,0,8824
84,49,8836
62,0,8878
67,41,9010
67,0,9082
84,0,9195
82,47,9203
82,0,9784
87,56,9929
51,45,9932
87,0,10207
51,0,10246
58,33,10254
58,0,10565
63,35,10579
87,39,10598
63,0,10689
87,0,10772
86,14,10776
65,36,10944
65,0,11030
87,50,11128
86,0,11139
67,36,11295
86,45,11458
87,0,11481
67,0,11979
63,33,12392
63,0,12427
46,49,12709
53,35,13029
89,41,13044
46,0,13045
86,0,13075
89,0,13138
53,0,13370
89,56,13404
58,41,13408
58,0,13522
89,0,13701
86,51,13742
60,43,13746
86,0,13844
60,0,13931
62,42,14099
86,73,14112
86,0,14429
84,51,14454
65,41,14622
84,0,14780
62,0,14805
82,60,14814
65,0,14900
62,39,15181
62,0,15231
57,43,15551
89,53,15565
82,0,15574
65,42,16180
57,0,16232
89,0,16280
91,56,16304
69,36,16651
91,0,16863
86,50,16872
69,0,17379
65,0,17778
55,49,18395
55,0,18731
89,43,18740
62,35,18743
86,0,18762
89,0,18823
89,54,19097
67,37,19103
62,0,19136
67,0,19236
89,0,19438
86,44,19442
70,35,19469
70,0,19528
86,0,19539
86,41,19816
67,43,20165
86,0,20175
84,51,20178
67,0,20450
84,0,20535
82,48,20538
67,38,20898
67,0,20948
87,47,21262
51,41,21267
82,0,21268
87,0,21579
58,31,21602
51,0,21607
87,44,21800
63,31,21972
58,0,21981
63,0,22146
87,0,22297
65,35,22321
86,41,22326
65,0,22410
87,51,22666
67,37,22680
86,0,22681
67,0,22821
86,41,22871
87,0,22894
63,29,23040
63,0,23360
65,39,23408
65,0,23527
46,35,24131
86,0,24391
46,0,24429
53,35,24470
77,43,24482
77,0,24577
53,0,24804
77,48,24826
58,33,24828
58,0,24926
79,48,25023
77,0,25089
60,48,25199
82,56,25200
79,0,25220
60,0,25283
53,40,25564
82,0,25580
77,48,25592
79,55,25765
77,0,25817
62,44,25925
82,61,25947
79,0,25988
62,0,26177
58,38,26274
84,41,26314
53,0,26315
82,0,26342
58,0,26376
53,44,26629
82,57,26642
84,0,26646
53,0,26680
53,55,27012
82,0,27323
60,37,27355
77,49,27370
53,0,27392
77,0,27464
65,33,27698
77,62,27710
79,42,27899
77,0,27932
65,0,28008
82,48,28065
79,0,28066
65,46,28466
82,0,28619
77,44,28648
79,51,28804
77,0,28883
82,56,28972
79,0,28976
65,0,29117
82,0,29150
84,56,29155
60,0,29340
84,0,29487
86,46,29490
65,43,29495
65,0,29541
55,49,29851
86,0,29972
55,0,30194
62,39,30198
86,54,30214
86,0,30513
67,36,30535
84,57,30548
86,51,30882
84,0,30924
67,0,31204
87,50,31252
70,43,31257
86,0,31264
70,0,31453
87,0,31558
62,0,31576
86,50,31609
67,43,31800
67,0,31889
86,0,31955
84,53,31989
82,48,32164
84,0,32190
82,0,32316
62,32,32343
62,0,32388
82,60,32506
51,47,32706
51,0,33040
58,37,33054
63,24,33260
58,0,33279
63,0,33403
65,50,33437
65,0,33551
58,40,33786
58,0,34086
67,50,34143
67,0,34260
58,36,34500
58,0,34747
70,40,34873
70,0,34961
58,41,35223
58,0,35272
46,35,35634
82,0,35860
53,45,35912
77,51,35927
46,0,35927
77,0,36026
53,0,36182
58,42,36271
77,58,36283
58,0,36352
79,49,36449
77,0,36478
79,0,36610
82,53,36623
60,45,36635
60,0,36750
82,0,36961
77,47,36982
62,37,36983
77,0,37147
79,51,37173
79,0,37345
82,52,37354
65,42,37534
62,0,37550
65,0,37692
84,49,37716
82,0,37730
62,36,38057
82,59,38068
84,0,38069
62,0,38096
53,50,38401
53,0,38717
82,0,38731
60,38,38739
77,47,38757
77,0,38838
60,0,39025
65,42,39102
77,61,39120
65,0,39186
79,49,39263
77,0,39281
79,0,39439
82,51,39456
60,42,39465
60,0,39764
69,36,39857
69,0,39931
82,0,39984
77,43,40015
79,57,40188
60,41,40192
77,0,40229
79,0,40348
82,56,40362
60,0,40475
82,0,40536
65,42,40553
84,59,40555
65,0,40623
60,50,40904
86,55,40909
84,0,40912
60,0,40950
55,51,41274
86,0,41424
55,0,41624
62,41,41632
86,57,41647
62,0,41952
86,0,41953
67,43,41989
84,51,41993
67,0,42057
62,37,42318
86,52,42323
84,0,42324
62,0,42650
87,57,42707
86,0,42710
70,49,42712
70,0,42822
87,0,43007
86,56,43058
62,39,43072
62,0,43394
86,0,43395
84,53,43415
67,46,43424
67,0,43502
84,0,43604
82,57,43618
82,0,43724
62,42,43778
62,0,43838
82,70,43971
51,49,44142
51,0,44449
58,36,44499
58,0,44763
63,50,44843
63,0,44912
58,40,45202
58,0,45368
67,51,45575
67,0,45708
58,41,45908
58,0,46131
70,52,46282
70,0,46364
58,36,46622
58,0,46671
58,60,47011
46,47,47014
89,56,47343
53,38,47347
82,0,47348
46,0,47360
58,0,47361
89,0,47427
53,0,47655
89,65,47709
58,44,47714
58,0,47787
89,0,48006
86,57,48043
53,46,48052
86,0,48133
53,0,48365
86,80,48409
62,48,48414
62,0,48526
86,0,48739
84,41,48754
53,36,48764
53,0,49097
82,61,49123
84,0,49126
65,44,49129
65,0,49212
53,39,49472
53,0,49528
57,46,49831
65,37,50178
89,49,50226
57,0,50235
82,0,50256
89,0,50311
65,0,50490
89,62,50545
69,38,50563
69,0,50624
86,50,50742
89,0,50761
86,0,50843
65,33,50894
86,70,51077
65,0,51100
65,29,51318
65,0,51589
69,35,51615
69,0,51794
69,31,51994
69,0,52263
65,37,52298
65,0,52358
55,41,52645
89,48,52994
55,0,52995
62,36,52998
86,0,53022
89,0,53080
62,0,53287
67,40,53355
89,53,53361
67,0,53424
89,0,53700
86,47,53714
62,35,53717
86,0,53823
62,0,54062
86,49,54097
70,42,54099
70,0,54214
62,35,54457
84,50,54463
86,0,54492
62,0,54807
84,0,54838
82,52,54840
67,47,54849
67,0,54934
62,38,55186
82,0,55210
62,0,55238
51,44,55573
87,60,55575
51,0,55862
87,0,55864
58,33,55900
87,56,56104
58,0,56155
63,35,56262
63,0,56320
87,0,56583
58,33,56607
86,52,56608
58,0,56887
65,47,56964
87,51,56965
86,0,56982
65,0,57064
86,47,57155
87,0,57166
58,36,57325
58,0,57603
67,51,57684
67,0,57787
58,50,58033
58,0,58076
46,51,58410
46,0,58689
53,44,58755
89,51,58768
86,0,58783
89,0,58848
53,0,59023
89,61,59123
58,39,59132
58,0,59207
86,56,59313
89,0,59338
53,44,59461
86,0,59552
53,0,59567
86,76,59680
60,51,59822
60,0,59926
53,38,60169
86,0,60175
84,51,60182
84,0,60507
53,0,60514
82,57,60538
62,46,60543
62,0,60632
53,50,60880
53,0,60933
57,48,61245
89,59,61252
82,0,61274
65,46,61589
57,0,61647
91,57,61782
89,0,61783
65,0,61889
69,44,61930
69,0,62016
86,56,62329
91,0,62330
65,38,62332
65,0,62641
69,33,62710
69,0,63003
65,33,63071
65,0,63317
60,42,63445
60,0,63680
55,50,64131
86,0,64396
55,0,64471
62,36,64485
89,48,64489
89,0,64565
62,0,64778
67,46,64840
89,51,64853
67,0,64903
89,0,65028
86,46,65048
86,0,65136
62,37,65184
86,71,65365
86,0,65432
62,0,65514
86,75,65552
70,46,65561
70,0,65662
86,0,65871
84,51,65901
62,36,65908
62,0,66210
84,0,66258
82,58,66260
67,46,66267
67,0,66344
62,36,66610
62,0,66648
87,54,66965
51,47,66971
82,0,66985
87,0,67283
51,0,67291
58,33,67337
87,50,67514
63,41,67678
58,0,67678
63,0,67741
87,0,68022
58,38,68040
86,56,68058
58,0,68324
87,51,68392
65,41,68398
86,0,68402
65,0,68493
86,44,68586
87,0,68606
58,32,68770
58,0,69090
67,38,69145
67,0,69224
86,0,69352
58,49,69449
82,47,69466
58,0,69491
46,45,69856
58,44,69863
93,57,69866
82,0,69893
46,0,70115
58,0,70148
53,36,70179
93,0,70234
94,67,70383
53,0,70473
58,44,70564
94,0,70578
58,0,70633
53,36,70912
89,41,70921
53,0,71178
62,44,71270
62,0,71350
89,0,71414
86,54,71446
53,43,71609
53,0,71922
89,57,71951
86,0,71951
58,41,71978
58,0,72038
53,40,72321
53,0,72370
53,53,72706
53,0,73013
60,35,73055
60,0,73238
65,36,73252
65,0,73389
67,52,73430
67,0,73554
60,35,73777
60,0,74071
69,42,74132
69,0,74228
60,31,74522
60,0,74852
65,47,74884
65,0,74948
89,0,74981
60,49,75208
82,55,75214
60,0,75243
82,0,75396
51,46,75579
93,61,75587
51,0,75844
58,33,75889
93,0,75929
94,59,76103
58,0,76115
94,0,76182
63,38,76256
63,0,76330
89,47,76646
65,39,76649
65,0,76718
67,35,77004
67,0,77111
89,0,77147
86,39,77176
63,33,77348
63,0,77418
86,0,77658
91,46,77666
53,48,78380
60,41,78756
53,0,78769
60,0,79054
63,37,79092
