Tempo,82
45,39,4066
76,41,4068
69,41,4073
57,37,4078
69,0,4364
76,0,4368
76,38,4795
69,36,4812
45,0,4826
57,0,4844
69,0,5128
76,0,5129
45,36,5161
45,0,5229
41,31,5561
53,33,5569
77,36,5571
69,37,5577
69,0,5875
77,0,5888
41,0,6262
77,36,6276
69,37,6277
53,0,6279
77,0,6494
69,0,6506
53,44,6601
41,41,6609
53,0,6668
41,0,6690
78,43,7003
69,46,7004
38,37,7008
50,41,7009
69,0,7319
78,0,7331
38,0,7724
78,36,7729
50,0,7730
69,37,7742
78,0,7974
69,0,7981
38,32,8111
38,0,8151
41,31,8462
53,27,8464
77,36,8471
69,33,8481
77,0,8860
69,0,8864
77,36,9196
69,35,9199
41,0,9202
53,0,9264
69,0,9456
77,0,9458
76,36,9936
69,36,9942
45,35,9946
57,32,9951
69,0,10268
76,0,10272
57,0,10656
76,36,10666
45,0,10667
69,36,10674
45,36,10979
57,37,10981
76,0,11053
57,0,11060
69,0,11078
45,0,11080
41,37,11420
69,41,11422
77,44,11424
53,33,11426
69,0,11723
77,0,11731
41,0,12071
77,40,12097
53,0,12100
69,38,12105
53,44,12300
41,39,12303
53,0,12380
41,0,12385
77,0,12449
69,0,12459
78,42,12832
69,38,12839
38,39,12841
50,41,12842
69,0,13165
78,0,13166
38,0,13579
50,0,13589
78,35,13595
69,37,13600
78,0,13812
69,0,13833
38,40,13938
50,40,13939
38,0,14002
50,0,14005
77,38,14395
69,37,14404
53,35,14407
41,35,14418
77,0,14824
69,0,14845
41,0,16101
53,0,16106
71,37,17619
71,0,17686
71,36,18000
71,0,18083
71,39,18370
71,0,18425
45,33,18696
71,46,18713
45,0,19058
52,31,19080
69,37,19088
71,0,19109
69,0,19178
52,0,19429
57,31,19481
69,37,19483
57,0,19606
52,36,19811
52,0,19874
41,32,20213
41,0,20547
48,29,20566
48,0,20846
53,35,20934
53,0,21043
48,36,21265
48,0,21324
38,33,21628
45,36,21962
38,0,21989
69,0,22055
45,0,22312
50,37,22364
50,0,22460
45,39,22699
71,38,22723
45,0,22774
69,45,22881
71,0,22893
69,0,23068
71,50,23070
40,36,23073
69,47,23249
71,0,23267
40,0,23398
47,32,23436
71,49,23616
69,0,23650
47,0,23761
52,32,23813
52,0,23896
69,39,23967
71,0,23970
47,35,24163
47,0,24210
71,43,24349
69,0,24364
71,0,24424
45,36,24536
71,48,24548
45,0,24894
52,27,24937
71,0,25085
69,47,25093
69,0,25176
52,0,25211
69,53,25279
57,37,25282
57,0,25385
52,36,25628
52,0,25672
41,36,26006
41,0,26360
48,31,26367
48,0,26656
53,36,26761
53,0,26876
48,36,27102
48,0,27162
38,41,27470
45,35,27823
38,0,27858
69,0,28003
45,0,28187
50,31,28218
50,0,28381
45,31,28550
71,41,28559
45,0,28625
71,0,28723
69,36,28744
40,39,28918
69,0,28919
71,49,28922
69,41,29119
71,0,29140
40,0,29275
47,36,29300
71,50,29471
69,0,29490
47,0,29603
52,35,29670
52,0,29761
69,40,29855
71,0,29871
56,40,30042
56,0,30119
69,0,30232
71,41,30235
71,0,30303
45,39,30397
71,57,30422
45,0,30806
52,26,30820
71,0,30936
69,46,30938
69,0,31021
52,0,31086
57,40,31136
69,51,31138
57,0,31258
52,38,31479
52,0,31538
41,38,31850
41,0,32240
48,27,32250
48,0,32528
53,32,32606
53,0,32750
48,30,32964
48,0,33015
38,35,33313
45,38,33676
38,0,33743
69,0,33937
45,0,34044
50,35,34058
50,0,34271
45,31,34404
71,38,34421
45,0,34497
71,0,34579
69,36,34592
40,39,34771
71,46,34775
69,0,34780
69,41,34956
71,0,34976
47,37,35133
40,0,35137
71,48,35313
69,0,35330
47,0,35468
52,37,35501
52,0,35571
69,41,35663
71,0,35674
69,0,35801
56,41,35863
56,0,35925
71,44,36011
71,0,36075
59,49,36203
71,56,36212
59,0,36356
56,35,36584
71,0,36658
56,0,36907
59,39,36971
59,0,37128
56,27,37342
56,0,37645
59,35,37733
76,44,37735
59,0,37839
76,0,38089
56,20,38144
56,0,38482
80,37,38509
59,30,38525
59,0,38620
80,0,38841
56,26,38873
83,37,39237
59,30,39261
56,0,39301
59,0,39483
83,0,39686
71,38,41395
71,0,41462
71,49,41779
71,0,41848
45,37,42133
71,48,42156
45,0,42498
52,27,42567
69,41,42713
71,0,42714
69,0,42798
52,0,42831
69,67,42923
57,33,42936
57,0,43030
52,33,43276
52,0,43324
41,36,43619
41,0,43956
48,31,43966
48,0,44232
53,40,44318
53,0,44450
48,39,44661
48,0,44721
38,49,45015
45,38,45395
38,0,45395
69,0,45532
45,0,45728
50,46,45762
50,0,45872
45,47,46109
71,41,46112
45,0,46179
69,51,46281
71,0,46286
69,0,46461
71,51,46479
40,41,46492
69,51,46671
71,0,46684
40,0,46828
47,41,46860
71,51,47053
69,0,47063
47,0,47229
52,36,47246
52,0,47384
71,0,47419
69,43,47421
47,38,47600
47,0,47662
69,0,47766
71,47,47771
71,0,47853
45,33,47966
71,53,47979
45,0,48339
52,31,48342
71,0,48483
69,41,48508
69,0,48591
52,0,48619
69,53,48693
57,36,48696
57,0,48802
52,37,49035
52,0,49091
41,35,49423
41,0,49757
48,30,49799
48,0,50105
53,36,50182
53,0,50307
48,28,50532
48,0,50605
38,36,50910
45,32,51260
38,0,51282
69,0,51405
45,0,51615
50,28,51633
50,0,51756
45,35,51969
71,41,51984
45,0,52053
69,40,52153
71,0,52153
69,0,52337
71,48,52340
40,37,52342
69,46,52523
71,0,52545
40,0,52680
47,35,52697
71,49,52879
69,0,52891
47,0,53027
52,43,53036
52,0,53136
71,0,53220
69,50,53231
56,44,53399
56,0,53463
69,0,53547
71,48,53559
71,0,53633
45,35,53750
71,58,53756
52,31,54161
45,0,54172
71,0,54312
69,40,54334
69,0,54415
52,0,54469
57,35,54537
69,56,54538
57,0,54632
52,37,54881
52,0,54933
41,35,55262
48,33,55620
41,0,55626
48,0,55999
53,36,56010
53,0,56147
48,33,56367
48,0,56441
38,38,56746
45,36,57099
38,0,57146
69,0,57243
45,0,57435
50,36,57485
50,0,57780
45,38,57820
71,41,57828
71,0,57979
69,49,58001
45,0,58181
69,0,58202
71,53,58205
40,36,58207
69,47,58371
71,0,58399
47,35,58583
40,0,58610
71,44,58776
69,0,58780
47,0,58953
52,33,58969
52,0,59061
69,44,59118
71,0,59130
54,37,59281
54,0,59394
69,0,59452
71,46,59464
71,0,59543
71,53,59667
56,49,59671
56,0,59781
59,49,60397
59,0,60520
56,31,60793
71,0,61129
59,33,61162
76,50,61164
59,0,61459
56,0,61809
52,35,61864
76,0,62225
56,35,62248
56,0,62633
59,37,62637
56,33,62972
59,0,62974
59,35,63347
56,0,63968
52,0,63989
59,0,64086
69,47,64812
69,0,64878
69,51,65176
69,0,65241
45,37,65555
69,59,65573
45,0,65961
52,28,65973
57,37,66137
52,0,66182
57,0,66308
72,51,66315
59,35,66341
69,0,66355
59,0,66437
52,39,66666
72,0,66975
52,0,66977
60,36,67012
76,26,67093
60,0,67137
76,0,67159
52,30,67397
52,0,67726
57,39,67769
69,43,67775
57,0,67854
69,0,67886
69,46,68019
52,36,68125
69,0,68150
52,0,68193
69,50,68320
69,0,68421
38,38,68515
69,61,68517
45,32,68880
38,0,68898
50,35,69076
45,0,69133
50,0,69238
77,48,69263
52,42,69280
69,0,69295
52,0,69369
45,37,69610
45,0,69913
53,46,69962
53,0,70065
77,0,70193
45,38,70302
45,0,70684
50,37,70704
69,49,70715
50,0,70803
69,0,70836
69,41,70977
45,39,71079
69,0,71088
45,0,71169
69,45,71275
69,0,71373
45,36,71441
69,63,71458
45,0,71841
52,35,71843
52,0,72132
81,61,72193
57,41,72201
69,0,72215
57,0,72292
38,40,72966
74,31,72969
81,0,73005
45,41,73286
38,0,73304
74,0,73308
45,0,73630
74,58,73662
50,44,73671
50,0,73763
74,0,73811
72,43,73826
72,0,73951
45,48,74001
45,0,74082
72,42,74165
72,0,74246
72,58,74348
40,41,74353
72,0,74517
74,49,74524
47,40,74687
40,0,74688
72,49,74691
74,0,74716
72,0,74799
72,50,75045
47,0,75055
52,37,75067
52,0,75145
72,0,75386
64,41,75404
47,36,75412
47,0,75717
64,0,75756
72,58,75793
56,32,75800
56,0,75948
47,33,76157
47,0,76488
71,57,76523
72,0,76532
52,42,76539
52,0,76627
47,41,76897
71,0,76987
47,0,76989
69,49,77053
69,0,77153
45,20,77246
69,67,77255
