Tempo,82
55,39,4066
86,41,4068
79,41,4073
67,37,4078
79,0,4364
86,0,4368
86,38,4795
79,36,4812
55,0,4826
67,0,4844
79,0,5128
86,0,5129
55,36,5161
55,0,5229
51,31,5561
63,33,5569
87,36,5571
79,37,5577
79,0,5875
87,0,5888
51,0,6262
87,36,6276
79,37,6277
63,0,6279
87,0,6494
79,0,6506
63,44,6601
51,41,6609
63,0,6668
51,0,6690
88,43,7003
79,46,7004
48,37,7008
60,41,7009
79,0,7319
88,0,7331
48,0,7724
88,36,7729
60,0,7730
79,37,7742
88,0,7974
79,0,7981
48,32,8111
48,0,8151
51,31,8462
63,27,8464
87,36,8471
79,33,8481
87,0,8860
79,0,8864
87,36,9196
79,35,9199
51,0,9202
63,0,9264
79,0,9456
87,0,9458
86,36,9936
79,36,9942
55,35,9946
67,32,9951
79,0,10268
86,0,10272
67,0,10656
86,36,10666
55,0,10667
79,36,10674
55,36,10979
67,37,10981
86,0,11053
67,0,11060
79,0,11078
55,0,11080
51,37,11420
79,41,11422
87,44,11424
63,33,11426
79,0,11723
87,0,11731
51,0,12071
87,40,12097
63,0,12100
79,38,12105
63,44,12300
51,39,12303
63,0,12380
51,0,12385
87,0,12449
79,0,12459
88,42,12832
79,38,12839
48,39,12841
60,41,12842
79,0,13165
88,0,13166
48,0,13579
60,0,13589
88,35,13595
79,37,13600
88,0,13812
79,0,13833
48,40,13938
60,40,13939
48,0,14002
60,0,14005
87,38,14395
79,37,14404
63,35,14407
51,35,14418
87,0,14824
79,0,14845
51,0,16101
63,0,16106
81,37,17619
81,0,17686
81,36,18000
81,0,18083
81,39,18370
81,0,18425
55,33,18696
81,46,18713
55,0,19058
62,31,19080
79,37,19088
81,0,19109
79,0,19178
62,0,19429
67,31,19481
79,37,19483
67,0,19606
62,36,19811
62,0,19874
51,32,20213
51,0,20547
58,29,20566
58,0,20846
63,35,20934
63,0,21043
58,36,21265
58,0,21324
48,33,21628
55,36,21962
48,0,21989
79,0,22055
55,0,22312
60,37,22364
60,0,22460
55,39,22699
81,38,22723
55,0,22774
79,45,22881
81,0,22893
79,0,23068
81,50,23070
50,36,23073
79,47,23249
81,0,23267
50,0,23398
57,32,23436
81,49,23616
79,0,23650
57,0,23761
62,32,23813
62,0,23896
79,39,23967
81,0,23970
57,35,24163
57,0,24210
81,43,24349
79,0,24364
81,0,24424
55,36,24536
81,48,24548
55,0,24894
62,27,24937
81,0,25085
79,47,25093
79,0,25176
62,0,25211
79,53,25279
67,37,25282
67,0,25385
62,36,25628
62,0,25672
51,36,26006
51,0,26360
58,31,26367
58,0,26656
63,36,26761
63,0,26876
58,36,27102
58,0,27162
48,41,27470
55,35,27823
48,0,27858
79,0,28003
55,0,28187
60,31,28218
60,0,28381
55,31,28550
81,41,28559
55,0,28625
81,0,28723
79,36,28744
50,39,28918
79,0,28919
81,49,28922
79,41,29119
81,0,29140
50,0,29275
57,36,29300
81,50,29471
79,0,29490
57,0,29603
62,35,29670
62,0,29761
79,40,29855
81,0,29871
66,40,30042
66,0,30119
79,0,30232
81,41,30235
81,0,30303
55,39,30397
81,57,30422
55,0,30806
62,26,30820
81,0,30936
79,46,30938
79,0,31021
62,0,31086
67,40,31136
79,51,31138
67,0,31258
62,38,31479
62,0,31538
51,38,31850
51,0,32240
58,27,32250
58,0,32528
