Tempo,75
55,61,1965
95,60,1987
95,0,2083
59,63,2350
95,69,2351
62,55,2788
95,0,2850
95,67,2985
67,61,3172
55,0,3209
91,55,3354
95,0,3362
59,0,3402
62,0,3407
67,0,3468
55,72,3563
93,69,3571
91,0,3620
62,47,3978
67,46,4380
91,62,4782
59,57,4787
55,0,4797
93,0,4817
62,0,4866
67,0,4880
93,57,4968
91,0,5045
55,60,5187
95,61,5197
59,0,5203
93,0,5223
95,0,5293
59,55,5571
95,54,5572
55,0,5940
62,52,5988
95,0,6073
59,0,6083
95,58,6195
67,57,6384
62,0,6542
91,54,6545
95,0,6600
67,0,6662
93,60,6764
55,57,6775
91,0,6811
59,47,7174
62,47,7575
55,0,7625
67,50,7948
59,0,8031
62,0,8068
67,0,8302
55,58,8367
95,53,8378
93,0,8395
95,0,8458
95,64,8756
59,51,8761
62,52,9149
55,0,9167
95,0,9194
95,52,9347
67,52,9544
59,0,9647
62,0,9679
91,53,9742
95,0,9799
67,0,9921
93,66,9953
55,62,9954
91,0,10030
59,51,10372
62,58,10785
55,0,11072
91,64,11136
67,63,11156
59,0,11186
93,0,11189
62,0,11212
90,49,11361
91,0,11416
60,58,11557
88,63,11578
90,0,11580
67,0,11587
64,58,11979
91,58,11987
88,0,12049
67,46,12377
91,0,12465
91,69,12574
91,0,12788
60,0,12789
72,55,12803
91,59,12959
67,0,12999
64,0,13038
72,0,13063
62,60,13179
91,0,13193
93,57,13196
66,46,13584
69,51,13953
62,0,14305
74,51,14347
69,0,14404
66,0,14440
74,0,14447
93,0,14728
55,57,14755
95,54,14775
95,0,14875
59,51,15147
95,77,15149
62,49,15580
95,0,15635
95,61,15762
55,0,15855
67,60,15987
59,0,16018
62,0,16036
95,0,16140
91,34,16182
62,60,16399
93,70,16403
67,0,16407
91,0,16444
66,53,16787
69,54,17158
62,0,17405
74,61,17552
91,58,17563
93,0,17569
69,0,17581
66,0,17610
74,0,17659
93,54,17761
91,0,17855
95,63,17966
55,59,17975
93,0,17991
95,0,18083
95,59,18351
59,53,18358
62,55,18765
55,0,18843
95,0,18846
95,58,18978
67,53,19180
59,0,19194
62,0,19217
91,35,19370
95,0,19412
67,0,19566
62,64,19579
93,59,19601
91,0,19639
66,40,19980
62,0,20360
69,49,20362
74,47,20772
69,0,20817
66,0,20829
74,0,20874
93,0,21175
95,54,21191
55,61,21193
95,0,21289
59,48,21569
95,44,21570
62,53,21979
95,0,22009
95,53,22177
55,0,22247
67,50,22390
59,0,22429
62,0,22440
91,55,22567
67,0,22773
