Tempo,80
67,38,1012
67,0,1163
36,39,1198
76,48,1203
76,0,1391
43,43,1394
67,41,1406
36,0,1406
67,0,1580
48,40,1590
74,40,1596
74,0,1756
67,38,1781
50,41,1787
48,0,1802
50,0,1917
67,0,1958
74,51,1979
52,57,1992
43,0,2099
52,0,2110
74,0,2165
67,42,2183
67,0,2367
74,49,2387
74,0,2546
67,41,2573
43,43,2724
67,0,2737
72,57,2754
67,58,2932
72,0,2952
50,32,3002
43,0,3015
72,44,3121
67,0,3126
67,40,3289
72,0,3297
55,40,3457
72,38,3465
67,0,3472
72,0,3643
67,35,3647
67,0,3809
55,0,3812
71,44,3839
57,41,3841
50,0,3918
57,0,3919
71,0,3996
67,39,4014
67,0,4185
41,35,4187
72,41,4198
72,0,4358
67,41,4373
48,37,4387
41,0,4407
67,0,4561
72,39,4574
53,33,4579
72,0,4741
67,46,4760
53,0,4765
55,36,4770
67,0,4947
72,44,4953
55,0,4985
72,0,5100
67,36,5127
48,0,5129
67,0,5303
72,41,5326
72,0,5484
67,36,5505
43,36,5683
74,45,5693
67,0,5697
50,33,5887
67,33,5890
74,0,5899
43,0,5949
67,0,6067
74,36,6077
55,40,6079
74,0,6251
67,42,6266
57,42,6277
55,0,6283
57,0,6418
67,0,6442
74,42,6459
50,0,6554
74,0,6636
67,38,6641
55,40,6819
67,0,6835
74,32,6848
55,0,6868
74,0,6990
67,42,7017
67,0,7197
36,41,7202
76,49,7204
43,47,7376
76,0,7377
67,37,7385
36,0,7418
67,0,7566
76,44,7572
48,38,7575
67,43,7746
76,0,7764
50,45,7767
48,0,7774
67,0,7918
76,46,7939
50,0,7989
67,36,8117
43,0,8131
76,0,8133
67,0,8294
48,37,8306
74,44,8311
48,0,8360
74,0,8461
67,42,8477
67,0,8659
74,55,8672
43,41,8711
67,39,8832
74,0,8851
72,35,9031
67,0,9032
72,0,9194
67,38,9208
50,49,9253
43,0,9309
67,0,9394
72,40,9404
67,41,9571
72,0,9572
50,0,9639
67,0,9754
55,37,9760
71,44,9772
55,0,9828
67,36,9940
71,0,9941
67,0,10128
72,50,10131
45,57,10133
72,0,10290
67,35,10298
67,0,10499
72,38,10512
72,0,10661
67,39,10678
52,40,10713
45,0,10763
72,41,10891
67,0,10892
72,0,11049
67,37,11079
52,0,11157
57,41,11255
72,47,11260
67,0,11260
57,0,11310
72,0,11412
67,45,11420
74,50,11627
67,0,11628
41,32,11674
67,40,11832
74,0,11837
48,36,11877
41,0,11932
67,0,12032
74,39,12044
53,33,12088
74,0,12205
67,41,12219
53,0,12279
55,30,12286
67,0,12420
74,53,12435
55,0,12444
48,0,12577
74,0,12594
67,42,12602
67,0,12800
74,43,12803
74,0,12940
36,39,13195
76,49,13197
72,36,13216
36,0,13504
43,36,13567
76,0,13664
72,0,13672
43,0,13912
76,39,13986
48,29,13997
