Tempo,80
69,38,1012
69,0,1163
38,39,1198
78,48,1203
78,0,1391
45,43,1394
69,41,1406
38,0,1406
69,0,1580
50,40,1590
76,40,1596
76,0,1756
69,38,1781
52,41,1787
50,0,1802
52,0,1917
69,0,1958
76,51,1979
54,57,1992
45,0,2099
54,0,2110
76,0,2165
69,42,2183
69,0,2367
76,49,2387
76,0,2546
69,41,2573
45,43,2724
69,0,2737
74,57,2754
69,58,2932
74,0,2952
52,32,3002
45,0,3015
74,44,3121
69,0,3126
69,40,3289
74,0,3297
57,40,3457
74,38,3465
69,0,3472
74,0,3643
69,35,3647
69,0,3809
57,0,3812
73,44,3839
59,41,3841
52,0,3918
59,0,3919
73,0,3996
69,39,4014
69,0,4185
43,35,4187
74,41,4198
74,0,4358
69,41,4373
50,37,4387
43,0,4407
69,0,4561
74,39,4574
55,33,4579
74,0,4741
69,46,4760
55,0,4765
57,36,4770
69,0,4947
74,44,4953
57,0,4985
74,0,5100
69,36,5127
50,0,5129
69,0,5303
74,41,5326
74,0,5484
69,36,5505
45,36,5683
76,45,5693
69,0,5697
52,33,5887
69,33,5890
76,0,5899
45,0,5949
69,0,6067
76,36,6077
57,40,6079
76,0,6251
69,42,6266
59,42,6277
57,0,6283
59,0,6418
69,0,6442
76,42,6459
52,0,6554
76,0,6636
69,38,6641
57,40,6819
69,0,6835
76,32,6848
57,0,6868
76,0,6990
69,42,7017
69,0,7197
38,41,7202
78,49,7204
45,47,7376
78,0,7377
69,37,7385
38,0,7418
69,0,7566
78,44,7572
50,38,7575
69,43,7746
78,0,7764
52,45,7767
50,0,7774
69,0,7918
78,46,7939
52,0,7989
69,36,8117
45,0,8131
78,0,8133
69,0,8294
50,37,8306
76,44,8311
50,0,8360
76,0,8461
69,42,8477
69,0,8659
76,55,8672
45,41,8711
69,39,8832
76,0,8851
74,35,9031
69,0,9032
74,0,9194
69,38,9208
52,49,9253
45,0,9309
69,0,9394
74,40,9404
69,41,9571
74,0,9572
52,0,9639
69,0,9754
57,37,9760
73,44,9772
57,0,9828
69,36,9940
73,0,9941
69,0,10128
74,50,10131
47,57,10133
74,0,10290
69,35,10298
69,0,10499
74,38,10512
74,0,10661
69,39,10678
54,40,10713
47,0,10763
74,41,10891
69,0,10892
74,0,11049
69,37,11079
54,0,11157
59,41,11255
74,47,11260
69,0,11260
59,0,11310
74,0,11412
69,45,11420
76,50,11627
69,0,11628
43,32,11674
69,40,11832
76,0,11837
50,36,11877
43,0,11932
69,0,12032
76,39,12044
55,33,12088
76,0,12205
69,41,12219
55,0,12279
57,30,12286
69,0,12420
76,53,12435
57,0,12444
50,0,12577
76,0,12594
69,42,12602
69,0,12800
76,43,12803
76,0,12940
38,39,13195
78,49,13197
74,36,13216
38,0,13504
45,36,13567
78,0,13664
74,0,13672
45,0,13912
78,39,13986
50,29,13997
50,0,14113
52,32,14336
52,0,14477
54,37,14758
78,0,14824
69,39,15353
69,0,15517
78,60,15561
78,0,15813
76,57,15824
54,0,15861
76,0,16007
74,68,16077
74,0,16146
76,56,16290
45,38,16291
45,0,16593
52,32,16641
76,0,16992
81,46,17008
57,28,17016
59,31,17360
57,0,17429
59,0,17502
61,33,17748
61,0,18019
81,0,18076
52,0,18130
74,40,18476
74,0,18797
73,47,18822
73,0,18967
74,43,19230
43,36,19250
43,0,19589
50,27,19611
69,41,20003
55,27,20021
74,0,20047
57,32,20753
69,0,21049
57,0,21557
55,0,21602
50,0,21635
71,46,21706
73,50,21872
71,0,21898
47,36,22078
73,0,22081
74,56,22088
47,0,22528
54,33,22548
74,0,22555
54,0,22900
59,33,22943
74,56,22945
59,0,23064
54,33,23333
54,0,23385
74,0,23704
57,27,23763
73,47,23772
45,30,23774
73,0,24427
57,0,24658
45,0,24792
69,42,24885
69,0,25227
38,36,25258
78,52,25265
38,0,25601
45,32,25627
45,0,25971
78,0,25978
74,47,25995
50,31,26009
50,0,26169
52,26,26318
52,0,26651
74,0,26676
69,46,26702
54,36,26708
69,0,27052
81,59,27467
78,54,27685
81,0,27706
54,0,27852
78,0,27972
76,65,28005
45,39,28195
45,0,28553
52,33,28561
57,36,28936
52,0,28971
57,0,29227
52,35,29280
59,36,29726
76,0,30250
57,39,30503
83,51,30689
59,0,30720
57,0,30798
85,58,30861
52,0,30884
83,0,30895
86,51,31047
85,0,31080
86,0,31142
43,46,31206
86,59,31208
50,36,31568
43,0,31576
50,0,31865
86,0,31878
81,51,31932
55,32,31953
55,0,32061
57,26,32354
57,0,32592
78,54,32683
81,0,32694
59,35,32709
59,0,33411
78,0,33466
81,48,33471
81,0,33660
81,44,34003
81,0,34074
81,51,34193
45,43,34200
45,0,34558
52,35,34579
81,0,34725
78,37,34747
52,0,34895
57,42,34938
78,0,35107
76,49,35112
57,0,35158
52,33,35286
61,36,35662
74,45,35672
76,0,35685
74,0,36109
73,49,36442
61,0,36493
52,0,36649
73,0,36669
74,48,37030
74,0,37104
74,65,37205
47,46,37210
47,0,37573
54,32,37594
74,0,37768
73,53,37781
59,38,37959
74,57,38153
73,0,38187
61,33,38334
59,0,38362
81,41,38525
61,0,38530
74,0,38550
62,41,39153
62,0,39460
74,49,39494
81,0,39511
54,0,39612
74,0,39688
73,39,39694
73,0,40021
74,41,40053
74,0,40119
74,57,40230
43,36,40235
43,0,40565
50,30,40596
73,48,40778
74,0,40784
50,0,40946
55,29,40992
55,0,41087
74,51,41142
73,0,41158
57,36,41306
57,0,41380
81,51,41520
74,0,41527
59,37,41699
59,0,42133
81,0,42287
74,50,42438
55,38,42446
55,0,42514
74,0,42787
73,50,42813
73,0,43170
74,76,43208
38,37,43212
38,0,43568
45,33,43610
74,0,43783
69,40,43812
45,0,43902
50,30,44001
50,0,44059
69,0,44130
74,51,44136
52,29,44355
52,0,44475
74,0,44482
69,41,44495
54,36,44692
69,0,44695
74,44,44715
74,0,44908
74,44,45072
74,0,45152
57,31,45255
74,47,45437
54,0,45504
57,0,45524
76,43,45811
54,30,45815
74,0,45844
54,0,45884
45,36,46180
73,50,46181
76,0,46206
52,29,46568
45,0,46579
73,0,46651
57,36,46955
59,36,47306
57,0,47342
59,0,47415
61,48,47730
57,43,48463
61,0,48601
74,51,48647
74,0,48860
57,0,48873
52,0,48994
74,67,49007
74,0,49114
74,68,49202
47,47,49215
54,47,49551
73,57,49552
74,0,49572
47,0,49618
74,59,49924
59,46,49930
73,0,49979
81,42,50171
74,0,50210
61,44,50342
59,0,50446
61,0,50486
62,31,50665
62,0,51099
81,0,51195
54,0,51278
59,44,51482
59,0,51567
74,52,51663
74,0,52033
73,49,52051
73,0,52231
74,59,52259
43,41,52265
73,59,52518
74,0,52536
50,42,52684
43,0,52691
74,59,52822
73,0,52861
55,36,53026
50,0,53039
55,0,53219
81,57,53223
74,0,53239
57,41,53391
57,0,53486
59,42,53740
59,0,54076
81,0,54176
74,45,54466
55,37,54472
55,0,54537
74,0,54576
74,55,54845
74,0,54970
74,57,55194
38,46,55219
38,0,55565
45,36,55580
45,0,55903
74,0,55963
81,56,55967
50,39,55974
50,0,56077
52,38,56342
52,0,56430
81,0,56690
86,62,56703
54,40,56720
54,0,56825
50,33,57115
86,0,57419
50,0,57432
85,57,57493
52,40,57495
52,0,57599
50,36,57859
85,0,57920
50,0,57956
81,48,58010
81,0,58086
43,41,58206
81,70,58207
43,0,58519
50,37,58583
50,0,58900
55,36,58969
55,0,59211
50,41,59311
81,0,59361
50,0,59376
45,39,59675
81,57,59683
52,36,60058
45,0,60062
81,0,60063
52,0,60353
57,45,60412
78,76,60430
57,0,60514
76,58,60649
78,0,60664
52,45,60795
52,0,60853
76,0,60918
74,52,60957
74,0,61049
74,64,61166
43,49,61172
74,0,61471
43,0,61504
69,47,61543
50,37,61547
69,0,61680
74,47,61722
50,0,61783
55,30,61892
55,0,61979
74,0,62002
69,41,62041
69,0,62214
57,47,62241
74,41,62255
57,0,62311
74,0,62383
69,42,62412
69,0,62552
47,39,62617
74,55,62619
47,0,62940
74,0,62944
71,41,62970
54,33,62986
54,0,63320
71,0,63352
59,36,63367
74,43,63372
59,0,63482
74,0,63715
71,44,63740
54,36,63748
54,0,63789
71,0,63966
74,70,64130
38,46,64140
74,0,64289
69,44,64315
69,0,64478
38,0,64488
45,43,64496
74,57,64506
74,0,64669
69,50,64689
45,0,64798
69,0,64832
50,40,64885
74,66,64895
50,0,64981
74,0,65042
69,51,65066
69,0,65244
52,50,65258
74,56,65276
52,0,65326
74,0,65419
69,48,65435
69,0,65549
45,44,65648
76,55,65661
69,67,65665
45,0,66046
69,0,66107
76,0,66133
74,51,66829
74,0,66887
74,53,67228
43,46,67230
74,0,67393
69,56,67409
43,0,67519
69,0,67554
50,50,67581
74,56,67772
50,0,67773
55,37,67948
74,0,68000
55,0,68006
69,53,68093
57,47,68276
57,0,68323
69,0,68384
74,47,68456
74,0,68524
38,40,68668
74,63,68671
38,0,68926
74,0,68993
45,37,69029
69,48,69059
69,0,69129
45,0,69281
50,35,69432
74,48,69438
50,0,69504
74,0,69582
69,42,69621
45,41,69790
45,0,69863
69,0,69880
74,47,69993
74,0,70060
74,51,70192
57,33,70210
45,38,70212
69,56,70214
69,0,70437
74,0,70481
57,0,70518
69,43,70614
74,46,70616
69,0,70677
74,0,70678
74,41,70974
45,0,70975
57,35,70978
69,39,70980
57,0,71057
69,0,71144
74,0,71169
76,42,71322
45,37,71332
76,0,71428
76,39,71728
69,36,71741
57,35,71749
45,0,71808
57,0,71866
