Tempo,80
67,41,871
72,38,1064
67,0,1098
74,40,1250
72,0,1276
36,38,1410
76,52,1422
74,0,1458
43,37,1755
36,0,1761
76,0,2070
43,0,2090
48,32,2135
79,36,2137
48,0,2245
76,37,2309
79,0,2359
50,39,2479
76,0,2506
74,41,2511
50,0,2550
72,46,2688
74,0,2700
43,35,2887
74,47,2904
72,0,2912
43,0,3262
50,30,3281
50,0,3607
74,0,3651
71,44,3654
55,31,3659
55,0,3777
71,0,4335
53,36,4369
72,37,4370
41,36,4375
53,0,4649
72,0,4651
41,0,5072
72,42,5185
53,30,5189
53,0,5260
72,0,5441
41,36,5502
41,0,5552
48,33,5934
72,39,5936
36,30,5954
36,0,6319
48,0,6338
72,0,6382
67,43,6896
67,0,7061
72,40,7070
74,50,7239
72,0,7253
76,49,7412
36,50,7423
74,0,7427
36,0,7751
43,39,7764
76,0,8060
43,0,8112
79,47,8116
48,33,8119
48,0,8217
76,49,8302
79,0,8345
50,39,8476
74,42,8497
76,0,8500
50,0,8572
72,45,8679
74,0,8688
43,39,8859
72,0,8866
74,53,8868
43,0,9226
50,28,9260
50,0,9580
74,0,9600
55,37,9622
79,47,9641
55,0,9718
79,0,9835
50,35,9978
50,0,10024
79,46,10144
79,0,10224
41,35,10321
79,57,10322
41,0,10663
48,30,10717
79,0,10897
83,37,10904
48,0,10987
53,41,11066
53,0,11196
83,0,11264
84,53,11270
55,44,11425
55,0,11486
84,0,11614
72,55,11618
36,35,11833
72,0,12339
36,0,12417
72,47,13010
74,37,13200
72,0,13218
45,38,13365
76,55,13370
74,0,13374
45,0,13733
52,31,13755
76,0,13946
72,42,13948
52,0,14107
57,29,14127
57,0,14235
72,0,14269
67,42,14295
59,41,14477
59,0,14540
74,43,14658
67,0,14664
74,0,14726
74,53,14837
43,40,14844
50,35,15221
43,0,15251
50,0,15557
55,40,15586
71,49,15604
74,0,15611
55,0,15703
69,46,15816
71,0,15828
50,39,15952
50,0,16009
67,44,16119
69,0,16128
67,0,16308
69,58,16318
41,36,16330
41,0,16689
72,48,16696
69,0,16709
48,32,16720
72,0,16780
48,0,17019
72,51,17105
53,31,17108
53,0,17212
72,0,17430
48,35,17476
48,0,17535
72,50,17860
36,35,17862
36,0,18183
43,35,18217
72,0,18229
48,35,18593
72,57,18761
43,0,18812
48,0,18880
52,49,18931
52,0,18998
74,51,19105
72,0,19112
74,0,19263
76,64,19293
45,46,19294
52,33,19705
45,0,19733
72,50,19889
76,0,19919
57,35,20076
52,0,20157
57,0,20241
72,0,20251
67,48,20263
59,43,20453
59,0,20517
74,48,20622
67,0,20648
74,0,20706
43,36,20810
74,53,20829
50,32,21228
43,0,21236
50,0,21547
74,0,21586
55,32,21612
71,49,21616
55,0,21763
50,35,21975
50,0,22012
71,0,22018
72,43,22385
53,31,22390
41,30,22396
72,0,22747
53,0,22794
41,0,23175
53,35,23193
72,42,23194
53,0,23289
72,0,23440
41,39,23527
41,0,23581
48,33,23936
36,32,23943
72,42,23945
72,0,24389
69,61,24764
36,0,24786
48,0,24857
69,0,24963
71,54,24971
71,0,25250
72,48,25265
72,0,25345
45,48,25453
72,65,25466
45,0,25812
72,0,25817
64,44,25826
52,32,25831
52,0,26140
64,0,26165
72,58,26195
57,38,26198
57,0,26292
52,47,26556
52,0,26603
72,0,26699
71,49,26716
71,0,26794
43,42,26902
71,69,26904
55,41,26906
43,0,27224
55,0,27228
50,39,27285
71,0,27313
50,0,27588
55,39,27655
74,57,27667
55,0,27748
76,61,27827
74,0,27828
50,49,28001
74,52,28005
76,0,28012
50,0,28054
72,57,28173
74,0,28180
72,0,28258
72,64,28357
41,42,28360
53,42,28364
72,0,28551
79,42,28570
53,0,28704
41,0,28708
48,26,28806
79,0,28931
72,41,28937
48,0,29119
72,0,29133
79,54,29138
53,32,29149
53,0,29245
55,36,29476
79,0,29480
72,41,29485
55,0,29537
72,0,29687
79,58,29693
48,32,29867
55,35,30247
48,0,30269
79,0,30319
55,0,30579
60,44,30613
60,0,30705
72,59,30994
55,36,30998
55,0,31037
74,50,31158
72,0,31215
45,46,31354
76,57,31364
74,0,31373
52,37,31724
45,0,31769
76,0,31864
72,49,31927
52,0,32058
57,36,32091
57,0,32175
72,0,32236
67,50,32273
59,48,32444
59,0,32506
67,0,32580
74,46,32616
74,0,32696
43,42,32797
55,37,32801
74,59,32803
43,0,33152
55,0,33154
50,35,33215
50,0,33551
74,0,33580
55,39,33594
71,46,33599
55,0,33693
50,39,33948
50,0,33995
71,0,34088
53,35,34376
41,36,34386
72,43,34388
53,0,34673
72,0,34691
53,36,35166
72,48,35167
41,0,35178
53,0,35233
72,0,35429
41,37,35521
41,0,35571
48,35,35958
72,52,35959
36,31,35961
72,0,36344
48,0,36371
36,0,36378
72,60,37095
74,60,37280
72,0,37311
74,0,37433
45,50,37459
76,61,37469
52,37,37665
45,0,37679
57,44,37838
52,0,37869
57,0,37982
72,44,38032
76,0,38034
59,44,38046
59,0,38136
72,0,38406
67,49,38438
60,46,38620
60,0,38671
74,47,38795
67,0,38821
74,0,38862
43,45,38959
74,71,38977
50,37,39301
43,0,39327
50,0,39616
74,0,39657
55,46,39674
71,56,39694
55,0,39770
71,0,40014
50,44,40028
67,45,40048
50,0,40084
67,0,40157
67,53,40413
41,37,40414
53,39,40447
69,53,40598
67,0,40628
53,0,40698
41,0,40724
48,35,40769
69,0,40964
67,51,40969
48,0,41060
53,36,41156
53,0,41231
67,0,41272
65,51,41316
48,43,41491
48,0,41546
64,42,41674
65,0,41674
38,37,41893
38,0,42216
64,0,42383
43,47,42634
64,41,42651
43,0,42750
64,0,42846
62,43,42860
48,39,43008
48,0,43049
62,0,43146
43,39,43387
62,53,43396
62,0,43792
50,33,43800
43,0,43813
50,0,44084
67,53,44155
55,35,44165
55,0,44248
67,0,44384
50,33,44499
50,0,44840
71,57,44898
59,38,44913
59,0,44993
71,0,45228
50,30,45281
50,0,45602
74,47,45685
55,32,45695
55,0,45793
74,0,45969
50,30,46065
55,32,46442
79,44,46451
79,0,47005
55,0,47561
55,36,47888
81,53,48650
55,0,48673
50,0,48719
83,51,49034
81,0,49078
83,0,49396
84,62,49418
41,48,49420
41,0,49816
48,30,49818
84,0,49842
81,45,49991
53,35,50202
48,0,50208
53,0,50341
81,0,50345
79,59,50369
55,47,50562
55,0,50627
79,0,50709
77,50,50722
76,54,50904
36,54,50908
77,0,50933
36,0,51257
43,37,51265
76,0,51267
48,38,51618
43,0,51625
76,57,51628
48,0,51728
74,51,51815
76,0,51816
43,48,51966
43,0,52034
74,0,52103
72,51,52137
72,0,52321
43,50,52336
74,60,52342
74,0,52700
50,36,52724
43,0,52727
50,0,53064
55,41,53097
74,51,53111
55,0,53235
74,0,53290
76,46,53306
74,49,53480
50,45,53484
76,0,53485
50,0,53558
74,0,53665
72,52,53680
45,42,53854
52,37,54245
45,0,54302
72,0,54319
52,0,54570
57,44,54625
57,0,54716
81,51,54791
52,52,54975
52,0,55024
83,44,55165
81,0,55178
83,0,55365
41,52,55375
84,63,55377
41,0,55726
48,37,55772
53,36,55953
48,0,56009
53,0,56107
84,0,56130
81,61,56150
55,45,56157
55,0,56297
81,0,56339
79,58,56356
53,40,56512
53,0,56573
77,53,56696
79,0,56699
77,0,56886
36,46,56902
76,57,56904
76,0,57181
36,0,57206
43,37,57243
43,0,57468
48,35,57640
76,49,57652
48,0,57723
74,51,57840
76,0,57867
43,40,58009
43,0,58069
74,0,58137
72,51,58179
72,0,58308
43,46,58360
74,70,58375
43,0,58708
50,36,58722
74,0,58737
50,0,59031
55,31,59135
79,37,59154
55,0,59199
79,0,59462
50,33,59497
50,0,59855
83,50,59909
59,33,59935
59,0,60007
50,35,60270
83,0,60655
55,50,60659
50,0,60717
81,64,60833
55,0,60842
50,47,61016
50,0,61072
83,46,61168
81,0,61197
83,0,61352
84,61,61368
41,46,61370
41,0,61744
81,56,61748
48,33,61754
84,0,61778
81,0,61837
48,0,62056
53,41,62122
81,51,62127
53,0,62199
81,0,62317
79,59,62340
55,48,62502
55,0,62554
79,0,62681
77,48,62691
76,54,62867
36,53,62872
77,0,62894
43,41,63076
36,0,63122
48,44,63265
43,0,63298
76,0,63331
48,0,63380
50,55,63445
50,0,63609
76,53,63627
52,48,63637
74,48,63856
76,0,63869
52,0,63927
55,53,63989
55,0,64045
74,0,64149
72,51,64159
72,0,64302
43,48,64359
74,57,64361
74,0,64581
43,0,64716
50,38,64728
74,40,64748
74,0,64849
50,0,65058
55,40,65130
74,51,65144
55,0,65226
74,0,65315
76,48,65324
74,41,65498
50,45,65500
76,0,65517
50,0,65566
74,0,65670
72,43,65688
45,44,65862
72,0,66229
52,33,66254
45,0,66339
52,0,66601
69,71,66639
57,37,66650
57,0,66733
69,0,66873
71,61,66882
52,47,67032
52,0,67063
71,0,67144
72,55,67168
72,0,67246
72,76,67384
41,41,67395
41,0,67745
72,0,67755
48,37,67769
69,47,67770
69,0,67963
72,50,67965
48,0,68027
53,35,68144
53,0,68217
69,36,68397
72,0,68422
55,33,68550
55,0,68607
69,0,68709
67,49,68713
67,0,68809
36,48,68886
67,59,68887
36,0,69253
43,35,69260
67,0,69349
43,0,69574
48,41,69647
72,46,69652
48,0,69735
43,39,70001
43,0,70078
72,0,70323
74,50,70392
43,38,70395
50,33,70774
43,0,70780
74,0,70786
50,0,71099
55,30,71137
74,41,71151
55,0,71260
50,30,71484
59,29,71943
59,0,72274
74,0,72287
50,0,72545
55,41,72680
69,40,72682
55,0,72728
71,50,72915
69,0,72924
72,48,73174
71,0,73178
72,0,73253
41,40,73415
72,69,73418
72,0,73762
41,0,73765
69,50,73791
48,36,73795
69,0,73974
48,0,74004
72,52,74016
53,38,74168
53,0,74237
72,0,74310
69,49,74348
55,40,74519
55,0,74566
69,0,74652
67,51,74680
67,0,74776
67,63,74877
36,39,74899
36,0,75232
43,37,75256
67,0,75282
43,0,75559
48,50,75623
72,55,75625
48,0,75704
72,0,75985
43,37,75996
43,0,76070
74,41,76170
74,0,76256
74,57,76365
43,39,76370
43,0,76732
50,31,76781
50,0,77032
55,33,77103
55,0,77288
50,29,77484
59,36,77947
74,0,78064
72,50,78477
