Tempo,80
71,41,871
76,38,1064
71,0,1098
78,40,1250
76,0,1276
40,38,1410
80,52,1422
78,0,1458
47,37,1755
40,0,1761
80,0,2070
47,0,2090
52,32,2135
83,36,2137
52,0,2245
80,37,2309
83,0,2359
54,39,2479
80,0,2506
78,41,2511
54,0,2550
76,46,2688
78,0,2700
47,35,2887
78,47,2904
76,0,2912
47,0,3262
54,30,3281
54,0,3607
78,0,3651
75,44,3654
59,31,3659
59,0,3777
75,0,4335
57,36,4369
76,37,4370
45,36,4375
57,0,4649
76,0,4651
45,0,5072
76,42,5185
57,30,5189
57,0,5260
76,0,5441
45,36,5502
45,0,5552
52,33,5934
76,39,5936
40,30,5954
40,0,6319
52,0,6338
76,0,6382
71,43,6896
71,0,7061
76,40,7070
78,50,7239
76,0,7253
80,49,7412
40,50,7423
78,0,7427
40,0,7751
47,39,7764
80,0,8060
47,0,8112
83,47,8116
52,33,8119
52,0,8217
80,49,8302
83,0,8345
54,39,8476
78,42,8497
80,0,8500
54,0,8572
76,45,8679
78,0,8688
47,39,8859
76,0,8866
78,53,8868
47,0,9226
54,28,9260
54,0,9580
78,0,9600
59,37,9622
83,47,9641
59,0,9718
83,0,9835
54,35,9978
54,0,10024
83,46,10144
83,0,10224
45,35,10321
83,57,10322
45,0,10663
52,30,10717
83,0,10897
87,37,10904
52,0,10987
57,41,11066
57,0,11196
87,0,11264
88,53,11270
59,44,11425
59,0,11486
88,0,11614
76,55,11618
40,35,11833
76,0,12339
40,0,12417
76,47,13010
78,37,13200
76,0,13218
49,38,13365
80,55,13370
78,0,13374
49,0,13733
56,31,13755
80,0,13946
76,42,13948
56,0,14107
61,29,14127
61,0,14235
76,0,14269
71,42,14295
63,41,14477
63,0,14540
78,43,14658
71,0,14664
78,0,14726
78,53,14837
47,40,14844
54,35,15221
47,0,15251
54,0,15557
59,40,15586
75,49,15604
78,0,15611
59,0,15703
73,46,15816
75,0,15828
54,39,15952
54,0,16009
71,44,16119
73,0,16128
71,0,16308
73,58,16318
45,36,16330
45,0,16689
76,48,16696
73,0,16709
52,32,16720
76,0,16780
52,0,17019
76,51,17105
57,31,17108
57,0,17212
76,0,17430
52,35,17476
52,0,17535
76,50,17860
40,35,17862
40,0,18183
47,35,18217
76,0,18229
52,35,18593
76,57,18761
47,0,18812
52,0,18880
56,49,18931
56,0,18998
78,51,19105
76,0,19112
78,0,19263
80,64,19293
49,46,19294
56,33,19705
49,0,19733
76,50,19889
80,0,19919
61,35,20076
56,0,20157
61,0,20241
76,0,20251
71,48,20263
63,43,20453
63,0,20517
78,48,20622
71,0,20648
78,0,20706
47,36,20810
78,53,20829
54,32,21228
47,0,21236
54,0,21547
78,0,21586
59,32,21612
75,49,21616
59,0,21763
54,35,21975
54,0,22012
75,0,22018
76,43,22385
57,31,22390
45,30,22396
76,0,22747
57,0,22794
45,0,23175
57,35,23193
76,42,23194
57,0,23289
76,0,23440
45,39,23527
45,0,23581
52,33,23936
40,32,23943
76,42,23945
76,0,24389
73,61,24764
40,0,24786
52,0,24857
73,0,24963
75,54,24971
75,0,25250
76,48,25265
76,0,25345
49,48,25453
76,65,25466
49,0,25812
76,0,25817
68,44,25826
56,32,25831
56,0,26140
68,0,26165
76,58,26195
61,38,26198
61,0,26292
56,47,26556
56,0,26603
76,0,26699
75,49,26716
75,0,26794
47,42,26902
75,69,26904
59,41,26906
47,0,27224
59,0,27228
54,39,27285
75,0,27313
54,0,27588
59,39,27655
78,57,27667
59,0,27748
80,61,27827
78,0,27828
54,49,28001
78,52,28005
80,0,28012
54,0,28054
76,57,28173
78,0,28180
76,0,28258
76,64,28357
45,42,28360
57,42,28364
76,0,28551
83,42,28570
57,0,28704
45,0,28708
52,26,28806
83,0,28931
76,41,28937
52,0,29119
76,0,29133
83,54,29138
57,32,29149
57,0,29245
59,36,29476
83,0,29480
76,41,29485
59,0,29537
76,0,29687
83,58,29693
52,32,29867
59,35,30247
52,0,30269
83,0,30319
59,0,30579
64,44,30613
64,0,30705
76,59,30994
59,36,30998
59,0,31037
78,50,31158
76,0,31215
49,46,31354
80,57,31364
78,0,31373
56,37,31724
49,0,31769
80,0,31864
76,49,31927
56,0,32058
61,36,32091
61,0,32175
76,0,32236
71,50,32273
63,48,32444
63,0,32506
71,0,32580
78,46,32616
78,0,32696
47,42,32797
59,37,32801
78,59,32803
47,0,33152
59,0,33154
54,35,33215
54,0,33551
78,0,33580
59,39,33594
75,46,33599
59,0,33693
54,39,33948
54,0,33995
75,0,34088
57,35,34376
45,36,34386
76,43,34388
57,0,34673
76,0,34691
57,36,35166
76,48,35167
45,0,35178
57,0,35233
76,0,35429
45,37,35521
45,0,35571
52,35,35958
76,52,35959
40,31,35961
76,0,36344
52,0,36371
40,0,36378
76,60,37095
78,60,37280
76,0,37311
78,0,37433
49,50,37459
80,61,37469
56,37,37665
49,0,37679
61,44,37838
56,0,37869
61,0,37982
76,44,38032
80,0,38034
63,44,38046
63,0,38136
76,0,38406
71,49,38438
64,46,38620
64,0,38671
78,47,38795
71,0,38821
78,0,38862
47,45,38959
78,71,38977
54,37,39301
47,0,39327
54,0,39616
78,0,39657
59,46,39674
75,56,39694
59,0,39770
75,0,40014
54,44,40028
71,45,40048
54,0,40084
71,0,40157
71,53,40413
45,37,40414
57,39,40447
73,53,40598
71,0,40628
57,0,40698
45,0,40724
52,35,40769
73,0,40964
71,51,40969
52,0,41060
57,36,41156
57,0,41231
71,0,41272
69,51,41316
52,43,41491
52,0,41546
68,42,41674
69,0,41674
42,37,41893
42,0,42216
68,0,42383
47,47,42634
68,41,42651
47,0,42750
68,0,42846
66,43,42860
52,39,43008
52,0,43049
66,0,43146
47,39,43387
66,53,43396
66,0,43792
54,33,43800
47,0,43813
54,0,44084
71,53,44155
59,35,44165
59,0,44248
71,0,44384
54,33,44499
54,0,44840
75,57,44898
63,38,44913
63,0,44993
75,0,45228
54,30,45281
54,0,45602
78,47,45685
59,32,45695
59,0,45793
78,0,45969
54,30,46065
59,32,46442
83,44,46451
83,0,47005
59,0,47561
59,36,47888
85,53,48650
59,0,48673
54,0,48719
87,51,49034
85,0,49078
87,0,49396
88,62,49418
45,48,49420
45,0,49816
52,30,49818
88,0,49842
85,45,49991
57,35,50202
52,0,50208
57,0,50341
85,0,50345
83,59,50369
59,47,50562
59,0,50627
83,0,50709
81,50,50722
80,54,50904
40,54,50908
81,0,50933
40,0,51257
47,37,51265
80,0,51267
52,38,51618
47,0,51625
80,57,51628
52,0,51728
78,51,51815
80,0,51816
47,48,51966
47,0,52034
78,0,52103
76,51,52137
76,0,52321
47,50,52336
78,60,52342
78,0,52700
54,36,52724
47,0,52727
54,0,53064
59,41,53097
78,51,53111
59,0,53235
78,0,53290
80,46,53306
78,49,53480
54,45,53484
80,0,53485
54,0,53558
78,0,53665
76,52,53680
49,42,53854
56,37,54245
49,0,54302
76,0,54319
56,0,54570
61,44,54625
61,0,54716
85,51,54791
56,52,54975
56,0,55024
87,44,55165
85,0,55178
87,0,55365
45,52,55375
88,63,55377
45,0,55726
52,37,55772
57,36,55953
52,0,56009
57,0,56107
88,0,56130
85,61,56150
59,45,56157
59,0,56297
85,0,56339
83,58,56356
57,40,56512
57,0,56573
81,53,56696
83,0,56699
81,0,56886
40,46,56902
80,57,56904
80,0,57181
40,0,57206
47,37,57243
47,0,57468
52,35,57640
80,49,57652
52,0,57723
78,51,57840
80,0,57867
47,40,58009
47,0,58069
78,0,58137
76,51,58179
76,0,58308
47,46,58360
78,70,58375
47,0,58708
54,36,58722
78,0,58737
54,0,59031
59,31,59135
83,37,59154
59,0,59199
83,0,59462
54,33,59497
54,0,59855
87,50,59909
63,33,59935
63,0,60007
54,35,60270
87,0,60655
59,50,60659
54,0,60717
85,64,60833
59,0,60842
54,47,61016
54,0,61072
87,46,61168
85,0,61197
87,0,61352
88,61,61368
45,46,61370
45,0,61744
85,56,61748
52,33,61754
88,0,61778
85,0,61837
52,0,62056
57,41,62122
85,51,62127
57,0,62199
85,0,62317
83,59,62340
59,48,62502
59,0,62554
83,0,62681
81,48,62691
80,54,62867
40,53,62872
81,0,62894
47,41,63076
40,0,63122
52,44,63265
47,0,63298
80,0,63331
52,0,63380
54,55,63445
54,0,63609
80,53,63627
56,48,63637
78,48,63856
80,0,63869
56,0,63927
59,53,63989
59,0,64045
78,0,64149
76,51,64159
76,0,64302
47,48,64359
78,57,64361
78,0,64581
47,0,64716
54,38,64728
78,40,64748
78,0,64849
54,0,65058
59,40,65130
78,51,65144
59,0,65226
78,0,65315
80,48,65324
78,41,65498
54,45,65500
80,0,65517
54,0,65566
78,0,65670
76,43,65688
49,44,65862
76,0,66229
56,33,66254
49,0,66339
56,0,66601
73,71,66639
61,37,66650
61,0,66733
73,0,66873
75,61,66882
56,47,67032
56,0,67063
75,0,67144
76,55,67168
76,0,67246
76,76,67384
45,41,67395
45,0,67745
76,0,67755
52,37,67769
73,47,67770
73,0,67963
76,50,67965
52,0,68027
57,35,68144
57,0,68217
73,36,68397
76,0,68422
59,33,68550
59,0,68607
73,0,68709
71,49,68713
71,0,68809
40,48,68886
71,59,68887
40,0,69253
47,35,69260
71,0,69349
47,0,69574
52,41,69647
76,46,69652
52,0,69735
47,39,70001
47,0,70078
76,0,70323
78,50,70392
47,38,70395
54,33,70774
47,0,70780
78,0,70786
54,0,71099
59,30,71137
78,41,71151
59,0,71260
54,30,71484
63,29,71943
63,0,72274
78,0,72287
54,0,72545
59,41,72680
73,40,72682
59,0,72728
75,50,72915
73,0,72924
76,48,73174
75,0,73178
76,0,73253
45,40,73415
76,69,73418
76,0,73762
45,0,73765
73,50,73791
52,36,73795
73,0,73974
52,0,74004
76,52,74016
57,38,74168
57,0,74237
76,0,74310
73,49,74348
59,40,74519
59,0,74566
73,0,74652
71,51,74680
71,0,74776
71,63,74877
40,39,74899
40,0,75232
47,37,75256
71,0,75282
47,0,75559
52,50,75623
76,55,75625
52,0,75704
76,0,75985
47,37,75996
47,0,76070
78,41,76170
78,0,76256
78,57,76365
47,39,76370
47,0,76732
54,31,76781
54,0,77032
59,33,77103
59,0,77288
54,29,77484
63,36,77947
78,0,78064
76,50,78477
76,0,78541
76,78,78693
63,0,78773
54,0,78926
76,0,78930
75,63,78958
75,0,79125
76,68,79212
76,0,79282
76,70,79434
45,45,79447
76,0,79642
71,47,79656
45,0,79815
52,44,79848
71,0,79984
76,48,80007
76,0,80079
52,0,80127
57,42,80208
76,70,80216
57,0,80359
76,0,80416
71,51,80448
59,50,80563
59,0,80625
71,0,80676
76,52,80730
76,0,80801
52,41,80923
40,44,80927
76,71,80931
76,0,81158
71,51,81164
52,0,81178
71,0,81291
76,40,81467
40,0,81490
76,0,81545
52,50,81674
76,63,81686
52,0,81736
76,0,81874
71,50,81907
71,0,82031
76,48,82263
76,0,82341
59,52,82467
47,48,82470
76,69,82473
76,0,82708
71,52,82731
59,0,82756
71,0,82835
47,0,82907
71,43,83046
71,0,83101
76,63,83264
59,53,83271
59,0,83339
76,0,83440
76,43,83630
76,0,83714
75,38,84034
78,38,84035
59,32,84040
71,36,84043
47,32,84046
75,0,84791
59,0,84817
71,0,84818
78,0,84819
47,0,84848
76,44,85183
76,0,85238
76,66,85373
57,46,85380
45,47,85382
76,0,85607
71,49,85614
57,0,85630
71,0,85827
76,51,85942
76,0,86012
57,42,86156
76,82,86167
45,0,86211
57,0,86309
76,0,86345
71,51,86368
45,46,86528
45,0,86586
71,0,86625
76,53,86701
76,0,86775
76,63,86905
40,49,86921
52,60,86923
76,0,87119
71,50,87151
52,0,87177
71,0,87300
76,47,87471
76,0,87544
40,0,87629
52,48,87681
76,76,87682
52,0,87773
76,0,87845
71,52,87863
71,0,87957
40,36,88040
40,0,88094
76,51,88207
76,0,88272
76,66,88407
49,49,88415
61,48,88436
76,0,88616
61,0,88658
76,53,88783
76,0,88884
61,33,88973
76,75,89163
49,0,89163
61,0,89225
76,0,89480
49,41,89494
78,50,89512
49,0,89573
78,0,89581
47,51,89891
78,57,89902
78,0,90148
47,0,90231
54,33,90300
78,46,90445
78,0,90532
54,0,90536
59,44,90643
78,64,90644
59,0,90742
80,50,90836
78,0,90840
54,43,91011
54,0,91065
80,0,91176
78,51,91179
45,49,91374
76,56,91376
78,0,91380
76,0,91574
83,47,91584
45,0,91783
83,0,91901
76,43,91927
52,36,91938
83,57,92148
76,0,92150
57,43,92154
52,0,92164
57,0,92252
76,46,92401
83,0,92413
61,58,92548
61,0,92614
76,0,92699
83,51,92711
49,42,92904
76,50,92907
83,0,92908
83,50,93138
76,0,93151
49,0,93450
76,44,93466
83,0,93467
56,33,93477
56,0,93685
61,51,93686
76,0,93693
83,63,93698
61,0,93771
83,0,93932
76,46,93936
76,0,94214
83,54,94233
40,48,94425
76,56,94430
83,0,94448
47,51,94614
83,49,94642
76,0,94653
40,0,94674
52,38,94946
76,44,94956
47,0,94959
83,0,94960
52,0,95052
54,50,95174
83,57,95176
76,0,95177
54,0,95236
76,44,95423
83,0,95429
76,0,95648
83,58,95676
47,41,95941
78,46,95946
83,0,95974
78,0,96358
47,0,96429
78,50,96641
80,50,96880
78,0,96886
80,0,97234
78,50,97244
45,57,97440
76,56,97445
78,0,97448
52,50,97670
83,53,97675
76,0,97675
45,0,97679
52,0,97902
57,42,97952
76,52,97954
83,0,97965
57,0,98057
83,58,98177
76,0,98179
59,49,98183
59,0,98320
76,39,98410
61,46,98414
83,0,98421
61,0,98468
76,0,98654
83,55,98662
49,39,98872
76,52,98875
83,0,98883
56,40,99124
83,50,99125
76,0,99135
49,0,99181
61,48,99442
76,45,99449
83,0,99451
83,54,99669
76,0,99677
56,0,99680
61,0,99688
76,41,99909
83,0,99923
76,0,100211
83,51,100215
40,49,100399
76,50,100407
83,0,100419
47,44,100619
83,56,100628
76,0,100639
40,0,100656
83,0,100941
52,41,100956
76,46,100958
47,0,100978
52,0,101031
76,0,101161
83,61,101169
83,0,101412
76,50,101417
76,0,101567
83,46,101711
83,0,101890
47,41,101910
78,53,101921
47,0,102209
78,0,102217
54,35,102275
78,41,102449
78,0,102510
54,0,102538
59,41,102631
78,76,102649
59,0,102711
78,0,102836
80,56,102850
54,37,103004
54,0,103045
80,0,103123
78,51,103168
78,0,103326
45,41,103371
76,57,103373
76,0,103574
45,0,103667
52,32,103741
76,47,103743
76,0,103831
52,0,104016
57,41,104097
76,38,104115
76,0,104167
57,0,104169
88,55,104494
52,47,104496
52,0,104546
87,57,104664
88,0,104700
87,0,104854
83,36,104872
49,45,104879
83,0,105211
56,29,105293
49,0,105305
83,36,105448
56,0,105553
61,44,105631
61,0,105714
83,0,105792
80,46,105814
80,0,105980
78,45,105999
56,41,106004
56,0,106053
76,49,106187
78,0,106212
76,0,106343
52,36,106369
80,36,106381
80,0,106609
52,0,106738
59,35,106747
80,60,106750
80,0,106836
59,0,107071
80,49,107126
64,41,107131
64,0,107240
83,54,107342
80,0,107351
59,43,107508
59,0,107566
80,51,107693
83,0,107717
47,40,107882
80,0,107888
78,59,107890
78,0,108241
47,0,108257
54,35,108269
54,0,108587
59,50,108629
78,44,108650
59,0,108736
54,41,108976
54,0,109033
78,0,109063
76,41,109175
76,0,109261
49,45,109344
76,76,109358
88,62,109702
49,0,109702
76,0,109704
56,42,109716
88,0,109792
56,0,110011
61,41,110089
88,60,110108
61,0,110182
88,0,110324
87,58,110359
56,43,110454
56,0,110500
87,0,110632
83,51,110644
45,38,110838
45,0,111236
80,41,111242
52,37,111254
83,0,111261
80,0,111328
52,0,111563
57,33,111641
80,40,111645
57,0,111750
78,46,111857
80,0,111870
59,41,112022
59,0,112074
78,0,112161
76,44,112207
76,0,112376
40,38,112400
80,51,112406
80,0,112631
40,0,112717
47,41,112761
80,52,112778
80,0,112872
47,0,113101
80,58,113165
52,43,113167
52,0,113266
80,0,113370
83,55,113374
47,42,113516
47,0,113599
80,47,113726
83,0,113744
47,40,113920
59,39,113922
78,53,113923
80,0,113926
59,0,114247
47,0,114249
54,36,114305
78,0,114522
54,0,114622
59,42,114663
59,0,114749
76,53,114832
54,52,115006
75,59,115007
76,0,115035
54,0,115056
75,0,115171
76,70,115201
45,37,115392
45,0,115751
76,0,115753
71,41,115757
52,27,115788
71,0,115976
52,0,116039
57,35,116139
57,0,116221
76,53,116311
76,0,116483
59,49,116485
75,66,116492
59,0,116562
75,0,116658
76,71,116690
49,41,116880
71,52,117126
76,0,117136
49,0,117288
56,35,117302
56,0,117629
61,36,117638
61,0,117735
76,39,117814
71,0,117835
56,46,117998
75,57,118002
76,0,118006
56,0,118042
75,0,118173
76,57,118186
76,0,118265
40,45,118371
76,73,118375
76,0,118609
40,0,118703
47,36,118738
76,61,118754
76,0,118861
47,0,119104
52,39,119115
76,76,119132
52,0,119213
76,0,119350
78,60,119363
78,0,119445
47,52,119512
47,0,119568
78,61,119679
78,0,119760
47,22,119861
78,69,119863
54,36,120240
47,0,120248
54,0,120602
59,36,120610
78,0,120671
59,0,120752
76,53,120780
76,0,120933
75,58,120966
54,46,120969
54,0,121028
75,0,121131
76,69,121157
45,43,121340
76,0,121514
71,47,121527
52,37,121740
45,0,121742
52,0,122088
57,43,122124
57,0,122201
71,0,122247
76,52,122273
59,47,122457
76,0,122468
75,53,122472
59,0,122531
75,0,122645
