Tempo,84
88,49,3631
90,55,3960
88,0,4062
90,0,4209
52,52,4318
90,64,4324
56,39,4659
92,49,4662
90,0,4713
59,47,5038
52,0,5200
64,39,5362
56,0,5386
59,0,5510
59,50,5713
56,43,6081
64,0,6126
59,0,6245
92,0,6410
52,51,6417
90,42,6423
56,0,6453
92,47,6608
90,0,6619
90,53,6789
92,0,6907
88,49,6963
90,0,7000
90,54,7152
56,47,7154
88,0,7220
90,0,7525
95,28,7574
59,43,7911
52,0,7949
64,36,8233
56,0,8324
52,45,8586
64,0,8612
59,0,8674
56,39,8978
95,0,9289
93,57,9298
92,49,9648
93,0,9662
59,45,9669
52,0,9696
56,0,9897
64,52,9984
88,51,10027
92,0,10036
59,0,10070
52,33,10418
64,0,10565
85,60,10729
88,0,10768
56,40,11085
52,0,11374
59,61,11416
56,0,11480
57,51,11756
59,0,11975
61,57,12122
81,58,12494
64,54,12495
61,0,12555
85,0,12574
57,0,12660
64,0,12678
83,51,12870
52,54,12892
81,0,12934
56,37,13243
59,42,13569
52,0,13675
83,0,13895
64,45,13903
56,0,14073
52,53,14283
59,0,14348
64,0,14371
56,41,14650
88,54,15005
59,51,15054
52,0,15113
56,0,15328
64,55,15350
90,55,15365
88,0,15444
59,0,15540
64,0,15618
90,0,15636
90,58,15718
52,55,15719
92,51,16061
90,0,16083
56,28,16460
59,47,16773
56,0,17030
64,36,17135
56,44,17506
52,0,17634
59,0,17681
90,51,17842
59,58,17860
92,0,17876
56,0,17971
92,49,18026
90,0,18037
90,55,18200
64,0,18220
56,38,18269
92,0,18303
88,51,18401
59,0,18415
90,0,18430
56,0,18566
52,49,18575
90,55,18601
88,0,18689
95,55,18918
90,0,18933
56,37,19270
59,49,19663
52,0,19948
64,44,19985
56,0,20068
52,44,20369
59,0,20450
64,0,20487
56,47,20718
92,45,20758
95,0,20769
52,0,21053
59,57,21099
95,49,21116
56,0,21122
92,0,21190
57,54,21454
59,0,21456
97,73,21468
95,0,21488
61,48,21817
64,46,22193
57,0,22472
69,43,22500
61,0,22819
95,52,22862
97,0,22863
57,53,22881
64,0,22895
69,0,22968
61,44,23254
64,46,23607
69,43,23931
57,0,23935
64,0,23986
61,0,24007
69,0,24059
95,0,24260
88,51,24310
54,37,24337
90,53,24466
88,0,24534
92,58,24639
90,0,24669
90,59,24823
92,0,24875
61,57,25032
66,32,25373
57,42,25717
66,0,25724
61,0,25762
61,45,26069
57,0,26386
66,47,26468
57,41,26816
66,0,26840
54,0,26868
61,0,26876
57,0,27098
90,0,27142
88,54,27165
52,54,27177
56,42,27522
59,50,27915
52,0,27954
88,0,28133
64,53,28219
88,61,28267
56,0,28348
64,0,28515
59,0,28524
88,0,28527
88,58,28601
52,50,28612
56,44,28968
88,0,29147
88,57,29275
59,50,29298
52,0,29414
56,0,29632
64,37,29652
59,0,29740
64,0,30008
59,51,30014
87,63,30019
88,0,30020
63,45,30355
66,49,30724
71,36,31074
66,0,31163
59,0,31187
63,0,31192
71,0,31207
87,0,31405
88,49,31427
52,58,31428
56,38,31797
88,0,31994
88,57,32153
59,53,32167
52,0,32457
64,42,32516
56,0,32539
59,0,32634
88,0,32853
87,54,32872
59,61,32891
64,0,32920
66,28,33253
71,32,33576
63,49,33944
71,0,33988
66,0,34006
59,0,34041
63,0,34055
87,0,34260
88,45,34293
52,55,34294
56,43,34643
59,44,35057
64,58,35352
90,52,35380
52,0,35383
88,0,35424
56,0,35429
64,0,35599
59,0,35672
90,0,35698
92,53,35718
54,50,35730
57,39,36075
61,46,36445
54,0,36752
66,48,36770
57,0,36892
61,0,37120
66,0,37136
92,0,37137
54,53,37152
90,52,37154
57,37,37521
61,50,37847
66,57,38185
54,0,38195
61,0,38244
57,0,38248
66,0,38312
52,49,38551
90,0,38568
88,52,38572
56,36,38925
59,43,39279
88,0,39442
52,0,39463
64,43,39619
88,59,39664
56,0,39739
64,0,39919
59,0,39953
52,55,39960
56,45,40359
88,0,40522
88,63,40701
59,54,40718
52,0,40865
64,45,41034
56,0,41039
59,0,41142
59,67,41391
88,0,41422
64,0,41429
87,59,41434
63,42,41767
66,38,42147
71,53,42447
66,0,42517
71,0,42538
63,0,42540
59,0,42550
87,0,42686
52,51,42819
88,49,42827
56,39,43217
59,51,43609
52,0,43767
88,0,43797
64,51,43942
88,50,43959
56,0,44037
59,0,44115
64,0,44157
88,0,44265
52,49,44306
83,49,44310
56,36,44677
59,44,45003
56,0,45296
64,32,45364
56,48,45711
59,0,45712
64,0,45754
59,47,46068
56,0,46419
64,47,46432
56,39,46824
52,0,46882
64,0,46905
59,0,46959
56,0,47157
52,49,47176
83,0,47438
56,36,47525
59,42,47918
52,0,48181
64,42,48233
56,0,48265
52,47,48614
59,0,48668
64,0,48673
59,35,49001
64,26,49340
56,42,49653
52,0,49692
64,0,49794
59,0,49889
56,0,50028
52,58,50056
88,63,50060
56,45,50398
59,52,50756
52,0,51023
64,46,51091
56,0,51257
