Tempo,101
36,44,1145
67,44,1147
67,0,1434
43,41,1442
76,44,1447
36,0,1469
74,46,1609
76,0,1630
43,0,1747
48,35,1778
48,0,1891
72,41,1895
74,0,1908
43,41,2033
43,0,2099
72,0,2193
71,48,2205
71,0,2294
53,41,2360
41,41,2363
71,62,2367
41,0,2616
53,0,2628
71,0,2677
72,49,2684
72,0,2793
43,41,2937
55,43,2938
69,57,2940
55,0,3115
43,0,3149
69,0,3230
71,46,3249
67,46,3523
71,0,3528
36,38,3537
43,36,3801
36,0,3835
48,35,3968
43,0,3999
48,0,4120
50,47,4142
50,0,4259
43,37,4410
43,0,4666
67,0,4681
52,38,4719
52,0,4823
43,35,5009
43,0,5228
48,40,5319
76,50,5321
48,0,5408
43,39,5600
77,41,5617
76,0,5625
43,0,5744
36,39,5908
79,46,5911
77,0,5916
79,0,6030
79,51,6196
43,40,6207
36,0,6230
79,0,6268
79,51,6347
43,0,6442
48,38,6496
76,41,6610
48,0,6617
79,0,6634
43,40,6753
43,0,6823
76,0,6896
74,50,6898
74,0,6976
74,58,7051
43,35,7053
50,36,7342
76,50,7351
74,0,7380
43,0,7392
50,0,7621
77,36,7660
53,29,7681
76,0,7697
53,0,7753
77,0,7944
55,51,7955
81,45,7965
55,0,8015
79,50,8261
48,37,8275
81,0,8296
48,0,8589
55,28,8592
55,0,8817
55,33,9141
60,39,9473
79,0,9694
60,0,9784
55,0,9978
77,47,10059
79,49,10354
77,0,10368
81,56,10638
41,42,10642
79,0,10655
81,0,10916
48,33,10950
41,0,10954
48,0,11168
53,40,11222
81,51,11224
53,0,11321
77,48,11383
81,0,11432
48,44,11517
48,0,11571
77,0,11660
74,49,11665
38,49,11805
45,41,12101
38,0,12114
74,0,12159
74,49,12392
50,39,12397
45,0,12414
50,0,12503
74,0,12671
45,40,12674
81,57,12686
45,0,12754
79,51,12975
40,36,12987
81,0,13012
47,41,13268
40,0,13268
47,0,13515
52,36,13570
79,0,13574
77,47,13581
52,0,13682
79,57,13700
77,0,13726
47,41,13871
47,0,13924
79,0,14022
76,50,14030
45,36,14177
52,32,14486
76,0,14496
45,0,14503
52,0,14741
74,55,14775
57,39,14784
57,0,14891
52,48,15053
74,0,15056
76,49,15063
52,0,15113
76,0,15308
77,47,15336
41,42,15353
77,0,15551
48,32,15643
41,0,15652
77,51,15657
77,0,15767
48,0,15891
53,35,15943
77,53,15960
53,0,16084
76,48,16131
77,0,16135
55,33,16203
55,0,16334
77,49,16433
76,0,16442
57,40,16585
57,0,16740
77,0,16849
76,47,16870
53,39,16999
53,0,17139
74,49,17176
76,0,17191
72,51,17310
74,0,17317
48,44,17446
48,0,17512
67,40,17614
72,0,17644
43,40,17758
50,39,18038
43,0,18087
50,0,18292
55,35,18335
55,0,18535
50,29,18640
59,39,18936
67,0,19122
59,0,19158
50,0,19287
67,39,19822
67,0,19937
67,51,20103
36,41,20121
67,0,20389
43,44,20403
76,53,20418
36,0,20455
76,0,20673
48,41,20706
74,56,20707
43,0,20709
48,0,20813
72,50,20860
74,0,20866
43,48,20958
43,0,21021
72,0,21103
71,50,21120
71,0,21221
53,43,21276
41,48,21280
71,59,21290
41,0,21534
53,0,21552
72,52,21610
71,0,21626
72,0,21675
43,48,21883
55,49,21887
69,56,21889
55,0,22055
43,0,22091
69,0,22173
71,39,22233
36,35,22480
67,39,22482
71,0,22495
36,0,22773
43,36,22778
43,0,22936
48,33,22942
48,0,23073
50,45,23103
50,0,23216
43,36,23401
67,0,23562
43,0,23619
52,43,23688
52,0,23788
43,42,24000
43,0,24224
76,49,24289
48,42,24292
48,0,24394
77,44,24422
76,0,24432
43,51,24574
43,0,24661
77,0,24709
79,44,24713
79,0,24790
36,42,24881
79,66,24882
79,0,25142
43,46,25156
36,0,25159
79,62,25325
43,0,25405
48,50,25460
48,0,25547
79,0,25570
76,51,25601
43,49,25734
43,0,25792
76,0,25874
74,56,25886
74,0,25963
43,35,26006
74,59,26030
76,50,26333
50,33,26335
74,0,26367
43,0,26371
53,35,26624
77,41,26625
50,0,26632
76,0,26653
53,0,26722
77,0,26906
81,47,26927
36,41,27237
79,51,27248
81,0,27286
43,41,27530
36,0,27570
48,43,27693
43,0,27779
50,37,27855
48,0,27855
50,0,27997
43,42,28138
52,46,28447
79,0,28644
77,51,29039
43,0,29052
52,0,29071
79,49,29322
77,0,29328
79,0,29592
41,50,29620
81,55,29628
48,36,29931
41,0,29941
53,37,30110
48,0,30150
55,51,30247
81,0,30248
53,0,30256
79,57,30260
55,0,30363
53,50,30538
81,49,30545
79,0,30585
53,0,30601
43,47,30836
83,57,30843
81,0,30845
43,0,31128
50,41,31131
50,0,31352
83,0,31392
55,46,31418
81,51,31424
55,0,31522
83,49,31699
50,37,31701
81,0,31718
50,0,31751
45,41,31992
83,0,31994
84,50,32008
84,0,32123
52,35,32280
84,47,32302
45,0,32322
84,0,32380
52,0,32520
57,37,32591
84,57,32593
57,0,32679
79,48,32732
84,0,32771
52,49,32876
52,0,32937
79,0,33011
81,53,33013
41,38,33173
48,41,33488
41,0,33504
48,0,33691
81,0,33741
53,49,33776
79,56,33778
53,0,33866
79,0,34059
48,45,34061
77,49,34068
48,0,34123
76,47,34355
36,44,34362
77,0,34381
43,40,34646
79,57,34670
76,0,34674
36,0,34676
43,0,34927
79,0,34952
48,43,34976
77,57,34980
48,0,35080
77,0,35249
43,44,35263
76,56,35270
43,0,35335
76,0,35570
43,46,35573
74,56,35580
50,40,35868
43,0,35896
50,0,36111
72,51,36155
55,47,36167
74,0,36186
55,0,36263
72,0,36436
71,51,36451
50,46,36453
50,0,36495
71,0,36586
72,57,36599
36,44,36737
43,38,37041
36,0,37080
43,0,37300
48,48,37359
48,0,37437
43,40,37653
52,48,37983
72,0,38061
67,55,38264
52,0,38294
67,0,38386
48,40,38418
72,57,38582
43,0,38601
48,0,38638
72,0,38822
43,44,38840
74,55,38856
43,0,38917
36,43,39155
74,0,39219
43,41,39427
76,45,39448
36,0,39449
76,0,39527
76,52,39596
76,0,39691
48,35,39738
43,0,39741
48,0,39856
76,47,39876
76,0,39956
50,48,40017
50,0,40123
76,56,40158
76,0,40240
77,61,40311
52,46,40319
52,0,40461
77,0,40569
76,60,40622
76,0,40727
48,48,40760
48,0,40841
74,59,40926
74,0,41151
43,43,41184
72,57,41212
43,0,41241
41,47,41495
72,0,41762
81,57,41796
48,41,41805
41,0,41808
81,0,41853
81,69,41953
81,0,42026
48,0,42054
53,35,42099
53,0,42233
81,59,42247
81,0,42310
55,50,42389
55,0,42494
81,42,42523
81,0,42602
57,51,42678
82,36,42687
57,0,42825
82,0,42973
81,59,42983
53,43,43129
81,0,43138
53,0,43204
79,51,43294
48,37,43554
79,0,43558
77,48,43571
48,0,43615
77,0,43857
76,52,43865
36,44,43867
43,39,44154
76,0,44166
79,48,44170
36,0,44187
79,0,44241
43,0,44424
48,51,44464
79,53,44467
48,0,44574
79,0,44626
76,49,44636
43,50,44769
43,0,44833
76,0,44907
74,53,44912
43,43,45037
50,38,45359
76,50,45360
74,0,45383
43,0,45452
53,41,45651
50,0,45669
77,49,45674
76,0,45699
53,0,45748
77,0,45940
55,57,45942
81,48,45952
55,0,45996
36,37,46255
79,58,46261
81,0,46290
43,36,46550
36,0,46602
48,41,46704
43,0,46736
48,0,46850
50,41,46868
50,0,46971
43,47,47164
43,0,47372
52,51,47461
79,0,47527
52,0,47551
43,51,47748
43,0,47954
77,62,48050
48,47,48052
48,0,48122
77,0,48200
79,43,48214
43,51,48345
43,0,48409
81,57,48503
79,0,48514
41,40,48648
81,0,48931
41,0,48954
48,40,48957
48,0,49169
79,59,49230
53,51,49240
53,0,49322
81,50,49397
79,0,49419
48,53,49528
48,0,49580
81,0,49664
83,57,49667
43,51,49815
50,46,50127
43,0,50143
50,0,50387
83,0,50422
55,57,50424
81,60,50429
55,0,50527
50,50,50702
83,49,50711
81,0,50743
50,0,50764
45,51,50997
84,56,51001
83,0,51045
84,0,51117
52,41,51291
45,0,51292
84,57,51302
