Tempo,101
45,44,1145
76,44,1147
76,0,1434
52,41,1442
85,44,1447
45,0,1469
83,46,1609
85,0,1630
52,0,1747
57,35,1778
57,0,1891
81,41,1895
83,0,1908
52,41,2033
52,0,2099
81,0,2193
80,48,2205
80,0,2294
62,41,2360
50,41,2363
80,62,2367
50,0,2616
62,0,2628
80,0,2677
81,49,2684
81,0,2793
52,41,2937
64,43,2938
78,57,2940
64,0,3115
52,0,3149
78,0,3230
80,46,3249
76,46,3523
80,0,3528
45,38,3537
52,36,3801
45,0,3835
57,35,3968
52,0,3999
57,0,4120
59,47,4142
59,0,4259
52,37,4410
52,0,4666
76,0,4681
61,38,4719
61,0,4823
52,35,5009
52,0,5228
57,40,5319
85,50,5321
57,0,5408
52,39,5600
86,41,5617
85,0,5625
52,0,5744
45,39,5908
88,46,5911
86,0,5916
88,0,6030
88,51,6196
52,40,6207
45,0,6230
88,0,6268
88,51,6347
52,0,6442
57,38,6496
85,41,6610
57,0,6617
88,0,6634
52,40,6753
52,0,6823
85,0,6896
83,50,6898
83,0,6976
83,58,7051
52,35,7053
59,36,7342
85,50,7351
83,0,7380
52,0,7392
59,0,7621
86,36,7660
62,29,7681
85,0,7697
62,0,7753
86,0,7944
64,51,7955
90,45,7965
64,0,8015
88,50,8261
57,37,8275
90,0,8296
57,0,8589
64,28,8592
64,0,8817
64,33,9141
69,39,9473
88,0,9694
69,0,9784
64,0,9978
86,47,10059
88,49,10354
86,0,10368
90,56,10638
50,42,10642
88,0,10655
90,0,10916
57,33,10950
50,0,10954
57,0,11168
62,40,11222
90,51,11224
62,0,11321
86,48,11383
90,0,11432
57,44,11517
57,0,11571
86,0,11660
83,49,11665
47,49,11805
54,41,12101
47,0,12114
83,0,12159
83,49,12392
59,39,12397
54,0,12414
59,0,12503
83,0,12671
54,40,12674
90,57,12686
54,0,12754
88,51,12975
49,36,12987
90,0,13012
56,41,13268
49,0,13268
56,0,13515
61,36,13570
88,0,13574
86,47,13581
61,0,13682
88,57,13700
86,0,13726
56,41,13871
56,0,13924
88,0,14022
85,50,14030
54,36,14177
61,32,14486
85,0,14496
54,0,14503
61,0,14741
83,55,14775
66,39,14784
66,0,14891
61,48,15053
83,0,15056
85,49,15063
61,0,15113
85,0,15308
86,47,15336
50,42,15353
86,0,15551
57,32,15643
50,0,15652
86,51,15657
86,0,15767
57,0,15891
62,35,15943
86,53,15960
62,0,16084
85,48,16131
86,0,16135
64,33,16203
64,0,16334
86,49,16433
85,0,16442
66,40,16585
66,0,16740
86,0,16849
85,47,16870
62,39,16999
62,0,17139
83,49,17176
85,0,17191
81,51,17310
83,0,17317
57,44,17446
57,0,17512
76,40,17614
81,0,17644
52,40,17758
59,39,18038
52,0,18087
59,0,18292
64,35,18335
64,0,18535
59,29,18640
68,39,18936
76,0,19122
68,0,19158
59,0,19287
76,39,19822
76,0,19937
76,51,20103
45,41,20121
76,0,20389
52,44,20403
85,53,20418
45,0,20455
85,0,20673
57,41,20706
83,56,20707
52,0,20709
57,0,20813
81,50,20860
83,0,20866
52,48,20958
52,0,21021
81,0,21103
80,50,21120
80,0,21221
62,43,21276
50,48,21280
80,59,21290
50,0,21534
62,0,21552
81,52,21610
80,0,21626
81,0,21675
52,48,21883
64,49,21887
78,56,21889
64,0,22055
52,0,22091
78,0,22173
80,39,22233
45,35,22480
76,39,22482
80,0,22495
45,0,22773
52,36,22778
52,0,22936
57,33,22942
57,0,23073
59,45,23103
59,0,23216
52,36,23401
76,0,23562
52,0,23619
61,43,23688
61,0,23788
52,42,24000
52,0,24224
85,49,24289
57,42,24292
57,0,24394
86,44,24422
85,0,24432
52,51,24574
52,0,24661
86,0,24709
88,44,24713
88,0,24790
45,42,24881
88,66,24882
88,0,25142
52,46,25156
45,0,25159
88,62,25325
52,0,25405
57,50,25460
57,0,25547
88,0,25570
85,51,25601
52,49,25734
52,0,25792
85,0,25874
83,56,25886
83,0,25963
52,35,26006
83,59,26030
85,50,26333
59,33,26335
83,0,26367
52,0,26371
62,35,26624
86,41,26625
59,0,26632
85,0,26653
62,0,26722
86,0,26906
90,47,26927
45,41,27237
88,51,27248
90,0,27286
52,41,27530
45,0,27570
57,43,27693
52,0,27779
59,37,27855
57,0,27855
59,0,27997
52,42,28138
61,46,28447
88,0,28644
86,51,29039
52,0,29052
61,0,29071
88,49,29322
86,0,29328
88,0,29592
50,50,29620
90,55,29628
57,36,29931
50,0,29941
62,37,30110
57,0,30150
64,51,30247
90,0,30248
62,0,30256
88,57,30260
64,0,30363
62,50,30538
90,49,30545
88,0,30585
62,0,30601
52,47,30836
92,57,30843
90,0,30845
52,0,31128
59,41,31131
59,0,31352
92,0,31392
64,46,31418
90,51,31424
64,0,31522
92,49,31699
59,37,31701
90,0,31718
59,0,31751
54,41,31992
92,0,31994
93,50,32008
93,0,32123
61,35,32280
93,47,32302
54,0,32322
93,0,32380
61,0,32520
66,37,32591
93,57,32593
66,0,32679
88,48,32732
93,0,32771
61,49,32876
61,0,32937
88,0,33011
90,53,33013
50,38,33173
57,41,33488
50,0,33504
57,0,33691
90,0,33741
62,49,33776
88,56,33778
62,0,33866
88,0,34059
57,45,34061
86,49,34068
57,0,34123
85,47,34355
45,44,34362
86,0,34381
52,40,34646
88,57,34670
85,0,34674
45,0,34676
52,0,34927
88,0,34952
57,43,34976
86,57,34980
57,0,35080
86,0,35249
52,44,35263
85,56,35270
52,0,35335
85,0,35570
52,46,35573
83,56,35580
59,40,35868
52,0,35896
59,0,36111
81,51,36155
64,47,36167
83,0,36186
64,0,36263
81,0,36436
80,51,36451
59,46,36453
59,0,36495
80,0,36586
81,57,36599
45,44,36737
52,38,37041
45,0,37080
52,0,37300
57,48,37359
57,0,37437
52,40,37653
61,48,37983
81,0,38061
76,55,38264
61,0,38294
76,0,38386
57,40,38418
81,57,38582
52,0,38601
57,0,38638
81,0,38822
52,44,38840
83,55,38856
52,0,38917
45,43,39155
83,0,39219
52,41,39427
85,45,39448
45,0,39449
85,0,39527
85,52,39596
85,0,39691
57,35,39738
52,0,39741
57,0,39856
85,47,39876
85,0,39956
59,48,40017
59,0,40123
85,56,40158
85,0,40240
86,61,40311
61,46,40319
61,0,40461
86,0,40569
85,60,40622
85,0,40727
57,48,40760
57,0,40841
83,59,40926
83,0,41151
52,43,41184
81,57,41212
52,0,41241
50,47,41495
81,0,41762
90,57,41796
57,41,41805
50,0,41808
90,0,41853
90,69,41953
90,0,42026
