Tempo,80
72,46,3708
48,46,3716
55,35,4096
72,0,4329
60,42,4481
72,41,4504
52,37,4878
55,0,4914
60,0,4984
72,0,5181
55,51,5240
79,45,5241
48,0,5354
60,40,5592
52,0,5735
55,0,5831
79,0,5860
60,0,5872
48,52,5977
79,51,5992
48,0,6342
55,51,6355
55,0,6688
79,0,6694
81,44,6722
53,41,6778
60,42,7113
81,0,7275
65,47,7452
81,52,7458
57,57,7816
65,0,7872
60,0,7879
53,0,7929
57,0,7970
81,0,8180
79,49,8205
48,42,8208
55,46,8564
60,47,8939
55,0,9126
52,55,9289
48,0,9325
52,0,9508
77,57,9717
53,55,9730
79,0,9740
60,0,9811
60,42,10073
79,30,10113
79,0,10184
77,0,10351
77,46,10470
65,45,10477
57,55,10811
53,0,10969
65,0,10993
60,0,11066
77,0,11165
57,0,11179
76,60,11189
48,30,11322
50,29,11338
50,0,11458
55,63,11574
76,0,11667
76,59,11926
60,47,11928
52,62,12305
48,0,12343
55,0,12370
60,0,12393
52,0,12505
76,0,12672
74,57,12714
55,39,12733
57,42,12739
57,0,12956
62,49,13057
74,0,13345
67,44,13455
74,50,13460
67,0,13789
59,53,13808
62,0,13865
55,0,13904
59,0,13939
74,0,14126
48,53,14186
72,45,14211
55,49,14563
72,0,14710
60,39,14949
52,53,15290
48,0,15359
60,0,15431
55,0,15477
52,0,15659
79,41,15685
48,39,15701
52,49,16056
79,0,16256
48,0,16422
55,51,16426
79,38,16474
52,0,16767
60,44,16783
55,0,16819
79,0,17141
53,47,17163
77,42,17185
60,0,17225
60,44,17556
77,0,17802
65,51,17938
77,54,17953
57,55,18287
65,0,18339
60,0,18347
53,0,18390
57,0,18432
48,50,18651
77,0,18671
76,47,18694
52,39,19009
76,0,19207
76,57,19424
48,0,19425
55,55,19430
60,42,19799
52,0,19831
55,0,19877
55,60,20179
76,0,20198
74,55,20210
60,0,20213
59,53,20563
74,0,20713
62,46,20950
67,39,21313
62,0,21417
67,0,21423
59,0,21430
55,0,21473
79,48,21704
48,53,21710
55,45,22087
79,0,22200
79,49,22457
60,53,22493
55,0,22548
48,0,22843
55,53,22852
53,57,23196
79,0,23206
77,53,23219
55,0,23227
60,0,23272
60,51,23567
77,0,23806
65,53,23959
77,54,23961
57,58,24344
65,0,24409
60,0,24423
53,0,24437
57,0,24522
77,0,24661
48,64,24682
76,52,24694
52,52,25076
76,0,25462
74,59,25475
55,59,25487
48,0,25548
60,49,25825
55,0,25888
52,0,26015
60,0,26216
48,50,26235
72,66,26236
74,0,26237
55,46,26611
72,0,26810
60,51,27010
52,54,27352
48,0,27433
60,0,27465
55,0,27482
48,60,27716
72,55,27718
52,0,27737
55,42,28044
72,0,28321
48,0,28441
60,51,28464
72,47,28464
55,0,28683
55,34,28800
52,59,28823
55,0,28914
60,0,28968
48,61,29197
79,59,29208
52,0,29234
72,0,29255
55,45,29566
79,0,29855
60,57,29988
79,57,29989
55,0,30116
48,0,30341
55,49,30352
53,49,30686
55,0,30692
81,58,30694
79,0,30703
60,0,30757
60,51,31074
81,0,31303
65,57,31433
81,60,31456
57,49,31807
60,0,31882
65,0,32033
60,66,32155
79,60,32165
81,0,32174
53,0,32226
57,0,32303
60,0,32386
48,70,32546
55,49,32915
48,0,33296
60,50,33323
55,0,33404
53,61,33659
77,60,33690
79,0,33704
60,0,33722
60,53,34061
77,0,34335
65,55,34443
77,60,34453
57,55,34816
60,0,34879
65,0,34880
53,0,34915
57,0,34994
77,0,35147
48,49,35171
76,51,35196
55,46,35540
76,0,35773
60,57,35915
76,59,35940
55,0,36284
52,42,36301
48,0,36317
60,0,36344
52,0,36517
76,0,36681
55,53,36696
74,53,36717
62,48,37051
74,0,37295
67,47,37423
74,55,37440
67,0,37804
59,54,37824
62,0,37888
55,0,37924
59,0,37957
74,0,38185
48,48,38224
72,57,38225
72,0,38522
55,48,38570
60,41,38924
52,46,39315
55,0,39316
48,0,39476
60,0,39478
79,51,39668
48,77,39672
52,0,39715
55,47,40063
79,0,40247
79,50,40461
60,52,40477
55,0,40494
48,0,40832
55,58,40843
53,53,41190
79,0,41207
77,46,41225
55,0,41226
60,0,41232
60,57,41550
77,0,41846
65,49,41906
77,57,41949
57,53,42286
60,0,42352
65,0,42354
53,0,42367
57,0,42444
77,0,42644
48,55,42650
76,44,42672
52,42,43046
76,0,43266
76,55,43434
55,53,43438
48,0,43447
52,0,43808
60,45,43813
55,0,43858
76,0,44179
55,51,44192
74,51,44197
60,0,44219
62,51,44582
74,0,44704
67,46,44923
59,55,45293
67,0,45326
62,0,45352
55,0,45372
59,0,45450
48,53,45657
79,49,45684
52,48,46064
79,0,46231
79,49,46433
55,55,46460
48,0,46491
60,45,46800
52,0,46835
55,0,46874
53,63,47180
79,0,47199
77,50,47202
60,0,47222
60,39,47597
77,0,47856
65,51,47926
77,54,47969
57,59,48309
65,0,48345
60,0,48382
53,0,48398
57,0,48498
77,0,48642
48,48,48679
76,54,48696
52,45,49045
74,62,49434
55,60,49435
48,0,49449
76,0,49451
60,39,49790
52,0,49933
55,0,50016
74,0,50197
48,63,50199
55,45,50214
72,51,50221
48,0,51258
72,0,51318
60,0,51328
55,0,51357
