Tempo,80
74,46,3708
50,46,3716
57,35,4096
74,0,4329
62,42,4481
74,41,4504
54,37,4878
57,0,4914
62,0,4984
74,0,5181
57,51,5240
81,45,5241
50,0,5354
62,40,5592
54,0,5735
57,0,5831
81,0,5860
62,0,5872
50,52,5977
81,51,5992
50,0,6342
57,51,6355
57,0,6688
81,0,6694
83,44,6722
55,41,6778
62,42,7113
83,0,7275
67,47,7452
83,52,7458
59,57,7816
67,0,7872
62,0,7879
55,0,7929
59,0,7970
83,0,8180
81,49,8205
50,42,8208
57,46,8564
62,47,8939
57,0,9126
54,55,9289
50,0,9325
54,0,9508
79,57,9717
55,55,9730
81,0,9740
62,0,9811
62,42,10073
81,30,10113
81,0,10184
79,0,10351
79,46,10470
67,45,10477
59,55,10811
55,0,10969
67,0,10993
62,0,11066
79,0,11165
59,0,11179
78,60,11189
50,30,11322
52,29,11338
52,0,11458
57,63,11574
78,0,11667
78,59,11926
62,47,11928
54,62,12305
50,0,12343
57,0,12370
62,0,12393
54,0,12505
78,0,12672
76,57,12714
57,39,12733
59,42,12739
59,0,12956
64,49,13057
76,0,13345
69,44,13455
76,50,13460
69,0,13789
61,53,13808
64,0,13865
57,0,13904
61,0,13939
76,0,14126
50,53,14186
74,45,14211
57,49,14563
74,0,14710
62,39,14949
54,53,15290
50,0,15359
62,0,15431
57,0,15477
54,0,15659
81,41,15685
50,39,15701
54,49,16056
81,0,16256
50,0,16422
57,51,16426
81,38,16474
54,0,16767
62,44,16783
57,0,16819
81,0,17141
55,47,17163
79,42,17185
62,0,17225
62,44,17556
79,0,17802
67,51,17938
79,54,17953
59,55,18287
67,0,18339
62,0,18347
55,0,18390
59,0,18432
50,50,18651
79,0,18671
78,47,18694
54,39,19009
78,0,19207
78,57,19424
50,0,19425
57,55,19430
62,42,19799
54,0,19831
57,0,19877
57,60,20179
78,0,20198
76,55,20210
62,0,20213
61,53,20563
76,0,20713
64,46,20950
69,39,21313
64,0,21417
69,0,21423
61,0,21430
57,0,21473
81,48,21704
50,53,21710
57,45,22087
81,0,22200
81,49,22457
62,53,22493
57,0,22548
50,0,22843
57,53,22852
55,57,23196
81,0,23206
79,53,23219
57,0,23227
62,0,23272
62,51,23567
79,0,23806
67,53,23959
79,54,23961
59,58,24344
67,0,24409
62,0,24423
55,0,24437
59,0,24522
79,0,24661
50,64,24682
78,52,24694
54,52,25076
78,0,25462
76,59,25475
57,59,25487
50,0,25548
62,49,25825
57,0,25888
54,0,26015
62,0,26216
50,50,26235
74,66,26236
76,0,26237
57,46,26611
74,0,26810
62,51,27010
54,54,27352
50,0,27433
62,0,27465
57,0,27482
50,60,27716
74,55,27718
54,0,27737
57,42,28044
74,0,28321
50,0,28441
62,51,28464
74,47,28464
57,0,28683
57,34,28800
54,59,28823
57,0,28914
62,0,28968
50,61,29197
81,59,29208
54,0,29234
74,0,29255
57,45,29566
81,0,29855
62,57,29988
81,57,29989
57,0,30116
50,0,30341
57,49,30352
55,49,30686
57,0,30692
83,58,30694
81,0,30703
62,0,30757
62,51,31074
83,0,31303
67,57,31433
83,60,31456
59,49,31807
62,0,31882
67,0,32033
62,66,32155
81,60,32165
83,0,32174
55,0,32226
59,0,32303
62,0,32386
50,70,32546
57,49,32915
50,0,33296
62,50,33323
57,0,33404
55,61,33659
79,60,33690
81,0,33704
62,0,33722
62,53,34061
79,0,34335
67,55,34443
79,60,34453
59,55,34816
62,0,34879
67,0,34880
55,0,34915
59,0,34994
79,0,35147
50,49,35171
78,51,35196
57,46,35540
78,0,35773
62,57,35915
78,59,35940
57,0,36284
54,42,36301
50,0,36317
62,0,36344
54,0,36517
78,0,36681
57,53,36696
76,53,36717
64,48,37051
76,0,37295
69,47,37423
76,55,37440
69,0,37804
61,54,37824
64,0,37888
57,0,37924
61,0,37957
76,0,38185
50,48,38224
74,57,38225
74,0,38522
57,48,38570
62,41,38924
54,46,39315
57,0,39316
50,0,39476
62,0,39478
81,51,39668
50,77,39672
54,0,39715
57,47,40063
81,0,40247
81,50,40461
62,52,40477
57,0,40494
50,0,40832
57,58,40843
55,53,41190
81,0,41207
79,46,41225
57,0,41226
62,0,41232
62,57,41550
79,0,41846
67,49,41906
79,57,41949
59,53,42286
62,0,42352
67,0,42354
55,0,42367
59,0,42444
79,0,42644
50,55,42650
78,44,42672
54,42,43046
78,0,43266
78,55,43434
57,53,43438
50,0,43447
54,0,43808
62,45,43813
57,0,43858
78,0,44179
57,51,44192
76,51,44197
62,0,44219
64,51,44582
76,0,44704
69,46,44923
61,55,45293
69,0,45326
64,0,45352
57,0,45372
61,0,45450
50,53,45657
81,49,45684
54,48,46064
81,0,46231
81,49,46433
57,55,46460
50,0,46491
62,45,46800
54,0,46835
57,0,46874
55,63,47180
81,0,47199
79,50,47202
62,0,47222
62,39,47597
79,0,47856
67,51,47926
79,54,47969
59,59,48309
67,0,48345
62,0,48382
55,0,48398
59,0,48498
79,0,48642
50,48,48679
78,54,48696
54,45,49045
76,62,49434
57,60,49435
50,0,49449
78,0,49451
62,39,49790
54,0,49933
57,0,50016
76,0,50197
50,63,50199
57,45,50214
74,51,50221
50,0,51258
74,0,51318
62,0,51328
57,0,51357
