Tempo,78
36,36,907
74,39,911
76,44,1124
74,0,1136
43,39,1290
74,47,1307
36,0,1314
76,0,1326
76,41,1497
74,0,1507
43,0,1668
48,35,1703
48,0,1766
43,32,2060
43,0,2391
52,35,2445
52,0,2534
43,33,2786
43,0,3153
48,40,3180
48,0,3254
76,0,3523
43,27,3531
74,41,3560
43,0,3608
76,39,3740
74,0,3744
77,41,3948
41,31,3963
76,0,3975
77,0,4137
41,0,4289
48,28,4343
77,38,4355
48,0,4597
77,0,4703
53,33,4718
79,39,4719
53,0,4789
79,0,4828
79,48,5002
48,36,5133
48,0,5202
76,41,5323
79,0,5335
36,36,5502
36,0,5848
43,32,5864
76,0,5986
43,0,6234
48,37,6267
48,0,6335
43,38,6638
76,50,6647
43,0,6711
76,0,6839
74,50,6841
72,49,7038
74,0,7041
41,37,7049
41,0,7376
48,27,7434
48,0,7735
53,36,7814
72,0,7814
53,0,7889
72,49,8186
48,36,8191
48,0,8243
43,41,8569
72,0,8570
74,55,8576
43,0,8914
50,28,8967
74,0,9129
72,46,9131
50,0,9245
72,0,9314
74,51,9335
55,36,9338
55,0,9413
72,46,9529
74,0,9530
72,0,9705
50,37,9712
74,51,9714
50,0,9761
76,48,9901
74,0,9919
36,36,10091
36,0,10452
43,32,10467
43,0,10789
48,35,10874
48,0,10934
43,33,11253
43,0,11569
52,37,11648
52,0,11733
76,0,11904
43,35,12019
43,0,12263
76,44,12402
48,44,12404
48,0,12455
79,48,12756
76,0,12756
81,46,13125
79,0,13128
45,45,13147
45,0,13450
45,35,13554
45,0,13913
52,35,13931
81,0,13990
76,22,14198
76,0,14289
52,0,14293
77,33,14325
57,35,14343
57,0,14490
77,0,14510
60,39,14662
74,32,14664
76,62,14714
74,0,14715
60,0,14790
52,31,15063
57,40,15447
52,0,15447
57,0,15535
52,33,15803
76,0,15811
81,49,15820
52,0,15862
43,33,16186
81,0,16205
79,41,16207
43,0,16548
50,30,16591
81,47,16604
79,0,16612
50,0,16937
79,50,16975
55,33,16981
81,0,16982
55,0,17038
79,0,17168
77,47,17180
50,32,17347
76,50,17552
77,0,17557
50,0,17624
59,39,17743
59,0,17847
50,32,18138
76,0,18192
50,0,18495
55,49,18546
55,0,18618
50,43,18905
74,43,18910
50,0,18960
74,0,19258
72,43,19287
41,36,19306
41,0,19670
48,29,19715
72,0,19735
48,0,20027
72,45,20071
53,44,20073
53,0,20148
72,0,20425
76,42,20445
48,35,20454
48,0,20494
76,0,20636
74,46,20644
43,39,20824
43,0,21205
50,32,21222
50,0,21547
74,0,21592
55,44,21624
72,53,21626
55,0,21695
50,47,21985
71,49,21989
72,0,21990
50,0,22045
71,0,22372
72,57,22375
36,39,22378
36,0,22727
43,36,22779
43,0,23111
43,32,23524
43,0,23928
52,35,23989
52,0,24078
43,40,24344
43,0,24758
48,48,24769
72,0,24804
48,0,24857
43,41,25113
43,0,25203
74,53,25504
36,46,25506
76,51,25708
74,0,25727
36,0,25885
43,41,25891
74,50,25906
76,0,25919
76,53,26101
74,0,26129
43,0,26207
48,41,26282
48,0,26351
43,37,26638
43,0,26966
52,43,27019
52,0,27140
43,40,27415
76,0,27554
43,0,27802
48,51,27806
48,0,27874
43,44,28158
74,52,28183
43,0,28221
76,47,28356
74,0,28374
41,42,28571
77,46,28573
53,38,28578
76,0,28588
77,0,28792
41,0,28879
53,0,28905
48,33,28961
77,36,28976
48,0,29273
79,42,29323
53,35,29333
77,0,29345
53,0,29413
79,0,29427
79,48,29585
48,38,29721
48,0,29797
79,0,29882
76,36,29894
36,32,30115
43,35,30472
36,0,30476
76,0,30522
43,0,30853
48,44,30885
48,0,30962
76,55,31061
43,47,31233
43,0,31298
76,0,31423
74,41,31426
74,0,31605
41,51,31639
72,61,31641
41,0,31980
48,33,32033
72,0,32344
48,0,32380
53,47,32418
53,0,32487
48,37,32790
72,50,32799
48,0,32853
43,43,33167
74,55,33178
72,0,33192
50,36,33570
