Tempo,78
46,36,907
84,39,911
86,44,1124
84,0,1136
53,39,1290
84,47,1307
46,0,1314
86,0,1326
86,41,1497
84,0,1507
53,0,1668
58,35,1703
58,0,1766
53,32,2060
53,0,2391
62,35,2445
62,0,2534
53,33,2786
53,0,3153
58,40,3180
58,0,3254
86,0,3523
53,27,3531
84,41,3560
53,0,3608
86,39,3740
84,0,3744
87,41,3948
51,31,3963
86,0,3975
87,0,4137
51,0,4289
58,28,4343
87,38,4355
58,0,4597
87,0,4703
63,33,4718
89,39,4719
63,0,4789
89,0,4828
89,48,5002
58,36,5133
58,0,5202
86,41,5323
89,0,5335
46,36,5502
46,0,5848
53,32,5864
86,0,5986
53,0,6234
58,37,6267
58,0,6335
53,38,6638
86,50,6647
53,0,6711
86,0,6839
84,50,6841
82,49,7038
84,0,7041
51,37,7049
51,0,7376
58,27,7434
58,0,7735
63,36,7814
82,0,7814
63,0,7889
82,49,8186
58,36,8191
58,0,8243
53,41,8569
82,0,8570
84,55,8576
53,0,8914
60,28,8967
84,0,9129
82,46,9131
60,0,9245
82,0,9314
84,51,9335
65,36,9338
65,0,9413
82,46,9529
84,0,9530
82,0,9705
60,37,9712
84,51,9714
60,0,9761
86,48,9901
84,0,9919
46,36,10091
46,0,10452
53,32,10467
53,0,10789
58,35,10874
58,0,10934
53,33,11253
53,0,11569
62,37,11648
62,0,11733
86,0,11904
53,35,12019
53,0,12263
86,44,12402
58,44,12404
58,0,12455
89,48,12756
86,0,12756
91,46,13125
89,0,13128
55,45,13147
55,0,13450
55,35,13554
55,0,13913
62,35,13931
91,0,13990
86,22,14198
86,0,14289
62,0,14293
87,33,14325
67,35,14343
67,0,14490
87,0,14510
70,39,14662
84,32,14664
86,62,14714
84,0,14715
70,0,14790
62,31,15063
67,40,15447
62,0,15447
67,0,15535
62,33,15803
86,0,15811
91,49,15820
62,0,15862
53,33,16186
91,0,16205
89,41,16207
53,0,16548
60,30,16591
91,47,16604
89,0,16612
60,0,16937
89,50,16975
65,33,16981
91,0,16982
65,0,17038
89,0,17168
87,47,17180
60,32,17347
86,50,17552
87,0,17557
60,0,17624
69,39,17743
69,0,17847
60,32,18138
86,0,18192
60,0,18495
65,49,18546
65,0,18618
60,43,18905
84,43,18910
60,0,18960
84,0,19258
82,43,19287
51,36,19306
51,0,19670
58,29,19715
82,0,19735
58,0,20027
82,45,20071
63,44,20073
63,0,20148
82,0,20425
86,42,20445
58,35,20454
58,0,20494
86,0,20636
84,46,20644
53,39,20824
53,0,21205
60,32,21222
60,0,21547
84,0,21592
65,44,21624
82,53,21626
65,0,21695
60,47,21985
81,49,21989
82,0,21990
60,0,22045
81,0,22372
82,57,22375
46,39,22378
46,0,22727
53,36,22779
53,0,23111
53,32,23524
53,0,23928
62,35,23989
62,0,24078
53,40,24344
53,0,24758
58,48,24769
82,0,24804
58,0,24857
53,41,25113
53,0,25203
84,53,25504
46,46,25506
86,51,25708
84,0,25727
46,0,25885
53,41,25891
84,50,25906
86,0,25919
86,53,26101
84,0,26129
53,0,26207
58,41,26282
58,0,26351
53,37,26638
53,0,26966
62,43,27019
62,0,27140
53,40,27415
86,0,27554
53,0,27802
58,51,27806
58,0,27874
53,44,28158
84,52,28183
53,0,28221
86,47,28356
84,0,28374
51,42,28571
87,46,28573
63,38,28578
86,0,28588
87,0,28792
51,0,28879
63,0,28905
58,33,28961
87,36,28976
58,0,29273
89,42,29323
63,35,29333
87,0,29345
63,0,29413
89,0,29427
89,48,29585
58,38,29721
58,0,29797
89,0,29882
86,36,29894
46,32,30115
53,35,30472
46,0,30476
86,0,30522
53,0,30853
58,44,30885
58,0,30962
86,55,31061
53,47,31233
53,0,31298
86,0,31423
84,41,31426
84,0,31605
51,51,31639
82,61,31641
51,0,31980
58,33,32033
82,0,32344
58,0,32380
63,47,32418
63,0,32487
58,37,32790
82,50,32799
58,0,32853
53,43,33167
84,55,33178
82,0,33192
60,36,33570
53,0,33629
82,48,33758
84,0,33767
60,0,33908
82,0,33942
84,51,33955
65,40,33962
65,0,34029
82,50,34144
84,0,34148
60,42,34330
82,0,34333
84,57,34337
60,0,34385
86,52,34526
84,0,34551
46,41,34713
46,0,35096
53,37,35107
53,0,35462
58,35,35494
58,0,35565
53,36,35848
53,0,36190
86,0,36216
62,44,36236
62,0,36336
53,39,36593
53,0,36976
86,46,37005
58,37,37011
58,0,37076
53,35,37364
89,49,37365
86,0,37377
53,0,37423
55,48,37739
91,46,37742
89,0,37750
55,0,38138
62,30,38172
91,0,38487
62,0,38521
67,38,38541
86,43,38543
67,0,38604
84,48,38726
86,0,38747
84,0,38921
86,51,38926
62,37,38932
62,0,39279
70,37,39306
70,0,39516
62,32,39718
62,0,40077
67,35,40123
67,0,40186
62,36,40483
86,0,40485
91,52,40495
62,0,40536
53,36,40874
89,51,40876
91,0,40877
60,30,41251
53,0,41263
91,44,41273
89,0,41285
60,0,41622
65,35,41649
89,49,41651
91,0,41678
65,0,41727
89,0,41848
87,46,41857
60,32,42035
86,47,42216
87,0,42231
60,0,42303
69,36,42399
69,0,42518
60,32,42789
86,0,42878
60,0,43137
65,44,43167
65,0,43252
84,58,43343
60,41,43520
60,0,43569
84,0,43685
82,55,43702
51,41,43887
82,0,44239
51,0,44264
58,33,44281
58,0,44605
63,39,44639
63,0,44721
86,46,44867
58,41,45032
58,0,45096
86,0,45200
84,51,45227
53,45,45410
53,0,45779
60,35,45803
84,0,45809
60,0,46137
65,46,46200
82,59,46205
65,0,46279
60,42,46567
81,59,46568
82,0,46574
60,0,46621
82,57,46967
81,0,46969
46,38,46971
53,29,47343
46,0,47344
53,0,47743
58,36,47798
58,0,47875
53,36,48154
53,0,48508
62,41,48595
62,0,48690
82,0,48782
53,39,48949
86,70,49162
53,0,49340
86,0,49356
58,39,49382
84,80,49384
58,0,49456
82,57,49588
84,0,49599
53,43,49748
53,0,49815
82,0,49927
79,59,49964
51,51,50156
79,0,50510
51,0,50513
58,40,50541
58,0,50864
79,57,50913
63,43,50916
63,0,51003
79,0,51110
82,59,51125
58,44,51296
58,0,51366
82,0,51428
81,61,51481
53,49,51667
53,0,51995
60,36,52045
86,60,52049
81,0,52061
60,0,52355
86,0,52416
84,57,52428
65,47,52430
65,0,52506
82,61,52640
84,0,52672
60,48,52795
60,0,52848
79,53,52986
82,0,52989
46,40,53170
79,0,53367
77,57,53370
46,0,53535
53,37,53547
53,0,53899
58,48,53949
58,0,54024
53,35,54312
53,0,54643
62,50,54723
62,0,54826
77,0,54959
53,46,55135
86,60,55310
53,0,55496
84,61,55515
58,44,55520
86,0,55545
58,0,55602
84,0,55707
82,62,55711
53,45,55885
53,0,55960
82,0,56048
79,60,56072
51,52,56280
79,0,56546
51,0,56611
58,38,56659
79,59,56850
58,0,56930
79,0,56940
63,47,57029
79,68,57031
63,0,57103
79,0,57217
82,62,57223
58,42,57390
58,0,57466
82,0,57532
81,63,57586
53,50,57754
53,0,58095
81,0,58115
60,41,58143
82,58,58154
60,0,58453
84,52,58521
65,48,58526
82,0,58526
65,0,58597
84,0,58876
60,43,58880
