Tempo,56
36,44,1080
67,44,1081
43,30,1364
36,0,1410
67,0,1632
48,30,1640
50,33,1875
67,39,1877
48,0,1891
50,0,1990
67,0,2123
52,42,2149
76,57,2151
52,0,2404
76,0,2471
74,56,2487
43,0,2572
48,33,2668
48,0,2719
74,0,2845
72,46,2860
43,29,3108
74,51,3147
72,0,3149
50,35,3383
43,0,3426
55,31,3621
55,0,3821
57,33,3850
74,0,3854
67,37,3857
57,0,4041
67,0,4042
76,59,4117
50,0,4375
74,47,4382
76,0,4388
55,31,4605
74,0,4628
72,46,4631
55,0,4676
69,42,4879
72,0,4886
41,33,5165
48,32,5446
41,0,5519
69,0,5620
53,31,5711
53,0,5940
55,36,5946
67,44,5947
67,0,6164
76,61,6221
55,0,6358
76,0,6476
74,52,6487
48,0,6722
53,39,6727
74,0,6731
72,48,6735
53,0,6804
72,0,7243
74,53,7278
43,40,7280
71,41,7283
50,35,7558
71,0,7569
43,0,7605
74,0,7615
55,36,7823
76,50,7828
76,0,7995
55,0,8056
57,35,8072
57,0,8175
77,50,8332
59,41,8334
59,0,8484
50,0,8585
77,0,8683
81,48,8840
55,33,8868
55,0,8941
79,58,9415
36,41,9425
81,0,9447
43,31,9698
36,0,9759
48,33,9958
79,0,10068
48,0,10156
50,36,10192
67,41,10215
50,0,10305
67,0,10443
52,39,10496
76,61,10501
52,0,10722
76,0,10794
74,46,10796
43,0,10830
74,0,11037
48,31,11039
72,41,11049
48,0,11108
72,0,11298
74,47,11319
43,32,11599
50,37,11891
43,0,11930
55,38,12166
74,0,12382
55,0,12384
67,41,12415
57,35,12420
57,0,12591
67,0,12619
76,57,12715
50,0,13012
76,0,13059
74,57,13086
55,41,13233
55,0,13287
72,60,13385
74,0,13392
72,0,13760
69,49,13779
41,39,13788
48,32,14054
41,0,14090
69,0,14277
53,35,14334
53,0,14532
67,44,14563
55,36,14573
67,0,14801
76,58,14865
55,0,15072
76,0,15124
74,51,15126
48,0,15262
74,0,15372
72,50,15381
53,36,15383
53,0,15446
72,0,15886
43,41,15922
74,51,15933
50,33,16201
43,0,16210
74,0,16238
55,35,16450
76,38,16458
76,0,16561
57,33,16700
55,0,16702
57,0,16803
77,50,16963
59,38,16970
59,0,17133
77,0,17186
50,0,17233
81,42,17493
55,32,17497
55,0,17569
81,0,17973
79,46,18056
36,31,18073
43,32,18315
36,0,18336
79,0,18540
43,0,18555
48,32,18602
48,0,18772
50,36,18839
76,46,18853
76,0,18937
50,0,19065
52,41,19133
76,62,19147
76,0,19393
77,42,19400
52,0,19559
77,0,19683
76,46,19694
76,0,19947
74,52,19955
43,41,20221
50,35,20475
79,46,20481
74,0,20501
43,0,20504
55,32,20724
57,36,20986
55,0,20993
57,0,21513
55,28,21568
50,0,21812
55,0,21830
59,35,21853
59,0,21913
41,49,22358
48,37,22620
41,0,22719
53,46,22904
79,0,22920
48,0,22956
53,0,23077
55,45,23138
55,0,23402
57,46,23406
76,52,23418
76,0,23756
77,55,23772
57,0,23890
60,47,23945
60,0,24006
77,0,24066
76,47,24141
76,0,24231
43,41,24493
76,57,24508
50,30,24768
43,0,24807
55,32,25025
76,0,25244
55,0,25249
74,45,25255
59,33,25270
74,0,25338
74,42,25550
59,0,25632
50,0,25734
55,29,26100
55,0,26145
36,43,26576
43,38,26849
36,0,26877
48,43,27135
43,0,27165
74,0,27278
48,0,27306
50,43,27381
76,57,27387
76,0,27472
50,0,27639
52,53,27679
76,70,27690
76,0,28048
77,60,28055
52,0,28152
55,46,28207
55,0,28308
76,56,28416
77,0,28424
76,0,28677
43,44,28718
74,64,28726
50,35,29015
43,0,29060
55,36,29267
55,0,29496
79,56,29513
