Tempo,56
44,44,1080
75,44,1081
51,30,1364
44,0,1410
75,0,1632
56,30,1640
58,33,1875
75,39,1877
56,0,1891
58,0,1990
75,0,2123
60,42,2149
84,57,2151
60,0,2404
84,0,2471
82,56,2487
51,0,2572
56,33,2668
56,0,2719
82,0,2845
80,46,2860
51,29,3108
82,51,3147
80,0,3149
58,35,3383
51,0,3426
63,31,3621
63,0,3821
65,33,3850
82,0,3854
75,37,3857
65,0,4041
75,0,4042
84,59,4117
58,0,4375
82,47,4382
84,0,4388
63,31,4605
82,0,4628
80,46,4631
63,0,4676
77,42,4879
80,0,4886
49,33,5165
56,32,5446
49,0,5519
77,0,5620
61,31,5711
61,0,5940
63,36,5946
75,44,5947
75,0,6164
84,61,6221
63,0,6358
84,0,6476
82,52,6487
56,0,6722
61,39,6727
82,0,6731
80,48,6735
61,0,6804
80,0,7243
82,53,7278
51,40,7280
79,41,7283
58,35,7558
79,0,7569
51,0,7605
82,0,7615
63,36,7823
84,50,7828
84,0,7995
63,0,8056
65,35,8072
65,0,8175
85,50,8332
67,41,8334
67,0,8484
58,0,8585
85,0,8683
89,48,8840
63,33,8868
63,0,8941
87,58,9415
44,41,9425
89,0,9447
51,31,9698
44,0,9759
56,33,9958
87,0,10068
56,0,10156
58,36,10192
75,41,10215
58,0,10305
75,0,10443
60,39,10496
84,61,10501
60,0,10722
84,0,10794
82,46,10796
51,0,10830
82,0,11037
56,31,11039
80,41,11049
56,0,11108
80,0,11298
82,47,11319
51,32,11599
58,37,11891
51,0,11930
63,38,12166
82,0,12382
63,0,12384
75,41,12415
65,35,12420
65,0,12591
75,0,12619
84,57,12715
58,0,13012
84,0,13059
82,57,13086
63,41,13233
63,0,13287
80,60,13385
82,0,13392
80,0,13760
77,49,13779
49,39,13788
56,32,14054
49,0,14090
77,0,14277
61,35,14334
61,0,14532
75,44,14563
63,36,14573
75,0,14801
84,58,14865
63,0,15072
84,0,15124
82,51,15126
56,0,15262
82,0,15372
80,50,15381
61,36,15383
61,0,15446
80,0,15886
51,41,15922
82,51,15933
58,33,16201
51,0,16210
82,0,16238
63,35,16450
84,38,16458
84,0,16561
65,33,16700
63,0,16702
65,0,16803
85,50,16963
67,38,16970
67,0,17133
85,0,17186
58,0,17233
89,42,17493
63,32,17497
63,0,17569
89,0,17973
87,46,18056
44,31,18073
51,32,18315
44,0,18336
87,0,18540
51,0,18555
56,32,18602
56,0,18772
58,36,18839
84,46,18853
84,0,18937
58,0,19065
60,41,19133
84,62,19147
84,0,19393
85,42,19400
60,0,19559
85,0,19683
84,46,19694
84,0,19947
82,52,19955
51,41,20221
58,35,20475
87,46,20481
82,0,20501
51,0,20504
63,32,20724
65,36,20986
63,0,20993
65,0,21513
63,28,21568
58,0,21812
63,0,21830
67,35,21853
67,0,21913
