Tempo,84
84,49,3631
86,55,3960
84,0,4062
86,0,4209
48,52,4318
86,64,4324
52,39,4659
88,49,4662
86,0,4713
55,47,5038
48,0,5200
60,39,5362
52,0,5386
55,0,5510
55,50,5713
52,43,6081
60,0,6126
55,0,6245
88,0,6410
48,51,6417
86,42,6423
52,0,6453
88,47,6608
86,0,6619
86,53,6789
88,0,6907
84,49,6963
86,0,7000
86,54,7152
52,47,7154
84,0,7220
86,0,7525
91,28,7574
55,43,7911
48,0,7949
60,36,8233
52,0,8324
48,45,8586
60,0,8612
55,0,8674
52,39,8978
91,0,9289
89,57,9298
88,49,9648
89,0,9662
55,45,9669
48,0,9696
52,0,9897
60,52,9984
84,51,10027
88,0,10036
55,0,10070
48,33,10418
60,0,10565
81,60,10729
84,0,10768
52,40,11085
48,0,11374
55,61,11416
52,0,11480
53,51,11756
55,0,11975
57,57,12122
77,58,12494
60,54,12495
57,0,12555
81,0,12574
53,0,12660
60,0,12678
79,51,12870
48,54,12892
77,0,12934
52,37,13243
55,42,13569
48,0,13675
79,0,13895
60,45,13903
52,0,14073
48,53,14283
55,0,14348
60,0,14371
52,41,14650
84,54,15005
55,51,15054
48,0,15113
52,0,15328
60,55,15350
86,55,15365
84,0,15444
55,0,15540
60,0,15618
86,0,15636
86,58,15718
48,55,15719
88,51,16061
86,0,16083
52,28,16460
55,47,16773
52,0,17030
60,36,17135
52,44,17506
48,0,17634
55,0,17681
86,51,17842
55,58,17860
88,0,17876
52,0,17971
88,49,18026
86,0,18037
86,55,18200
60,0,18220
52,38,18269
88,0,18303
84,51,18401
55,0,18415
86,0,18430
52,0,18566
48,49,18575
86,55,18601
84,0,18689
91,55,18918
86,0,18933
52,37,19270
55,49,19663
48,0,19948
60,44,19985
52,0,20068
48,44,20369
55,0,20450
60,0,20487
52,47,20718
88,45,20758
91,0,20769
48,0,21053
55,57,21099
91,49,21116
52,0,21122
88,0,21190
53,54,21454
55,0,21456
93,73,21468
91,0,21488
57,48,21817
60,46,22193
53,0,22472
65,43,22500
57,0,22819
91,52,22862
93,0,22863
53,53,22881
60,0,22895
65,0,22968
57,44,23254
60,46,23607
65,43,23931
53,0,23935
60,0,23986
57,0,24007
65,0,24059
91,0,24260
84,51,24310
50,37,24337
86,53,24466
84,0,24534
88,58,24639
86,0,24669
86,59,24823
88,0,24875
57,57,25032
62,32,25373
53,42,25717
62,0,25724
57,0,25762
57,45,26069
53,0,26386
62,47,26468
53,41,26816
62,0,26840
50,0,26868
57,0,26876
53,0,27098
86,0,27142
84,54,27165
48,54,27177
52,42,27522
55,50,27915
48,0,27954
84,0,28133
60,53,28219
84,61,28267
52,0,28348
60,0,28515
55,0,28524
84,0,28527
84,58,28601
48,50,28612
52,44,28968
84,0,29147
84,57,29275
55,50,29298
48,0,29414
52,0,29632
60,37,29652
55,0,29740
60,0,30008
55,51,30014
83,63,30019
84,0,30020
59,45,30355
62,49,30724
67,36,31074
62,0,31163
55,0,31187
59,0,31192
67,0,31207
83,0,31405
84,49,31427
48,58,31428
52,38,31797
84,0,31994
84,57,32153
55,53,32167
48,0,32457
60,42,32516
52,0,32539
55,0,32634
84,0,32853
83,54,32872
55,61,32891
60,0,32920
62,28,33253
67,32,33576
