MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,ngram_notes,8,8,tanh,False,False,"[('0.477', '0.203'), ('0.497', '0.111'), ('0.443', '0.191'), ('0.486', '0.243'), ('0.452', '0.208'), ('0.479', '0.250'), ('0.468', '0.187'), ('0.460', '0.242'), ('0.453', '0.291'), ('0.473', '0.171')]","('0.4688', '0.2097')"
LogReg,ngram_notes,7,8,tanh,False,False,"[('0.458', '0.203'), ('0.486', '0.154'), ('0.417', '0.202'), ('0.445', '0.235'), ('0.455', '0.229'), ('0.482', '0.250'), ('0.453', '0.165'), ('0.468', '0.242'), ('0.454', '0.291'), ('0.448', '0.171')]","('0.4566', '0.2142')"
LogReg,ngram_notes,6,8,tanh,False,False,"[('0.441', '0.195'), ('0.460', '0.128'), ('0.405', '0.245'), ('0.412', '0.191'), ('0.430', '0.219'), ('0.434', '0.250'), ('0.411', '0.165'), ('0.423', '0.263'), ('0.423', '0.291'), ('0.423', '0.220')]","('0.4262', '0.2167')"
LogReg,ngram_notes,5,8,tanh,False,False,"[('0.421', '0.195'), ('0.432', '0.120'), ('0.399', '0.277'), ('0.410', '0.226'), ('0.416', '0.198'), ('0.416', '0.241'), ('0.396', '0.176'), ('0.423', '0.274'), ('0.394', '0.278'), ('0.415', '0.244')]","('0.4122', '0.2229')"
LogReg,ngram_notes,3,8,tanh,False,True,"[('0.328', '0.263'), ('0.309', '0.154'), ('0.312', '0.277'), ('0.315', '0.235'), ('0.319', '0.250'), ('0.304', '0.231'), ('0.338', '0.132'), ('0.306', '0.411'), ('0.314', '0.190'), ('0.308', '0.220')]","('0.3153', '0.2363')"
LogReg,ngram_notes,3,8,tanh,True,True,"[('0.328', '0.263'), ('0.309', '0.154'), ('0.312', '0.277'), ('0.315', '0.235'), ('0.321', '0.250'), ('0.304', '0.231'), ('0.338', '0.132'), ('0.306', '0.411'), ('0.314', '0.190'), ('0.307', '0.220')]","('0.3154', '0.2363')"
LogReg,ngram_notes,5,8,tanh,False,True,"[('0.312', '0.246'), ('0.303', '0.137'), ('0.315', '0.287'), ('0.316', '0.235'), ('0.304', '0.323'), ('0.300', '0.241'), ('0.319', '0.154'), ('0.302', '0.411'), ('0.306', '0.165'), ('0.294', '0.171')]","('0.3071', '0.2370')"
LogReg,ngram_notes,5,8,tanh,True,True,"[('0.312', '0.254'), ('0.303', '0.145'), ('0.315', '0.287'), ('0.316', '0.235'), ('0.304', '0.323'), ('0.300', '0.241'), ('0.319', '0.154'), ('0.302', '0.400'), ('0.306', '0.165'), ('0.294', '0.171')]","('0.3071', '0.2375')"
LogReg,ngram_notes,8,6,tanh,False,False,"[('0.452', '0.270'), ('0.429', '0.157'), ('0.428', '0.286'), ('0.431', '0.281'), ('0.419', '0.225'), ('0.431', '0.198'), ('0.427', '0.172'), ('0.431', '0.295'), ('0.437', '0.303'), ('0.441', '0.197')]","('0.4326', '0.2384')"
LogReg,ngram_notes,8,7,tanh,False,False,"[('0.437', '0.233'), ('0.490', '0.118'), ('0.435', '0.281'), ('0.453', '0.246'), ('0.424', '0.182'), ('0.447', '0.232'), ('0.454', '0.189'), ('0.444', '0.270'), ('0.435', '0.369'), ('0.435', '0.275')]","('0.4454', '0.2395')"
LogReg,ngram_notes,4,8,tanh,False,True,"[('0.307', '0.263'), ('0.311', '0.154'), ('0.323', '0.287'), ('0.316', '0.243'), ('0.301', '0.229'), ('0.310', '0.241'), ('0.322', '0.176'), ('0.295', '0.411'), ('0.305', '0.177'), ('0.294', '0.220')]","('0.3084', '0.2401')"
LogReg,ngram_notes,4,8,tanh,True,True,"[('0.313', '0.263'), ('0.312', '0.154'), ('0.323', '0.287'), ('0.316', '0.243'), ('0.302', '0.229'), ('0.304', '0.241'), ('0.322', '0.176'), ('0.295', '0.411'), ('0.305', '0.177'), ('0.295', '0.220')]","('0.3087', '0.2401')"
LogReg,ngram_notes,5,7,tanh,False,False,"[('0.405', '0.242'), ('0.433', '0.118'), ('0.408', '0.312'), ('0.397', '0.263'), ('0.407', '0.192'), ('0.411', '0.241'), ('0.404', '0.168'), ('0.402', '0.250'), ('0.385', '0.298'), ('0.398', '0.333')]","('0.4050', '0.2417')"
LogReg,ngram_notes,7,8,tanh,False,True,"[('0.318', '0.263'), ('0.312', '0.171'), ('0.317', '0.298'), ('0.324', '0.243'), ('0.300', '0.292'), ('0.292', '0.231'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.304', '0.127'), ('0.306', '0.244')]","('0.3083', '0.2434')"
LogReg,ngram_notes,7,8,tanh,True,True,"[('0.318', '0.263'), ('0.312', '0.171'), ('0.317', '0.298'), ('0.323', '0.243'), ('0.300', '0.292'), ('0.292', '0.231'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.304', '0.127'), ('0.306', '0.244')]","('0.3082', '0.2434')"
LogReg,ngram_notes,8,5,tanh,False,False,"[('0.438', '0.242'), ('0.437', '0.098'), ('0.423', '0.260'), ('0.425', '0.258'), ('0.424', '0.238'), ('0.428', '0.167'), ('0.443', '0.165'), ('0.420', '0.409'), ('0.429', '0.330'), ('0.430', '0.268')]","('0.4297', '0.2435')"
LogReg,ngram_notes,4,8,tanh,False,False,"[('0.411', '0.220'), ('0.427', '0.103'), ('0.406', '0.351'), ('0.402', '0.287'), ('0.407', '0.229'), ('0.407', '0.259'), ('0.389', '0.209'), ('0.413', '0.305'), ('0.408', '0.266'), ('0.407', '0.244')]","('0.4077', '0.2473')"
LogReg,ngram_notes,6,8,tanh,False,True,"[('0.313', '0.263'), ('0.303', '0.154'), ('0.315', '0.298'), ('0.315', '0.243'), ('0.310', '0.333'), ('0.298', '0.222'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.310', '0.152'), ('0.306', '0.244')]","('0.3080', '0.2474')"
LogReg,ngram_notes,8,8,tanh,False,True,"[('0.325', '0.297'), ('0.320', '0.162'), ('0.316', '0.309'), ('0.325', '0.243'), ('0.300', '0.271'), ('0.297', '0.231'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.301', '0.152'), ('0.306', '0.244')]","('0.3100', '0.2474')"
LogReg,ngram_notes,6,8,tanh,True,True,"[('0.315', '0.263'), ('0.303', '0.154'), ('0.315', '0.298'), ('0.315', '0.243'), ('0.310', '0.333'), ('0.298', '0.222'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.310', '0.152'), ('0.306', '0.244')]","('0.3082', '0.2474')"
LogReg,ngram_notes,8,8,tanh,True,True,"[('0.327', '0.297'), ('0.320', '0.162'), ('0.316', '0.309'), ('0.325', '0.243'), ('0.300', '0.271'), ('0.297', '0.231'), ('0.319', '0.154'), ('0.291', '0.411'), ('0.301', '0.152'), ('0.306', '0.244')]","('0.3102', '0.2474')"
LogReg,ngram_notes,7,7,tanh,False,False,"[('0.431', '0.225'), ('0.468', '0.126'), ('0.428', '0.292'), ('0.438', '0.229'), ('0.424', '0.242'), ('0.452', '0.259'), ('0.438', '0.189'), ('0.438', '0.270'), ('0.442', '0.333'), ('0.429', '0.314')]","('0.4388', '0.2479')"
LogReg,ngram_notes,4,7,tanh,True,True,"[('0.329', '0.258'), ('0.324', '0.118'), ('0.330', '0.292'), ('0.323', '0.237'), ('0.308', '0.253'), ('0.328', '0.223'), ('0.323', '0.158'), ('0.318', '0.440'), ('0.314', '0.190'), ('0.331', '0.314')]","('0.3228', '0.2483')"
