MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,current_bar,5,1,sigmoid,False,False,"[('0.159', '0.187'), ('0.162', '0.154'), ('0.171', '0.174'), ('0.154', '0.154'), ('0.177', '0.179')]","('0.1646', '0.1696')"
MLP,current_bar,5,1,logistic,False,False,"[('0.237', '0.284'), ('0.259', '0.178'), ('0.242', '0.263'), ('0.242', '0.262'), ('0.244', '0.244')]","('0.2448', '0.2462')"
LogReg,current_bar,5,1,identity,False,False,"[('0.238', '0.285'), ('0.259', '0.181'), ('0.241', '0.261'), ('0.240', '0.262'), ('0.245', '0.244')]","('0.2446', '0.2466')"
LogReg,current_bar,5,1,relu,False,False,"[('0.238', '0.285'), ('0.259', '0.181'), ('0.241', '0.261'), ('0.240', '0.262'), ('0.245', '0.244')]","('0.2446', '0.2466')"
LogReg,current_bar,5,1,logistic,False,False,"[('0.238', '0.285'), ('0.259', '0.181'), ('0.241', '0.261'), ('0.240', '0.262'), ('0.245', '0.244')]","('0.2446', '0.2466')"
LogReg,current_bar,5,1,tanh,False,False,"[('0.238', '0.285'), ('0.259', '0.181'), ('0.241', '0.261'), ('0.240', '0.262'), ('0.245', '0.244')]","('0.2446', '0.2466')"
MLP,current_bar,5,1,identity,False,False,"[('0.237', '0.284'), ('0.259', '0.182'), ('0.241', '0.262'), ('0.240', '0.265'), ('0.244', '0.244')]","('0.2442', '0.2474')"
MLP,current_bar,5,1,identity,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
MLP,current_bar,5,1,relu,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
MLP,current_bar,5,1,logistic,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
MLP,current_bar,5,1,tanh,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
SVM,current_bar,5,1,linear,False,False,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
SVM,current_bar,5,1,rbf,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
SVM,current_bar,5,1,linear,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
SVM,current_bar,5,1,sigmoid,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
LogReg,current_bar,5,1,identity,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
LogReg,current_bar,5,1,relu,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
LogReg,current_bar,5,1,logistic,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
LogReg,current_bar,5,1,tanh,False,True,"[('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]","('0.2432', '0.2478')"
SVM,current_bar,5,1,rbf,False,False,"[('0.238', '0.282'), ('0.260', '0.181'), ('0.241', '0.262'), ('0.241', '0.271'), ('0.247', '0.244')]","('0.2454', '0.2480')"
MLP,current_bar,5,1,tanh,False,False,"[('0.281', '0.288'), ('0.306', '0.206'), ('0.297', '0.259'), ('0.300', '0.250'), ('0.291', '0.262')]","('0.2950', '0.2530')"
MLP,current_bar,5,1,relu,False,False,"[('0.285', '0.298'), ('0.290', '0.204'), ('0.285', '0.265'), ('0.293', '0.250'), ('0.283', '0.254')]","('0.2872', '0.2542')"
