        2                   4                   identity            True                True                [('0.333', '0.258'), ('0.299', '0.294'), ('0.308', '0.182'), ('0.318', '0.230'), ('0.309', '0.242'), ('0.332', '0.330'), ('0.322', '0.130'), ('0.311', '0.300'), ('0.345', '0.194'), ('0.318', '0.163')]('0.3195', '0.2323')
LogReg              ngram_notes         2                   5                   identity            True                True                [('0.328', '0.344'), ('0.300', '0.280'), ('0.310', '0.174'), ('0.326', '0.292'), ('0.314', '0.250'), ('0.331', '0.307'), ('0.328', '0.122'), ('0.312', '0.328'), ('0.325', '0.254'), ('0.323', '0.175')]('0.3197', '0.2526')
LogReg              ngram_notes         2                   6                   identity            True                True                [('0.338', '0.350'), ('0.311', '0.306'), ('0.313', '0.179'), ('0.313', '0.357'), ('0.338', '0.242'), ('0.347', '0.247'), ('0.347', '0.127'), ('0.327', '0.344'), ('0.345', '0.161'), ('0.335', '0.108')]('0.3314', '0.2421')
LogReg              ngram_notes         2                   7                   identity            True                True                [('0.338', '0.390'), ('0.326', '0.302'), ('0.306', '0.207'), ('0.363', '0.265'), ('0.323', '0.267'), ('0.337', '0.232'), ('0.339', '0.191'), ('0.332', '0.279'), ('0.359', '0.113'), ('0.340', '0.118')]('0.3363', '0.2364')
LogReg              ngram_notes         2                   8                   identity            True                True                [('0.337', '0.362'), ('0.341', '0.298'), ('0.304', '0.188'), ('0.321', '0.258'), ('0.337', '0.276'), ('0.339', '0.203'), ('0.347', '0.215'), ('0.341', '0.276'), ('0.351', '0.120'), ('0.355', '0.097')]('0.3373', '0.2293')
LogReg              ngram_notes         3                   1                   identity            True                True                [('0.253', '0.215'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.296', '0.362'), ('0.303', '0.208'), ('0.296', '0.310'), ('0.320', '0.151'), ('0.293', '0.329'), ('0.289', '0.394'), ('0.303', '0.231')]('0.2976', '0.2668')
LogReg              ngram_notes         3                   2                   identity            True                True                [('0.300', '0.391'), ('0.301', '0.302'), ('0.317', '0.185'), ('0.275', '0.372'), ('0.299', '0.229'), ('0.302', '0.320'), ('0.314', '0.133'), ('0.294', '0.316'), ('0.319', '0.176'), ('0.287', '0.163')]('0.3008', '0.2587')
LogReg              ngram_notes         3                   3                   identity            True                True                [('0.325', '0.302'), ('0.310', '0.298'), ('0.314', '0.189'), ('0.297', '0.289'), ('0.346', '0.265'), ('0.332', '0.319'), ('0.345', '0.212'), ('0.331', '0.288'), ('0.331', '0.123'), ('0.338', '0.174')]('0.3269', '0.2459')
LogReg              ngram_notes         3                   4                   identity            True                True                [('0.315', '0.258'), ('0.299', '0.294'), ('0.309', '0.159'), ('0.313', '0.176'), ('0.341', '0.273'), ('0.334', '0.275'), ('0.342', '0.182'), ('0.316', '0.286'), ('0.325', '0.161'), ('0.329', '0.163')]('0.3223', '0.2227')
LogReg              ngram_notes         3                   5                   identity            True                True                [('0.342', '0.311'), ('0.301', '0.280'), ('0.310', '0.174'), ('0.329', '0.264'), ('0.321', '0.250'), ('0.343', '0.227'), ('0.334', '0.162'), ('0.317', '0.299'), ('0.331', '0.169'), ('0.322', '0.175')]('0.3250', '0.2311')
LogReg              ngram_notes         3                   6                   identity            True                True                [('0.330', '0.350'), ('0.307', '0.306'), ('0.318', '0.167'), ('0.316', '0.257'), ('0.336', '0.258'), ('0.352', '0.235'), ('0.343', '0.169'), ('0.323', '0.297'), ('0.347', '0.107'), ('0.340', '0.108')]('0.3312', '0.2254')
LogReg              ngram_notes         3                   7                   identity            True                True                [('0.316', '0.373'), ('0.323', '0.292'), ('0.325', '0.232'), ('0.324', '0.235'), ('0.332', '0.300'), ('0.324', '0.183'), ('0.346', '0.206'), ('0.337', '0.328'), ('0.333', '0.113'), ('0.348', '0.118')]('0.3308', '0.2380')
LogReg              ngram_notes         3                   8                   identity            True                True                [('0.315', '0.379'), ('0.334', '0.319'), ('0.335', '0.225'), ('0.312', '0.227'), ('0.320', '0.362'), ('0.332', '0.190'), ('0.347', '0.231'), ('0.336', '0.328'), ('0.328', '0.120'), ('0.352', '0.032')]('0.3311', '0.2413')
LogReg              ngram_notes         4                   1                   identity            True                True                [('0.264', '0.262'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.300', '0.350'), ('0.305', '0.208'), ('0.290', '0.350'), ('0.318', '0.105'), ('0.294', '0.329'), ('0.283', '0.394'), ('0.302', '0.231')]('0.2979', '0.2697')
LogReg              ngram_notes         4                   2                   identity            True                True                [('0.298', '0.422'), ('0.307', '0.292'), ('0.317', '0.185'), ('0.292', '0.372'), ('0.309', '0.229'), ('0.312', '0.320'), ('0.310', '0.157'), ('0.291', '0.316'), ('0.308', '0.132'), ('0.294', '0.204')]('0.3038', '0.2629')
LogReg              ngram_notes         4                   3                   identity            True                True                [('0.313', '0.302'), ('0.319', '0.308'), ('0.314', '0.189'), ('0.291', '0.224'), ('0.330', '0.250'), ('0.322', '0.309'), ('0.337', '0.200'), ('0.331', '0.274'), ('0.331', '0.154'), ('0.342', '0.152')]('0.3230', '0.2362')
LogReg              ngram_notes         4                   4                   identity            True                True                [('0.315', '0.290'), ('0.306', '0.294'), ('0.308', '0.182'), ('0.303', '0.189'), ('0.324', '0.227'), ('0.320', '0.253'), ('0.327', '0.169'), ('0.319', '0.314'), ('0.305', '0.161'), ('0.327', '0.140')]('0.3154', '0.2219')
LogReg              ngram_notes         4                   5                   identity            True                True                [('0.337', '0.328'), ('0.298', '0.280'), ('0.310', '0.174'), ('0.316', '0.250'), ('0.328', '0.234'), ('0.323', '0.239'), ('0.334', '0.176'), ('0.321', '0.343'), ('0.325', '0.169'), ('0.326', '0.175')]('0.3218', '0.2368')
LogReg              ngram_notes         4                   6                   identity            True                True                [('0.319', '0.350'), ('0.311', '0.306'), ('0.315', '0.167'), ('0.342', '0.214'), ('0.330', '0.274'), ('0.334', '0.212'), ('0.351', '0.169'), ('0.321', '0.266'), ('0.331', '0.143'), ('0.335', '0.081')]('0.3289', '0.2182')
LogReg              ngram_notes         4                   7                   identity            True                True                [('0.316', '0.407'), ('0.360', '0.292'), ('0.349', '0.293'), ('0.336', '0.221'), ('0.323', '0.283'), ('0.327', '0.183'), ('0.321', '0.265'), ('0.326', '0.311'), ('0.328', '0.113'), ('0.339', '0.059')]('0.3325', '0.2427')
LogReg              ngram_notes         4                   8                   identity            True                True                [('0.320', '0.379'), ('0.336', '0.309'), ('0.347', '0.312'), ('0.318', '0.227'), ('0.329', '0.397'), ('0.321', '0.190'), ('0.338', '0.277'), ('0.336', '0.293'), ('0.323', '0.120'), ('0.342', '0.032')]('0.3310', '0.2536')
LogReg              ngram_notes         5                   1                   identity            True                True                [('0.283', '0.338'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.300', '0.362'), ('0.306', '0.208'), ('0.284', '0.350'), ('0.318', '0.151'), ('0.294', '0.329'), ('0.280', '0.380'), ('0.302', '0.231')]('0.2990', '0.2817')
LogReg              ngram_notes         5                   2                   identity            True                True                [('0.295', '0.359'), ('0.306', '0.292'), ('0.317', '0.185'), ('0.292', '0.346'), ('0.313', '0.229'), ('0.318', '0.320'), ('0.316', '0.169'), ('0.294', '0.316'), ('0.309', '0.132'), ('0.290', '0.204')]('0.3050', '0.2552')
LogReg              ngram_notes         5                   3                   identity            True                True                [('0.318', '0.302'), ('0.315', '0.317'), ('0.314', '0.189'), ('0.288', '0.211'), ('0.321', '0.235'), ('0.317', '0.309'), ('0.336', '0.188'), ('0.328', '0.260'), ('0.323', '0.138'), ('0.339', '0.152')]('0.3199', '0.2301')
LogReg              ngram_notes         5                   4                   identity            True                True                [('0.309', '0.290'), ('0.299', '0.284'), ('0.308', '0.182'), ('0.298', '0.149'), ('0.323', '0.227'), ('0.321', '0.264'), ('0.322', '0.169'), ('0.314', '0.314'), ('0.311', '0.129'), ('0.325', '0.140')]('0.3130', '0.2148')
LogReg              ngram_notes         5                   5                   identity            True                True                [('0.325', '0.344'), ('0.295', '0.280'), ('0.310', '0.174'), ('0.304', '0.236'), ('0.332', '0.250'), ('0.331', '0.216'), ('0.331', '0.189'), ('0.317', '0.299'), ('0.324', '0.169'), ('0.340', '0.150')]('0.3209', '0.2307')
LogReg              ngram_notes         5                   6                   identity            True                True                [('0.321', '0.350'), ('0.309', '0.306'), ('0.317', '0.179'), ('0.332', '0.171'), ('0.325', '0.290'), ('0.336', '0.212'), ('0.341', '0.155'), ('0.321', '0.297'), ('0.344', '0.143'), ('0.328', '0.081')]('0.3274', '0.2184')
LogReg              ngram_notes         5                   7                   identity            True                True                [('0.315', '0.390'), ('0.346', '0.302'), ('0.339', '0.305'), ('0.341', '0.206'), ('0.315', '0.317'), ('0.318', '0.195'), ('0.314', '0.250'), ('0.319', '0.311'), ('0.331', '0.113'), ('0.329', '0.059')]('0.3267', '0.2448')
LogReg              ngram_notes         5                   8                   identity            True                True                [('0.315', '0.414'), ('0.323', '0.309'), ('0.335', '0.338'), ('0.318', '0.227'), ('0.318', '0.397'), ('0.320', '0.190'), ('0.329', '0.277'), ('0.332', '0.276'), ('0.319', '0.120'), ('0.342', '0.032')]('0.3251', '0.2580')
LogReg              ngram_notes         6                   1                   identity            True                True                [('0.290', '0.277'), ('0.305', '0.296'), ('0.320', '0.181'), ('0.298', '0.362'), ('0.310', '0.208'), ('0.283', '0.350'), ('0.327', '0.151'), ('0.295', '0.329'), ('0.280', '0.380'), ('0.303', '0.231')]('0.3011', '0.2765')
LogReg              ngram_notes         6                   2                   identity            True                True                [('0.285', '0.359'), ('0.303', '0.292'), ('0.317', '0.185'), ('0.294', '0.372'), ('0.306', '0.229'), ('0.315', '0.320'), ('0.307', '0.157'), ('0.287', '0.316'), ('0.310', '0.147'), ('0.296', '0.204')]('0.3020', '0.2581')
LogReg              ngram_notes         6                   3                   identity            True                True                [('0.315', '0.317'), ('0.307', '0.298'), ('0.314', '0.189'), ('0.284', '0.224'), ('0.324', '0.221'), ('0.310', '0.287'), ('0.330', '0.188'), ('0.321', '0.260'), ('0.326', '0.138'), ('0.331', '0.152')]('0.3162', '0.2274')
LogReg              ngram_notes         6                   4                   identity            True                True                [('0.312', '0.290'), ('0.295', '0.275'), ('0.308', '0.182'), ('0.306', '0.162'), ('0.327', '0.227'), ('0.318', '0.253'), ('0.328', '0.169'), ('0.313', '0.314'), ('0.314', '0.145'), ('0.328', '0.140')]('0.3149', '0.2157')
LogReg              ngram_notes         6                   5                   identity            True                True                [('0.328', '0.344'), ('0.295', '0.280'), ('0.310', '0.174'), ('0.296', '0.236'), ('0.332', '0.250'), ('0.329', '0.193'), ('0.330', '0.162'), ('0.323', '0.328'), ('0.324', '0.169'), ('0.334', '0.150')]('0.3201', '0.2286')
LogReg              ngram_notes         6                   6                   identity            True                True                [('0.325', '0.333'), ('0.304', '0.286'), ('0.315', '0.179'), ('0.326', '0.171'), ('0.328', '0.258'), ('0.341', '0.224'), ('0.338', '0.155'), ('0.313', '0.281'), ('0.341', '0.143'), ('0.326', '0.081')]('0.3257', '0.2111')
LogReg              ngram_notes         6                   7                   identity            True                True                [('0.315', '0.390'), ('0.349', '0.302'), ('0.341', '0.293'), ('0.338', '0.191'), ('0.317', '0.317'), ('0.318', '0.195'), ('0.309', '0.250'), ('0.317', '0.311'), ('0.333', '0.113'), ('0.332', '0.059')]('0.3269', '0.2421')
LogReg              ngram_notes         6                   8                   identity            True                True                [('0.312', '0.379'), ('0.341', '0.298'), ('0.340', '0.287'), ('0.318', '0.227'), ('0.320', '0.362'), ('0.320', '0.190'), ('0.321', '0.277'), ('0.329', '0.293'), ('0.319', '0.120'), ('0.339', '0.032')]('0.3259', '0.2465')
LogReg              ngram_notes         7                   1                   identity            True                True                [('0.290', '0.354'), ('0.305', '0.287'), ('0.320', '0.181'), ('0.300', '0.375'), ('0.314', '0.208'), ('0.289', '0.350'), ('0.325', '0.151'), ('0.295', '0.329'), ('0.285', '0.380'), ('0.302', '0.231')]('0.3025', '0.2846')
LogReg              ngram_notes         7                   2                   identity            True                True                [('0.298', '0.297'), ('0.303', '0.292'), ('0.317', '0.185'), ('0.292', '0.269'), ('0.307', '0.229'), ('0.313', '0.320'), ('0.316', '0.157'), ('0.290', '0.316'), ('0.302', '0.176'), ('0.297', '0.204')]('0.3035', '0.2445')
LogReg              ngram_notes         7                   3                   identity            True                True                [('0.303', '0.302'), ('0.315', '0.308'), ('0.315', '0.189'), ('0.280', '0.224'), ('0.330', '0.221'), ('0.299', '0.255'), ('0.334', '0.175'), ('0.324', '0.288'), ('0.311', '0.108'), ('0.334', '0.152')]('0.3145', '0.2222')
LogReg              ngram_notes         7                   4                   identity            True                True                [('0.312', '0.274'), ('0.299', '0.294'), ('0.308', '0.182'), ('0.297', '0.149'), ('0.341', '0.212'), ('0.315', '0.264'), ('0.340', '0.169'), ('0.326', '0.314'), ('0.316', '0.145'), ('0.328', '0.140')]('0.3182', '0.2143')
