RATIOS-
[0.18965060878771836, 0.1864081524616199, 0.18680518793012177, 0.18667284277395446, 0.18647432503970354]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 ngram_notes         1                   1                   identity            False               False               [('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]('0.2432', '0.2478')
MLP                 ngram_notes         1                   1                   identity            False               False               [('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]('0.2432', '0.2478')
MLP                 ngram_notes         1                   1                   identity            False               False               [('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]('0.2432', '0.2478')
MLP                 ngram_notes         1                   2                   identity            False               False               [('0.238', '0.282'), ('0.261', '0.184'), ('0.243', '0.261'), ('0.241', '0.273'), ('0.247', '0.245')]('0.2460', '0.2490')
MLP                 ngram_notes         1                   2                   identity            False               False               [('0.238', '0.282'), ('0.261', '0.184'), ('0.243', '0.261'), ('0.241', '0.273'), ('0.247', '0.245')]('0.2460', '0.2490')
MLP                 ngram_notes         1                   2                   identity            False               False               [('0.238', '0.282'), ('0.261', '0.184'), ('0.243', '0.261'), ('0.241', '0.273'), ('0.247', '0.245')]('0.2460', '0.2490')
MLP                 ngram_notes         1                   3                   identity            False               False               [('0.242', '0.282'), ('0.262', '0.185'), ('0.244', '0.261'), ('0.241', '0.274'), ('0.248', '0.247')]('0.2474', '0.2498')
MLP                 ngram_notes         1                   3                   identity            False               False               [('0.242', '0.282'), ('0.262', '0.185'), ('0.244', '0.261'), ('0.241', '0.274'), ('0.248', '0.247')]('0.2474', '0.2498')
MLP                 ngram_notes         1                   3                   identity            False               False               [('0.242', '0.282'), ('0.262', '0.185'), ('0.244', '0.261'), ('0.241', '0.274'), ('0.248', '0.247')]('0.2474', '0.2498')
MLP                 ngram_notes         1                   4                   identity            False               False               [('0.242', '0.284'), ('0.264', '0.186'), ('0.245', '0.260'), ('0.242', '0.277'), ('0.249', '0.245')]('0.2484', '0.2504')
MLP                 ngram_notes         1                   4                   identity            False               False               [('0.242', '0.284'), ('0.264', '0.186'), ('0.245', '0.260'), ('0.242', '0.277'), ('0.249', '0.245')]('0.2484', '0.2504')
MLP                 ngram_notes         1                   4                   identity            False               False               [('0.242', '0.284'), ('0.264', '0.186'), ('0.245', '0.260'), ('0.242', '0.277'), ('0.249', '0.245')]('0.2484', '0.2504')
MLP                 ngram_notes         1                   5                   identity            False               False               [('0.241', '0.284'), ('0.263', '0.186'), ('0.245', '0.255'), ('0.243', '0.275'), ('0.249', '0.244')]('0.2482', '0.2488')
MLP                 ngram_notes         1                   5                   identity            False               False               [('0.241', '0.284'), ('0.263', '0.186'), ('0.245', '0.255'), ('0.243', '0.275'), ('0.249', '0.244')]('0.2482', '0.2488')
MLP                 ngram_notes         1                   5                   identity            False               False               [('0.241', '0.284'), ('0.263', '0.186'), ('0.245', '0.255'), ('0.243', '0.275'), ('0.249', '0.244')]('0.2482', '0.2488')
MLP                 ngram_notes         1                   6                   identity            False               False               [('0.242', '0.280'), ('0.264', '0.187'), ('0.247', '0.255'), ('0.244', '0.271'), ('0.250', '0.244')]('0.2494', '0.2474')
MLP                 ngram_notes         1                   6                   identity            False               False               [('0.242', '0.280'), ('0.264', '0.187'), ('0.247', '0.255'), ('0.244', '0.271'), ('0.250', '0.244')]('0.2494', '0.2474')
MLP                 ngram_notes         1                   6                   identity            False               False               [('0.242', '0.280'), ('0.264', '0.187'), ('0.247', '0.255'), ('0.244', '0.271'), ('0.250', '0.244')]('0.2494', '0.2474')
MLP                 ngram_notes         1                   7                   identity            False               False               [('0.242', '0.274'), ('0.267', '0.190'), ('0.251', '0.253'), ('0.245', '0.274'), ('0.252', '0.244')]('0.2514', '0.2470')
MLP                 ngram_notes         1                   7                   identity            False               False               [('0.242', '0.274'), ('0.267', '0.190'), ('0.251', '0.253'), ('0.245', '0.274'), ('0.252', '0.244')]('0.2514', '0.2470')
MLP                 ngram_notes         1                   7                   identity            False               False               [('0.242', '0.274'), ('0.267', '0.190'), ('0.251', '0.253'), ('0.245', '0.274'), ('0.252', '0.244')]('0.2514', '0.2470')
MLP                 ngram_notes         1                   8                   identity            False               False               [('0.243', '0.279'), ('0.268', '0.189'), ('0.253', '0.251'), ('0.244', '0.273'), ('0.254', '0.240')]('0.2524', '0.2464')
MLP                 ngram_notes         1                   8                   identity            False               False               [('0.243', '0.279'), ('0.268', '0.189'), ('0.253', '0.251'), ('0.244', '0.273'), ('0.254', '0.240')]('0.2524', '0.2464')
MLP                 ngram_notes         1                   8                   identity            False               False               [('0.243', '0.279'), ('0.268', '0.189'), ('0.253', '0.251'), ('0.244', '0.273'), ('0.254', '0.240')]('0.2524', '0.2464')
MLP                 ngram_notes         2                   1                   identity            False               False               [('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]('0.2432', '0.2478')
MLP                 ngram_notes         2                   1                   identity            False               False               [('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]('0.2432', '0.2478')
MLP                 ngram_notes         2                   1                   identity            False               False               [('0.235', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]('0.2432', '0.2478')
MLP                 ngram_notes         2                   2                   identity            False               False               [('0.239', '0.282'), ('0.261', '0.184'), ('0.244', '0.259'), ('0.241', '0.273'), ('0.247', '0.246')]('0.2464', '0.2488')
MLP                 ngram_notes         2                   2                   identity            False               False               [('0.239', '0.282'), ('0.261', '0.184'), ('0.244', '0.259'), ('0.241', '0.273'), ('0.247', '0.246')]('0.2464', '0.2488')
MLP                 ngram_notes         2                   2                   identity            False               False               [('0.239', '0.282'), ('0.261', '0.184'), ('0.244', '0.259'), ('0.241', '0.273'), ('0.247', '0.246')]('0.2464', '0.2488')
MLP                 ngram_notes         2                   3                   identity            False               False               [('0.239', '0.272'), ('0.262', '0.187'), ('0.246', '0.262'), ('0.243', '0.273'), ('0.248', '0.251')]('0.2476', '0.2490')
MLP                 ngram_notes         2                   3                   identity            False               False               [('0.239', '0.272'), ('0.262', '0.187'), ('0.246', '0.262'), ('0.243', '0.273'), ('0.248', '0.251')]('0.2476', '0.2490')
MLP                 ngram_notes         2                   3                   identity            False               False               [('0.239', '0.272'), ('0.262', '0.187'), ('0.246', '0.262'), ('0.243', '0.273'), ('0.248', '0.251')]('0.2476', '0.2490')
MLP                 ngram_notes         2                   4                   identity            False               False               [('0.241', '0.278'), ('0.264', '0.186'), ('0.247', '0.260'), ('0.244', '0.272'), ('0.248', '0.245')]('0.2488', '0.2482')
MLP                 ngram_notes         2                   4                   identity            False               False               [('0.241', '0.278'), ('0.264', '0.186'), ('0.247', '0.260'), ('0.244', '0.272'), ('0.248', '0.245')]('0.2488', '0.2482')
MLP                 ngram_notes         2                   4                   identity            False               False               [('0.241', '0.278'), ('0.264', '0.186'), ('0.247', '0.260'), ('0.244', '0.272'), ('0.248', '0.245')]('0.2488', '0.2482')
MLP                 ngram_notes         2                   5                   identity            False               False               [('0.241', '0.278'), ('0.264', '0.186'), ('0.249', '0.253'), ('0.245', '0.270'), ('0.249', '0.244')]('0.2496', '0.2462')
