MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,current_bar,5,1,identity,False,False,"[('0.251', '0.180'), ('0.255', '0.147'), ('0.244', '0.247'), ('0.247', '0.211'), ('0.248', '0.222'), ('0.246', '0.247'), ('0.245', '0.255'), ('0.235', '0.345'), ('0.243', '0.274'), ('0.242', '0.257')]","('0.2456', '0.2385')"
MLP,current_bar,5,1,relu,False,False,"[('0.281', '0.195'), ('0.283', '0.174'), ('0.284', '0.222'), ('0.283', '0.223'), ('0.280', '0.221'), ('0.280', '0.256'), ('0.280', '0.244'), ('0.281', '0.269'), ('0.281', '0.267'), ('0.278', '0.247')]","('0.2811', '0.2318')"
MLP,current_bar,5,1,logistic,False,False,"[('0.249', '0.181'), ('0.253', '0.147'), ('0.244', '0.250'), ('0.246', '0.210'), ('0.245', '0.236'), ('0.243', '0.247'), ('0.242', '0.259'), ('0.234', '0.351'), ('0.242', '0.271'), ('0.244', '0.257')]","('0.2442', '0.2409')"
MLP,current_bar,5,1,tanh,False,False,"[('0.279', '0.212'), ('0.284', '0.206'), ('0.281', '0.251'), ('0.283', '0.217'), ('0.291', '0.198'), ('0.277', '0.254'), ('0.278', '0.256'), ('0.282', '0.271'), ('0.285', '0.270'), ('0.282', '0.230')]","('0.2822', '0.2365')"
MLP,current_bar,5,1,identity,False,True,"[('0.249', '0.181'), ('0.253', '0.147'), ('0.243', '0.250'), ('0.246', '0.210'), ('0.244', '0.234'), ('0.243', '0.247'), ('0.242', '0.260'), ('0.234', '0.342'), ('0.240', '0.277'), ('0.242', '0.255')]","('0.2436', '0.2403')"
MLP,current_bar,5,1,relu,False,True,"[('0.249', '0.181'), ('0.253', '0.147'), ('0.243', '0.250'), ('0.246', '0.210'), ('0.244', '0.234'), ('0.243', '0.247'), ('0.242', '0.260'), ('0.234', '0.342'), ('0.240', '0.277'), ('0.242', '0.255')]","('0.2436', '0.2403')"
MLP,current_bar,5,1,logistic,False,True,"[('0.249', '0.181'), ('0.253', '0.147'), ('0.243', '0.250'), ('0.246', '0.210'), ('0.244', '0.234'), ('0.243', '0.247'), ('0.242', '0.260'), ('0.234', '0.342'), ('0.240', '0.277'), ('0.242', '0.255')]","('0.2436', '0.2403')"
MLP,current_bar,5,1,tanh,False,True,"[('0.249', '0.181'), ('0.253', '0.147'), ('0.243', '0.250'), ('0.246', '0.210'), ('0.244', '0.234'), ('0.243', '0.247'), ('0.242', '0.260'), ('0.234', '0.342'), ('0.240', '0.277'), ('0.242', '0.255')]","('0.2436', '0.2403')"
SVM,current_bar,5,1,rbf,False,False,"[('0.251', '0.181'), ('0.253', '0.147'), ('0.245', '0.250'), ('0.249', '0.209'), ('0.245', '0.235'), ('0.246', '0.247'), ('0.244', '0.260'), ('0.237', '0.342'), ('0.242', '0.278'), ('0.245', '0.255')]","('0.2457', '0.2404')"
SVM,current_bar,5,1,linear,False,False,"[('0.249', '0.181'), ('0.253', '0.147'), ('0.243', '0.250'), ('0.246', '0.210'), ('0.244', '0.234'), ('0.243', '0.247'), ('0.242', '0.260'), ('0.234', '0.342'), ('0.240', '0.277'), ('0.242', '0.255')]","('0.2436', '0.2403')"
