MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,current_bar,5,1,sigmoid,False,False,"[('0.139', '0.160'), ('0.137', '0.166'), ('0.145', '0.098'), ('0.164', '0.170'), ('0.167', '0.168')]","('0.1504', '0.1524')"
LogReg,current_bar,5,1,identity,False,True,"[('0.187', '0.117'), ('0.169', '0.166'), ('0.168', '0.176'), ('0.170', '0.178'), ('0.170', '0.202')]","('0.1728', '0.1678')"
LogReg,current_bar,5,1,relu,False,True,"[('0.187', '0.117'), ('0.169', '0.166'), ('0.168', '0.176'), ('0.170', '0.178'), ('0.170', '0.202')]","('0.1728', '0.1678')"
LogReg,current_bar,5,1,logistic,False,True,"[('0.187', '0.117'), ('0.169', '0.166'), ('0.168', '0.176'), ('0.170', '0.178'), ('0.170', '0.202')]","('0.1728', '0.1678')"
LogReg,current_bar,5,1,tanh,False,True,"[('0.187', '0.117'), ('0.169', '0.166'), ('0.168', '0.176'), ('0.170', '0.178'), ('0.170', '0.202')]","('0.1728', '0.1678')"
SVM,current_bar,5,1,linear,False,False,"[('0.225', '0.138'), ('0.230', '0.189'), ('0.218', '0.186'), ('0.202', '0.164'), ('0.198', '0.212')]","('0.2146', '0.1778')"
MLP,current_bar,5,1,identity,False,True,"[('0.198', '0.135'), ('0.202', '0.169'), ('0.188', '0.229'), ('0.202', '0.164'), ('0.195', '0.199')]","('0.1970', '0.1792')"
MLP,current_bar,5,1,relu,False,True,"[('0.198', '0.135'), ('0.202', '0.169'), ('0.188', '0.229'), ('0.202', '0.164'), ('0.195', '0.199')]","('0.1970', '0.1792')"
MLP,current_bar,5,1,logistic,False,True,"[('0.198', '0.135'), ('0.202', '0.169'), ('0.188', '0.229'), ('0.202', '0.164'), ('0.195', '0.199')]","('0.1970', '0.1792')"
MLP,current_bar,5,1,tanh,False,True,"[('0.198', '0.135'), ('0.202', '0.169'), ('0.188', '0.229'), ('0.202', '0.164'), ('0.195', '0.199')]","('0.1970', '0.1792')"
SVM,current_bar,5,1,rbf,False,False,"[('0.198', '0.135'), ('0.202', '0.169'), ('0.188', '0.229'), ('0.202', '0.164'), ('0.195', '0.199')]","('0.1970', '0.1792')"
SVM,current_bar,5,1,rbf,False,True,"[('0.198', '0.135'), ('0.202', '0.169'), ('0.188', '0.229'), ('0.202', '0.164'), ('0.195', '0.199')]","('0.1970', '0.1792')"
SVM,current_bar,5,1,linear,False,True,"[('0.198', '0.135'), ('0.202', '0.169'), ('0.188', '0.229'), ('0.202', '0.164'), ('0.195', '0.199')]","('0.1970', '0.1792')"
SVM,current_bar,5,1,sigmoid,False,True,"[('0.198', '0.135'), ('0.202', '0.169'), ('0.188', '0.229'), ('0.202', '0.164'), ('0.195', '0.199')]","('0.1970', '0.1792')"
MLP,current_bar,5,1,logistic,False,False,"[('0.250', '0.155'), ('0.226', '0.164'), ('0.216', '0.178'), ('0.217', '0.191'), ('0.198', '0.235')]","('0.2214', '0.1846')"
MLP,current_bar,5,1,identity,False,False,"[('0.232', '0.130'), ('0.236', '0.182'), ('0.223', '0.196'), ('0.230', '0.217'), ('0.206', '0.250')]","('0.2254', '0.1950')"
MLP,current_bar,5,1,tanh,False,False,"[('0.247', '0.163'), ('0.264', '0.197'), ('0.253', '0.198'), ('0.268', '0.204'), ('0.255', '0.227')]","('0.2574', '0.1978')"
LogReg,current_bar,5,1,identity,False,False,"[('0.235', '0.150'), ('0.233', '0.192'), ('0.221', '0.181'), ('0.231', '0.217'), ('0.213', '0.263')]","('0.2266', '0.2006')"
LogReg,current_bar,5,1,relu,False,False,"[('0.235', '0.150'), ('0.233', '0.192'), ('0.221', '0.181'), ('0.231', '0.217'), ('0.213', '0.263')]","('0.2266', '0.2006')"
LogReg,current_bar,5,1,logistic,False,False,"[('0.235', '0.150'), ('0.233', '0.192'), ('0.221', '0.181'), ('0.231', '0.217'), ('0.213', '0.263')]","('0.2266', '0.2006')"
LogReg,current_bar,5,1,tanh,False,False,"[('0.235', '0.150'), ('0.233', '0.192'), ('0.221', '0.181'), ('0.231', '0.217'), ('0.213', '0.263')]","('0.2266', '0.2006')"
MLP,current_bar,5,1,relu,False,False,"[('0.264', '0.195'), ('0.293', '0.199'), ('0.260', '0.191'), ('0.276', '0.227'), ('0.274', '0.242')]","('0.2734', '0.2108')"
