MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,current_bar,5,1,tanh,False,False,"[('0.344', '0.329'), ('0.365', '0.230'), ('0.361', '0.192'), ('0.354', '0.206'), ('0.376', '0.146')]","('0.3600', '0.2206')"
MLP,current_bar,5,1,identity,False,False,"[('0.322', '0.324'), ('0.313', '0.247'), ('0.354', '0.186'), ('0.335', '0.218'), ('0.346', '0.146')]","('0.3340', '0.2242')"
SVM,current_bar,5,1,sigmoid,False,False,"[('0.218', '0.289'), ('0.242', '0.167'), ('0.263', '0.262'), ('0.269', '0.170'), ('0.250', '0.252')]","('0.2484', '0.2280')"
LogReg,current_bar,5,1,identity,False,False,"[('0.319', '0.289'), ('0.316', '0.259'), ('0.370', '0.215'), ('0.343', '0.194'), ('0.352', '0.187')]","('0.3400', '0.2288')"
LogReg,current_bar,5,1,relu,False,False,"[('0.319', '0.289'), ('0.316', '0.259'), ('0.370', '0.215'), ('0.343', '0.194'), ('0.352', '0.187')]","('0.3400', '0.2288')"
LogReg,current_bar,5,1,logistic,False,False,"[('0.319', '0.289'), ('0.316', '0.259'), ('0.370', '0.215'), ('0.343', '0.194'), ('0.352', '0.187')]","('0.3400', '0.2288')"
LogReg,current_bar,5,1,tanh,False,False,"[('0.319', '0.289'), ('0.316', '0.259'), ('0.370', '0.215'), ('0.343', '0.194'), ('0.352', '0.187')]","('0.3400', '0.2288')"
SVM,current_bar,5,1,linear,False,False,"[('0.320', '0.295'), ('0.311', '0.270'), ('0.351', '0.169'), ('0.343', '0.212'), ('0.339', '0.203')]","('0.3328', '0.2298')"
MLP,current_bar,5,1,logistic,False,False,"[('0.289', '0.353'), ('0.311', '0.270'), ('0.346', '0.209'), ('0.319', '0.236'), ('0.320', '0.089')]","('0.3170', '0.2314')"
MLP,current_bar,5,1,relu,False,False,"[('0.358', '0.312'), ('0.387', '0.270'), ('0.383', '0.233'), ('0.389', '0.242'), ('0.399', '0.130')]","('0.3832', '0.2374')"
MLP,current_bar,5,1,identity,False,True,"[('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]","('0.3076', '0.2524')"
MLP,current_bar,5,1,relu,False,True,"[('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]","('0.3076', '0.2524')"
MLP,current_bar,5,1,logistic,False,True,"[('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]","('0.3076', '0.2524')"
MLP,current_bar,5,1,tanh,False,True,"[('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]","('0.3076', '0.2524')"
SVM,current_bar,5,1,rbf,False,False,"[('0.303', '0.353'), ('0.311', '0.270'), ('0.313', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]","('0.3132', '0.2524')"
SVM,current_bar,5,1,rbf,False,True,"[('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]","('0.3076', '0.2524')"
SVM,current_bar,5,1,linear,False,True,"[('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]","('0.3076', '0.2524')"
SVM,current_bar,5,1,sigmoid,False,True,"[('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]","('0.3076', '0.2524')"
LogReg,current_bar,5,1,identity,False,True,"[('0.285', '0.301'), ('0.311', '0.270'), ('0.306', '0.291'), ('0.316', '0.218'), ('0.284', '0.317')]","('0.3004', '0.2794')"
LogReg,current_bar,5,1,relu,False,True,"[('0.285', '0.301'), ('0.311', '0.270'), ('0.306', '0.291'), ('0.316', '0.218'), ('0.284', '0.317')]","('0.3004', '0.2794')"
LogReg,current_bar,5,1,logistic,False,True,"[('0.285', '0.301'), ('0.311', '0.270'), ('0.306', '0.291'), ('0.316', '0.218'), ('0.284', '0.317')]","('0.3004', '0.2794')"
LogReg,current_bar,5,1,tanh,False,True,"[('0.285', '0.301'), ('0.311', '0.270'), ('0.306', '0.291'), ('0.316', '0.218'), ('0.284', '0.317')]","('0.3004', '0.2794')"
