MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,ngram_notes,6,8,tanh,False,False,"[('0.504', '0.259'), ('0.527', '0.202'), ('0.499', '0.200'), ('0.531', '0.152'), ('0.535', '0.155'), ('0.512', '0.203'), ('0.507', '0.200'), ('0.518', '0.259'), ('0.528', '0.200'), ('0.520', '0.129')]","('0.5181', '0.1959')"
LogReg,ngram_notes,7,6,tanh,False,True,"[('0.325', '0.300'), ('0.306', '0.276'), ('0.315', '0.179'), ('0.321', '0.171'), ('0.331', '0.258'), ('0.327', '0.224'), ('0.343', '0.155'), ('0.329', '0.297'), ('0.342', '0.107'), ('0.346', '0.081')]","('0.3285', '0.2048')"
LogReg,ngram_notes,7,6,tanh,True,True,"[('0.325', '0.300'), ('0.306', '0.276'), ('0.315', '0.179'), ('0.319', '0.171'), ('0.331', '0.258'), ('0.327', '0.224'), ('0.343', '0.155'), ('0.329', '0.297'), ('0.342', '0.107'), ('0.346', '0.081')]","('0.3283', '0.2048')"
LogReg,ngram_notes,5,8,tanh,False,False,"[('0.473', '0.241'), ('0.486', '0.234'), ('0.479', '0.237'), ('0.529', '0.136'), ('0.508', '0.207'), ('0.475', '0.266'), ('0.490', '0.185'), ('0.482', '0.328'), ('0.514', '0.160'), ('0.503', '0.065')]","('0.4939', '0.2059')"
LogReg,ngram_notes,8,8,tanh,False,False,"[('0.583', '0.224'), ('0.609', '0.170'), ('0.576', '0.287'), ('0.579', '0.242'), ('0.601', '0.190'), ('0.584', '0.190'), ('0.585', '0.123'), ('0.613', '0.276'), ('0.586', '0.220'), ('0.571', '0.161')]","('0.5887', '0.2083')"
LogReg,ngram_notes,6,6,tanh,False,True,"[('0.325', '0.333'), ('0.304', '0.286'), ('0.315', '0.179'), ('0.326', '0.171'), ('0.328', '0.258'), ('0.341', '0.224'), ('0.338', '0.155'), ('0.313', '0.281'), ('0.339', '0.143'), ('0.326', '0.081')]","('0.3255', '0.2111')"
LogReg,ngram_notes,6,6,tanh,True,True,"[('0.325', '0.333'), ('0.304', '0.286'), ('0.315', '0.179'), ('0.326', '0.171'), ('0.328', '0.258'), ('0.341', '0.224'), ('0.338', '0.155'), ('0.313', '0.281'), ('0.341', '0.143'), ('0.326', '0.081')]","('0.3257', '0.2111')"
LogReg,ngram_notes,8,6,tanh,True,True,"[('0.325', '0.300'), ('0.307', '0.286'), ('0.318', '0.179'), ('0.318', '0.186'), ('0.338', '0.258'), ('0.336', '0.235'), ('0.356', '0.155'), ('0.335', '0.328'), ('0.342', '0.107'), ('0.352', '0.081')]","('0.3327', '0.2115')"
LogReg,ngram_notes,6,6,tanh,False,False,"[('0.437', '0.283'), ('0.462', '0.265'), ('0.478', '0.214'), ('0.465', '0.214'), ('0.467', '0.210'), ('0.470', '0.129'), ('0.451', '0.141'), ('0.467', '0.328'), ('0.472', '0.143'), ('0.475', '0.189')]","('0.4644', '0.2116')"
LogReg,ngram_notes,8,5,tanh,False,True,"[('0.320', '0.295'), ('0.298', '0.280'), ('0.315', '0.174'), ('0.304', '0.236'), ('0.343', '0.219'), ('0.313', '0.239'), ('0.336', '0.149'), ('0.337', '0.284'), ('0.328', '0.102'), ('0.338', '0.150')]","('0.3232', '0.2128')"
LogReg,ngram_notes,8,5,tanh,True,True,"[('0.320', '0.295'), ('0.298', '0.280'), ('0.315', '0.174'), ('0.302', '0.236'), ('0.343', '0.219'), ('0.313', '0.239'), ('0.336', '0.149'), ('0.337', '0.284'), ('0.330', '0.102'), ('0.338', '0.150')]","('0.3232', '0.2128')"
LogReg,ngram_notes,8,6,tanh,False,True,"[('0.327', '0.300'), ('0.307', '0.286'), ('0.318', '0.179'), ('0.316', '0.186'), ('0.338', '0.258'), ('0.336', '0.235'), ('0.356', '0.155'), ('0.335', '0.344'), ('0.342', '0.107'), ('0.351', '0.081')]","('0.3326', '0.2131')"
LogReg,ngram_notes,7,4,tanh,False,True,"[('0.312', '0.274'), ('0.299', '0.294'), ('0.308', '0.182'), ('0.297', '0.149'), ('0.341', '0.212'), ('0.315', '0.264'), ('0.339', '0.169'), ('0.326', '0.314'), ('0.316', '0.145'), ('0.328', '0.140')]","('0.3181', '0.2143')"
LogReg,ngram_notes,7,4,tanh,True,True,"[('0.312', '0.274'), ('0.299', '0.294'), ('0.308', '0.182'), ('0.297', '0.149'), ('0.341', '0.212'), ('0.315', '0.264'), ('0.340', '0.169'), ('0.326', '0.314'), ('0.316', '0.145'), ('0.328', '0.140')]","('0.3182', '0.2143')"
