MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,4,2,identity,False,False,"[('0.338', '0.300'), ('0.343', '0.200'), ('0.367', '0.204'), ('0.361', '0.214'), ('0.369', '0.188')]","('0.3556', '0.2212')"
MLP,ngram_notes,4,1,identity,False,False,"[('0.331', '0.312'), ('0.297', '0.236'), ('0.351', '0.192'), ('0.324', '0.230'), ('0.338', '0.146')]","('0.3282', '0.2232')"
MLP,ngram_notes,4,1,identity,True,False,"[('0.328', '0.312'), ('0.295', '0.236'), ('0.351', '0.192'), ('0.324', '0.230'), ('0.338', '0.146')]","('0.3272', '0.2232')"
MLP,ngram_notes,5,1,identity,False,False,"[('0.320', '0.324'), ('0.313', '0.247'), ('0.351', '0.192'), ('0.338', '0.218'), ('0.346', '0.146')]","('0.3336', '0.2254')"
MLP,ngram_notes,5,1,identity,True,False,"[('0.326', '0.324'), ('0.313', '0.247'), ('0.351', '0.192'), ('0.338', '0.224'), ('0.346', '0.146')]","('0.3348', '0.2266')"
MLP,ngram_notes,6,2,identity,True,False,"[('0.357', '0.312'), ('0.362', '0.241'), ('0.391', '0.174'), ('0.365', '0.252'), ('0.371', '0.154')]","('0.3692', '0.2266')"
MLP,ngram_notes,8,1,identity,False,False,"[('0.314', '0.335'), ('0.319', '0.259'), ('0.342', '0.209'), ('0.341', '0.188'), ('0.351', '0.154')]","('0.3334', '0.2290')"
MLP,ngram_notes,4,2,identity,True,False,"[('0.326', '0.324'), ('0.347', '0.206'), ('0.373', '0.186'), ('0.353', '0.252'), ('0.357', '0.179')]","('0.3512', '0.2294')"
MLP,ngram_notes,8,1,identity,True,False,"[('0.314', '0.335'), ('0.322', '0.259'), ('0.342', '0.209'), ('0.341', '0.194'), ('0.351', '0.154')]","('0.3340', '0.2302')"
MLP,ngram_notes,1,8,identity,True,True,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
