MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,8,6,relu,False,False,"[('0.879', '0.171'), ('0.882', '0.234'), ('0.881', '0.163'), ('0.873', '0.207'), ('0.889', '0.172')]","('0.8808', '0.1894')"
MLP,ngram_notes,5,6,relu,False,False,"[('0.766', '0.259'), ('0.788', '0.175'), ('0.776', '0.252'), ('0.783', '0.215'), ('0.798', '0.183')]","('0.7822', '0.2168')"
MLP,ngram_notes,5,1,relu,False,False,"[('0.361', '0.283'), ('0.392', '0.241'), ('0.375', '0.203'), ('0.382', '0.236'), ('0.401', '0.130')]","('0.3822', '0.2186')"
MLP,ngram_notes,3,2,relu,True,False,"[('0.374', '0.235'), ('0.409', '0.241'), ('0.437', '0.222'), ('0.450', '0.252'), ('0.446', '0.154')]","('0.4232', '0.2208')"
MLP,ngram_notes,6,5,relu,False,False,"[('0.796', '0.211'), ('0.790', '0.203'), ('0.809', '0.263'), ('0.802', '0.248'), ('0.804', '0.212')]","('0.8002', '0.2274')"
MLP,ngram_notes,2,1,relu,True,False,"[('0.319', '0.329'), ('0.322', '0.236'), ('0.354', '0.174'), ('0.324', '0.261'), ('0.341', '0.138')]","('0.3320', '0.2276')"
MLP,ngram_notes,7,6,relu,False,False,"[('0.873', '0.165'), ('0.872', '0.279'), ('0.874', '0.204'), ('0.862', '0.252'), ('0.867', '0.247')]","('0.8696', '0.2294')"
MLP,ngram_notes,1,8,relu,True,True,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
MLP,ngram_notes,2,8,relu,True,True,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
MLP,ngram_notes,3,8,relu,True,True,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
MLP,ngram_notes,4,8,relu,True,True,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
MLP,ngram_notes,5,8,relu,True,True,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
MLP,ngram_notes,6,8,relu,True,True,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
MLP,ngram_notes,7,8,relu,True,True,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
MLP,ngram_notes,8,8,relu,True,True,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
MLP,ngram_notes,2,1,relu,False,False,"[('0.319', '0.329'), ('0.327', '0.236'), ('0.365', '0.186'), ('0.324', '0.261'), ('0.333', '0.146')]","('0.3336', '0.2316')"
MLP,ngram_notes,5,1,relu,True,False,"[('0.355', '0.324'), ('0.378', '0.264'), ('0.367', '0.203'), ('0.389', '0.236'), ('0.402', '0.138')]","('0.3782', '0.2330')"
MLP,ngram_notes,6,6,relu,False,False,"[('0.837', '0.215'), ('0.829', '0.182'), ('0.822', '0.265'), ('0.853', '0.289'), ('0.865', '0.215')]","('0.8412', '0.2332')"
MLP,ngram_notes,4,1,relu,True,False,"[('0.341', '0.341'), ('0.344', '0.218'), ('0.357', '0.209'), ('0.379', '0.236'), ('0.387', '0.163')]","('0.3616', '0.2334')"
MLP,ngram_notes,1,5,relu,True,True,"[('0.280', '0.342'), ('0.300', '0.272'), ('0.297', '0.263'), ('0.314', '0.213'), ('0.324', '0.081')]","('0.3030', '0.2342')"
MLP,ngram_notes,2,5,relu,True,True,"[('0.280', '0.342'), ('0.300', '0.272'), ('0.297', '0.263'), ('0.314', '0.213'), ('0.324', '0.081')]","('0.3030', '0.2342')"
MLP,ngram_notes,3,5,relu,True,True,"[('0.280', '0.342'), ('0.300', '0.272'), ('0.297', '0.263'), ('0.314', '0.213'), ('0.324', '0.081')]","('0.3030', '0.2342')"
MLP,ngram_notes,4,5,relu,True,True,"[('0.280', '0.342'), ('0.300', '0.272'), ('0.297', '0.263'), ('0.314', '0.213'), ('0.324', '0.081')]","('0.3030', '0.2342')"
MLP,ngram_notes,5,5,relu,True,True,"[('0.280', '0.342'), ('0.300', '0.272'), ('0.297', '0.263'), ('0.314', '0.213'), ('0.324', '0.081')]","('0.3030', '0.2342')"
MLP,ngram_notes,6,5,relu,True,True,"[('0.280', '0.342'), ('0.300', '0.272'), ('0.297', '0.263'), ('0.314', '0.213'), ('0.324', '0.081')]","('0.3030', '0.2342')"
MLP,ngram_notes,7,5,relu,True,True,"[('0.280', '0.342'), ('0.300', '0.272'), ('0.297', '0.263'), ('0.314', '0.213'), ('0.324', '0.081')]","('0.3030', '0.2342')"
