MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,1,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,2,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,3,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,4,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,5,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,6,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,7,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,8,7,logistic,False,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,1,7,logistic,True,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,2,7,logistic,True,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,3,7,logistic,True,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,4,7,logistic,True,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
MLP,ngram_notes,5,7,logistic,True,False,"[('0.369', '0.238'), ('0.352', '0.467'), ('0.429', '0.125'), ('0.368', '0.400'), ('0.388', '0.167'), ('0.375', '0.333'), ('0.370', '0.400'), ('0.378', '0.250'), ('0.386', '0.000'), ('0.372', '0.000')]","('0.3787', '0.2380')"
