MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,3,7,identity,False,False,"[('0.440', '0.278'), ('0.583', '0.192'), ('0.417', '0.214'), ('0.558', '0.111'), ('0.518', '0.000')]","('0.5032', '0.1590')"
MLP,ngram_notes,2,7,identity,True,False,"[('0.420', '0.278'), ('0.567', '0.231'), ('0.431', '0.214'), ('0.519', '0.111'), ('0.506', '0.000')]","('0.4886', '0.1668')"
MLP,ngram_notes,2,7,identity,False,False,"[('0.420', '0.306'), ('0.583', '0.231'), ('0.417', '0.214'), ('0.532', '0.111'), ('0.506', '0.000')]","('0.4916', '0.1724')"
MLP,ngram_notes,5,7,identity,True,False,"[('0.640', '0.333'), ('0.600', '0.154'), ('0.542', '0.286'), ('0.636', '0.111'), ('0.624', '0.000')]","('0.6084', '0.1768')"
MLP,ngram_notes,3,7,identity,True,False,"[('0.480', '0.278'), ('0.583', '0.231'), ('0.500', '0.286'), ('0.545', '0.111'), ('0.529', '0.000')]","('0.5274', '0.1812')"
MLP,ngram_notes,3,8,identity,True,False,"[('0.575', '0.353'), ('0.600', '0.292'), ('0.540', '0.273'), ('0.609', '0.000'), ('0.649', '0.000')]","('0.5946', '0.1836')"
MLP,ngram_notes,6,7,identity,False,False,"[('0.680', '0.278'), ('0.633', '0.269'), ('0.514', '0.286'), ('0.649', '0.111'), ('0.647', '0.000')]","('0.6246', '0.1888')"
MLP,ngram_notes,6,7,identity,True,False,"[('0.700', '0.278'), ('0.650', '0.269'), ('0.542', '0.286'), ('0.649', '0.111'), ('0.659', '0.000')]","('0.6400', '0.1888')"
MLP,ngram_notes,3,8,identity,False,False,"[('0.525', '0.382'), ('0.540', '0.292'), ('0.508', '0.273'), ('0.565', '0.000'), ('0.595', '0.000')]","('0.5466', '0.1894')"
MLP,ngram_notes,4,7,identity,False,False,"[('0.520', '0.333'), ('0.583', '0.231'), ('0.486', '0.286'), ('0.584', '0.111'), ('0.576', '0.000')]","('0.5498', '0.1922')"
