MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,current_bar,5,1,sigmoid,False,False,"[('0.263', '0.224'), ('0.254', '0.279'), ('0.245', '0.296'), ('0.256', '0.233'), ('0.245', '0.261')]","('0.2526', '0.2586')"
LogReg,current_bar,5,1,identity,False,True,"[('0.352', '0.270'), ('0.369', '0.270'), ('0.322', '0.217'), ('0.333', '0.345'), ('0.315', '0.433')]","('0.3382', '0.3070')"
LogReg,current_bar,5,1,relu,False,True,"[('0.352', '0.270'), ('0.369', '0.270'), ('0.322', '0.217'), ('0.333', '0.345'), ('0.315', '0.433')]","('0.3382', '0.3070')"
LogReg,current_bar,5,1,logistic,False,True,"[('0.352', '0.270'), ('0.369', '0.270'), ('0.322', '0.217'), ('0.333', '0.345'), ('0.315', '0.433')]","('0.3382', '0.3070')"
LogReg,current_bar,5,1,tanh,False,True,"[('0.352', '0.270'), ('0.369', '0.270'), ('0.322', '0.217'), ('0.333', '0.345'), ('0.315', '0.433')]","('0.3382', '0.3070')"
SVM,current_bar,5,1,linear,False,False,"[('0.356', '0.285'), ('0.359', '0.266'), ('0.363', '0.285'), ('0.354', '0.329'), ('0.331', '0.429')]","('0.3526', '0.3188')"
MLP,current_bar,5,1,relu,False,False,"[('0.404', '0.297'), ('0.416', '0.246'), ('0.405', '0.308'), ('0.372', '0.373'), ('0.386', '0.399')]","('0.3966', '0.3246')"
MLP,current_bar,5,1,identity,False,False,"[('0.365', '0.319'), ('0.370', '0.270'), ('0.359', '0.312'), ('0.359', '0.317'), ('0.347', '0.408')]","('0.3600', '0.3252')"
LogReg,current_bar,5,1,identity,False,False,"[('0.362', '0.323'), ('0.369', '0.258'), ('0.355', '0.312'), ('0.364', '0.317'), ('0.325', '0.416')]","('0.3550', '0.3252')"
LogReg,current_bar,5,1,relu,False,False,"[('0.362', '0.323'), ('0.369', '0.258'), ('0.355', '0.312'), ('0.364', '0.317'), ('0.325', '0.416')]","('0.3550', '0.3252')"
LogReg,current_bar,5,1,logistic,False,False,"[('0.362', '0.323'), ('0.369', '0.258'), ('0.355', '0.312'), ('0.364', '0.317'), ('0.325', '0.416')]","('0.3550', '0.3252')"
LogReg,current_bar,5,1,tanh,False,False,"[('0.362', '0.323'), ('0.369', '0.258'), ('0.355', '0.312'), ('0.364', '0.317'), ('0.325', '0.416')]","('0.3550', '0.3252')"
MLP,current_bar,5,1,tanh,False,False,"[('0.391', '0.297'), ('0.387', '0.246'), ('0.391', '0.312'), ('0.360', '0.321'), ('0.357', '0.458')]","('0.3772', '0.3268')"
MLP,current_bar,5,1,logistic,False,False,"[('0.355', '0.289'), ('0.363', '0.275'), ('0.357', '0.372'), ('0.355', '0.293'), ('0.319', '0.437')]","('0.3498', '0.3332')"
MLP,current_bar,5,1,identity,False,True,"[('0.356', '0.285'), ('0.359', '0.266'), ('0.329', '0.391'), ('0.344', '0.329'), ('0.322', '0.424')]","('0.3420', '0.3390')"
MLP,current_bar,5,1,relu,False,True,"[('0.356', '0.285'), ('0.359', '0.266'), ('0.329', '0.391'), ('0.344', '0.329'), ('0.322', '0.424')]","('0.3420', '0.3390')"
MLP,current_bar,5,1,logistic,False,True,"[('0.356', '0.285'), ('0.359', '0.266'), ('0.329', '0.391'), ('0.344', '0.329'), ('0.322', '0.424')]","('0.3420', '0.3390')"
MLP,current_bar,5,1,tanh,False,True,"[('0.356', '0.285'), ('0.359', '0.266'), ('0.329', '0.391'), ('0.344', '0.329'), ('0.322', '0.424')]","('0.3420', '0.3390')"
SVM,current_bar,5,1,rbf,False,False,"[('0.356', '0.285'), ('0.359', '0.266'), ('0.329', '0.391'), ('0.344', '0.329'), ('0.322', '0.424')]","('0.3420', '0.3390')"
SVM,current_bar,5,1,rbf,False,True,"[('0.356', '0.285'), ('0.359', '0.266'), ('0.329', '0.391'), ('0.344', '0.329'), ('0.322', '0.424')]","('0.3420', '0.3390')"
SVM,current_bar,5,1,linear,False,True,"[('0.356', '0.285'), ('0.359', '0.266'), ('0.329', '0.391'), ('0.344', '0.329'), ('0.322', '0.424')]","('0.3420', '0.3390')"
SVM,current_bar,5,1,sigmoid,False,True,"[('0.356', '0.285'), ('0.359', '0.266'), ('0.329', '0.391'), ('0.344', '0.329'), ('0.322', '0.424')]","('0.3420', '0.3390')"
