MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,ngram_notes,8,8,tanh,False,False,"[('0.537', '0.153'), ('0.485', '0.196'), ('0.481', '0.221'), ('0.479', '0.194'), ('0.476', '0.242')]","('0.4916', '0.2012')"
LogReg,ngram_notes,7,8,tanh,False,False,"[('0.506', '0.170'), ('0.451', '0.211'), ('0.476', '0.230'), ('0.456', '0.220'), ('0.462', '0.283')]","('0.4702', '0.2228')"
LogReg,ngram_notes,8,7,tanh,False,False,"[('0.491', '0.167'), ('0.471', '0.238'), ('0.469', '0.190'), ('0.460', '0.205'), ('0.456', '0.316')]","('0.4694', '0.2232')"
LogReg,ngram_notes,6,8,tanh,False,False,"[('0.480', '0.209'), ('0.421', '0.230'), ('0.472', '0.225'), ('0.432', '0.220'), ('0.433', '0.275')]","('0.4476', '0.2318')"
LogReg,ngram_notes,3,8,tanh,False,True,"[('0.337', '0.209'), ('0.318', '0.249'), ('0.332', '0.245'), ('0.320', '0.280'), ('0.313', '0.183')]","('0.3240', '0.2332')"
LogReg,ngram_notes,4,8,tanh,False,True,"[('0.318', '0.200'), ('0.318', '0.249'), ('0.321', '0.221'), ('0.311', '0.306'), ('0.308', '0.192')]","('0.3152', '0.2336')"
LogReg,ngram_notes,6,8,tanh,False,True,"[('0.313', '0.217'), ('0.318', '0.249'), ('0.325', '0.250'), ('0.307', '0.285'), ('0.312', '0.167')]","('0.3150', '0.2336')"
LogReg,ngram_notes,3,8,tanh,True,True,"[('0.338', '0.209'), ('0.318', '0.249'), ('0.333', '0.245'), ('0.320', '0.285'), ('0.313', '0.183')]","('0.3244', '0.2342')"
LogReg,ngram_notes,6,8,tanh,True,True,"[('0.313', '0.221'), ('0.318', '0.249'), ('0.325', '0.250'), ('0.307', '0.285'), ('0.311', '0.167')]","('0.3148', '0.2344')"
LogReg,ngram_notes,5,8,tanh,False,True,"[('0.312', '0.213'), ('0.318', '0.249'), ('0.316', '0.250'), ('0.307', '0.285'), ('0.307', '0.183')]","('0.3120', '0.2360')"
