MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,8,8,tanh,False,False,"[('0.900', '0.209'), ('0.918', '0.254'), ('0.948', '0.240'), ('0.923', '0.210'), ('0.936', '0.217')]","('0.9250', '0.2260')"
MLP,ngram_notes,5,7,tanh,False,False,"[('0.803', '0.197'), ('0.813', '0.266'), ('0.860', '0.209'), ('0.853', '0.215'), ('0.831', '0.272')]","('0.8320', '0.2318')"
MLP,ngram_notes,5,6,tanh,False,False,"[('0.757', '0.177'), ('0.792', '0.224'), ('0.806', '0.206'), ('0.796', '0.235'), ('0.809', '0.327')]","('0.7920', '0.2338')"
MLP,ngram_notes,5,8,tanh,False,False,"[('0.834', '0.230'), ('0.831', '0.249'), ('0.869', '0.225'), ('0.880', '0.231'), ('0.875', '0.283')]","('0.8578', '0.2436')"
MLP,ngram_notes,8,8,tanh,False,False,"[('0.911', '0.179'), ('0.911', '0.311'), ('0.939', '0.275'), ('0.919', '0.210'), ('0.935', '0.250')]","('0.9230', '0.2450')"
MLP,ngram_notes,5,7,tanh,False,False,"[('0.788', '0.230'), ('0.818', '0.262'), ('0.858', '0.213'), ('0.838', '0.236'), ('0.842', '0.287')]","('0.8288', '0.2456')"
MLP,ngram_notes,5,6,tanh,False,False,"[('0.766', '0.214'), ('0.779', '0.242'), ('0.811', '0.229'), ('0.806', '0.230'), ('0.806', '0.314')]","('0.7936', '0.2458')"
MLP,ngram_notes,6,7,tanh,False,False,"[('0.837', '0.209'), ('0.860', '0.262'), ('0.886', '0.218'), ('0.882', '0.262'), ('0.881', '0.301')]","('0.8692', '0.2504')"
MLP,ngram_notes,8,7,tanh,False,False,"[('0.877', '0.222'), ('0.894', '0.248'), ('0.925', '0.265'), ('0.902', '0.210'), ('0.913', '0.309')]","('0.9022', '0.2508')"
MLP,ngram_notes,7,8,tanh,False,False,"[('0.893', '0.200'), ('0.906', '0.287'), ('0.936', '0.230'), ('0.911', '0.210'), ('0.915', '0.333')]","('0.9122', '0.2520')"
MLP,ngram_notes,7,8,tanh,False,False,"[('0.882', '0.187'), ('0.901', '0.297'), ('0.936', '0.230'), ('0.910', '0.231'), ('0.921', '0.317')]","('0.9100', '0.2524')"
MLP,ngram_notes,7,2,tanh,True,False,"[('0.562', '0.239'), ('0.547', '0.222'), ('0.550', '0.240'), ('0.553', '0.267'), ('0.580', '0.299')]","('0.5584', '0.2534')"
MLP,ngram_notes,8,4,tanh,True,False,"[('0.795', '0.223'), ('0.796', '0.227'), ('0.832', '0.276'), ('0.816', '0.248'), ('0.836', '0.299')]","('0.8150', '0.2546')"
MLP,ngram_notes,8,7,tanh,False,False,"[('0.868', '0.176'), ('0.892', '0.308'), ('0.927', '0.209'), ('0.907', '0.256'), ('0.920', '0.324')]","('0.9028', '0.2546')"
MLP,ngram_notes,7,7,tanh,False,False,"[('0.860', '0.163'), ('0.882', '0.285'), ('0.909', '0.223'), ('0.881', '0.287'), ('0.900', '0.331')]","('0.8864', '0.2578')"
MLP,ngram_notes,5,8,tanh,False,False,"[('0.848', '0.217'), ('0.848', '0.316'), ('0.881', '0.211'), ('0.872', '0.269'), ('0.872', '0.283')]","('0.8642', '0.2592')"
MLP,ngram_notes,4,6,tanh,False,False,"[('0.692', '0.230'), ('0.684', '0.269'), ('0.739', '0.239'), ('0.710', '0.245'), ('0.715', '0.314')]","('0.7080', '0.2594')"
MLP,ngram_notes,3,7,tanh,False,False,"[('0.601', '0.209'), ('0.604', '0.248'), ('0.667', '0.246'), ('0.619', '0.287'), ('0.661', '0.309')]","('0.6304', '0.2598')"
MLP,ngram_notes,7,6,tanh,False,False,"[('0.840', '0.198'), ('0.857', '0.256'), ('0.876', '0.252'), ('0.874', '0.279'), ('0.879', '0.314')]","('0.8652', '0.2598')"
MLP,ngram_notes,3,6,tanh,False,False,"[('0.582', '0.206'), ('0.560', '0.247'), ('0.599', '0.284'), ('0.577', '0.289'), ('0.592', '0.275')]","('0.5820', '0.2602')"
MLP,ngram_notes,8,6,tanh,False,False,"[('0.860', '0.202'), ('0.878', '0.279'), ('0.902', '0.275'), ('0.890', '0.240'), ('0.894', '0.307')]","('0.8848', '0.2606')"
MLP,ngram_notes,6,7,tanh,False,False,"[('0.836', '0.205'), ('0.862', '0.276'), ('0.884', '0.251'), ('0.880', '0.236'), ('0.889', '0.338')]","('0.8702', '0.2612')"
MLP,ngram_notes,8,4,tanh,False,False,"[('0.764', '0.239'), ('0.781', '0.245'), ('0.821', '0.276'), ('0.812', '0.225'), ('0.812', '0.326')]","('0.7980', '0.2622')"
MLP,ngram_notes,6,6,tanh,False,False,"[('0.819', '0.218'), ('0.833', '0.260'), ('0.856', '0.202'), ('0.848', '0.275'), ('0.860', '0.359')]","('0.8432', '0.2628')"
MLP,ngram_notes,6,8,tanh,False,False,"[('0.873', '0.217'), ('0.883', '0.301'), ('0.925', '0.201'), ('0.895', '0.296'), ('0.909', '0.300')]","('0.8970', '0.2630')"
MLP,ngram_notes,7,6,tanh,False,False,"[('0.825', '0.210'), ('0.857', '0.233'), ('0.879', '0.271'), ('0.876', '0.270'), ('0.882', '0.333')]","('0.8638', '0.2634')"
MLP,ngram_notes,8,6,tanh,False,False,"[('0.859', '0.206'), ('0.871', '0.265'), ('0.899', '0.303'), ('0.879', '0.216'), ('0.898', '0.327')]","('0.8812', '0.2634')"
MLP,ngram_notes,2,8,tanh,False,False,"[('0.541', '0.247'), ('0.515', '0.311'), ('0.555', '0.260'), ('0.536', '0.258'), ('0.547', '0.242')]","('0.5388', '0.2636')"
MLP,ngram_notes,8,3,tanh,False,False,"[('0.674', '0.231'), ('0.688', '0.248'), ('0.737', '0.234'), ('0.710', '0.294'), ('0.738', '0.314')]","('0.7094', '0.2642')"
MLP,ngram_notes,4,7,tanh,False,False,"[('0.729', '0.209'), ('0.739', '0.313'), ('0.788', '0.251'), ('0.767', '0.272'), ('0.767', '0.279')]","('0.7580', '0.2648')"
MLP,ngram_notes,4,8,tanh,False,False,"[('0.772', '0.238'), ('0.783', '0.287'), ('0.805', '0.250'), ('0.815', '0.258'), ('0.797', '0.292')]","('0.7944', '0.2650')"
MLP,ngram_notes,6,8,tanh,False,False,"[('0.864', '0.230'), ('0.877', '0.321'), ('0.916', '0.265'), ('0.902', '0.242'), ('0.898', '0.267')]","('0.8914', '0.2650')"
MLP,ngram_notes,7,8,tanh,True,False,"[('0.898', '0.230'), ('0.914', '0.335'), ('0.945', '0.265'), ('0.914', '0.220'), ('0.929', '0.275')]","('0.9200', '0.2650')"
MLP,ngram_notes,7,7,tanh,False,False,"[('0.853', '0.209'), ('0.881', '0.285'), ('0.901', '0.227'), ('0.894', '0.282'), ('0.906', '0.324')]","('0.8870', '0.2654')"
MLP,ngram_notes,6,6,tanh,False,False,"[('0.818', '0.247'), ('0.840', '0.269'), ('0.854', '0.225'), ('0.856', '0.255'), ('0.860', '0.340')]","('0.8456', '0.2672')"
MLP,ngram_notes,3,8,tanh,False,False,"[('0.682', '0.200'), ('0.646', '0.278'), ('0.712', '0.289'), ('0.701', '0.280'), ('0.697', '0.292')]","('0.6876', '0.2678')"
MLP,ngram_notes,8,5,tanh,False,False,"[('0.811', '0.190'), ('0.845', '0.259'), ('0.873', '0.284'), ('0.851', '0.268'), ('0.870', '0.341')]","('0.8500', '0.2684')"
MLP,ngram_notes,3,6,tanh,False,False,"[('0.595', '0.222'), ('0.553', '0.265'), ('0.615', '0.294'), ('0.598', '0.255'), ('0.603', '0.314')]","('0.5928', '0.2700')"
MLP,ngram_notes,8,3,tanh,False,False,"[('0.684', '0.239'), ('0.704', '0.274'), ('0.731', '0.201'), ('0.703', '0.299'), ('0.738', '0.338')]","('0.7120', '0.2702')"
MLP,ngram_notes,5,5,tanh,False,False,"[('0.706', '0.215'), ('0.707', '0.286'), ('0.748', '0.231'), ('0.747', '0.282'), ('0.763', '0.341')]","('0.7342', '0.2710')"
MLP,ngram_notes,2,8,tanh,False,False,"[('0.538', '0.230'), ('0.505', '0.321'), ('0.568', '0.240'), ('0.544', '0.323'), ('0.550', '0.250')]","('0.5410', '0.2728')"
MLP,ngram_notes,6,4,tanh,True,False,"[('0.737', '0.219'), ('0.741', '0.275'), ('0.773', '0.267'), ('0.755', '0.266'), ('0.794', '0.337')]","('0.7600', '0.2728')"
MLP,ngram_notes,4,8,tanh,False,False,"[('0.771', '0.226'), ('0.764', '0.321'), ('0.807', '0.260'), ('0.816', '0.258'), ('0.796', '0.300')]","('0.7908', '0.2730')"
MLP,ngram_notes,3,8,tanh,False,False,"[('0.662', '0.234'), ('0.647', '0.292'), ('0.717', '0.279'), ('0.706', '0.269'), ('0.699', '0.292')]","('0.6862', '0.2732')"
MLP,ngram_notes,4,6,tanh,False,False,"[('0.702', '0.218'), ('0.702', '0.292'), ('0.735', '0.261'), ('0.715', '0.265'), ('0.724', '0.333')]","('0.7156', '0.2738')"
