MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,ngram_notes,8,1,sigmoid,False,False,"[('0.273', '0.236'), ('0.270', '0.258'), ('0.245', '0.245'), ('0.257', '0.221'), ('0.255', '0.328')]","('0.2600', '0.2576')"
SVM,ngram_notes,8,1,sigmoid,True,False,"[('0.273', '0.236'), ('0.270', '0.258'), ('0.245', '0.245'), ('0.257', '0.221'), ('0.255', '0.328')]","('0.2600', '0.2576')"
SVM,ngram_notes,3,1,sigmoid,False,False,"[('0.325', '0.228'), ('0.275', '0.275'), ('0.309', '0.269'), ('0.291', '0.253'), ('0.277', '0.265')]","('0.2954', '0.2580')"
SVM,ngram_notes,3,1,sigmoid,True,False,"[('0.325', '0.228'), ('0.275', '0.275'), ('0.309', '0.269'), ('0.291', '0.253'), ('0.277', '0.265')]","('0.2954', '0.2580')"
SVM,ngram_notes,8,2,sigmoid,False,False,"[('0.242', '0.251'), ('0.267', '0.234'), ('0.224', '0.317'), ('0.252', '0.208'), ('0.247', '0.285')]","('0.2464', '0.2590')"
SVM,ngram_notes,8,2,sigmoid,True,False,"[('0.261', '0.243'), ('0.274', '0.243'), ('0.220', '0.329'), ('0.259', '0.217'), ('0.248', '0.299')]","('0.2524', '0.2662')"
SVM,ngram_notes,7,1,sigmoid,False,False,"[('0.278', '0.224'), ('0.275', '0.262'), ('0.240', '0.289'), ('0.239', '0.249'), ('0.255', '0.324')]","('0.2574', '0.2696')"
SVM,ngram_notes,7,1,sigmoid,True,False,"[('0.278', '0.224'), ('0.275', '0.262'), ('0.240', '0.289'), ('0.239', '0.249'), ('0.255', '0.324')]","('0.2574', '0.2696')"
SVM,ngram_notes,6,1,sigmoid,False,False,"[('0.281', '0.205'), ('0.267', '0.291'), ('0.252', '0.296'), ('0.258', '0.237'), ('0.249', '0.332')]","('0.2614', '0.2722')"
SVM,ngram_notes,6,1,sigmoid,True,False,"[('0.281', '0.205'), ('0.267', '0.291'), ('0.252', '0.296'), ('0.258', '0.237'), ('0.249', '0.332')]","('0.2614', '0.2722')"
SVM,ngram_notes,1,2,sigmoid,True,False,"[('0.322', '0.212'), ('0.289', '0.268'), ('0.271', '0.252'), ('0.297', '0.304'), ('0.274', '0.330')]","('0.2906', '0.2732')"
SVM,ngram_notes,7,2,sigmoid,True,False,"[('0.256', '0.263'), ('0.272', '0.234'), ('0.228', '0.329'), ('0.264', '0.225'), ('0.252', '0.317')]","('0.2544', '0.2736')"
SVM,ngram_notes,5,1,sigmoid,False,False,"[('0.292', '0.224'), ('0.252', '0.324'), ('0.250', '0.316'), ('0.274', '0.249'), ('0.248', '0.277')]","('0.2632', '0.2780')"
SVM,ngram_notes,5,1,sigmoid,True,False,"[('0.292', '0.224'), ('0.252', '0.324'), ('0.250', '0.316'), ('0.274', '0.249'), ('0.248', '0.277')]","('0.2632', '0.2780')"
SVM,ngram_notes,8,8,sigmoid,False,False,"[('0.313', '0.268'), ('0.318', '0.244'), ('0.283', '0.250'), ('0.306', '0.285'), ('0.295', '0.350')]","('0.3030', '0.2794')"
SVM,ngram_notes,2,8,sigmoid,False,False,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,3,8,sigmoid,False,False,"[('0.313', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.295', '0.350')]","('0.3036', '0.2804')"
SVM,ngram_notes,4,8,sigmoid,False,False,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,5,8,sigmoid,False,False,"[('0.313', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3038', '0.2804')"
SVM,ngram_notes,6,8,sigmoid,False,False,"[('0.313', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.306', '0.285'), ('0.295', '0.350')]","('0.3034', '0.2804')"
SVM,ngram_notes,1,8,sigmoid,True,False,"[('0.312', '0.268'), ('0.315', '0.249'), ('0.285', '0.250'), ('0.306', '0.285'), ('0.293', '0.350')]","('0.3022', '0.2804')"
SVM,ngram_notes,2,8,sigmoid,True,False,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,3,8,sigmoid,True,False,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,4,8,sigmoid,True,False,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,5,8,sigmoid,True,False,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,6,8,sigmoid,True,False,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,7,8,sigmoid,True,False,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,1,8,sigmoid,False,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,2,8,sigmoid,False,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,3,8,sigmoid,False,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,4,8,sigmoid,False,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,5,8,sigmoid,False,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,6,8,sigmoid,False,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,7,8,sigmoid,False,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,8,8,sigmoid,False,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,1,8,sigmoid,True,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,2,8,sigmoid,True,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,3,8,sigmoid,True,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,4,8,sigmoid,True,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,5,8,sigmoid,True,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,6,8,sigmoid,True,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,7,8,sigmoid,True,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,8,8,sigmoid,True,True,"[('0.314', '0.268'), ('0.318', '0.249'), ('0.285', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3040', '0.2804')"
SVM,ngram_notes,6,7,sigmoid,False,False,"[('0.316', '0.276'), ('0.323', '0.248'), ('0.283', '0.251'), ('0.310', '0.292'), ('0.302', '0.338')]","('0.3068', '0.2810')"
SVM,ngram_notes,8,7,sigmoid,False,False,"[('0.315', '0.276'), ('0.323', '0.248'), ('0.276', '0.251'), ('0.309', '0.292'), ('0.300', '0.338')]","('0.3046', '0.2810')"
SVM,ngram_notes,1,7,sigmoid,False,False,"[('0.311', '0.272'), ('0.319', '0.248'), ('0.279', '0.256'), ('0.310', '0.292'), ('0.298', '0.338')]","('0.3034', '0.2812')"
SVM,ngram_notes,1,8,sigmoid,False,False,"[('0.309', '0.268'), ('0.314', '0.249'), ('0.283', '0.255'), ('0.303', '0.285'), ('0.291', '0.350')]","('0.3000', '0.2814')"
SVM,ngram_notes,7,8,sigmoid,False,False,"[('0.312', '0.268'), ('0.318', '0.254'), ('0.284', '0.250'), ('0.306', '0.285'), ('0.295', '0.350')]","('0.3030', '0.2814')"
SVM,ngram_notes,8,8,sigmoid,True,False,"[('0.314', '0.268'), ('0.318', '0.254'), ('0.284', '0.250'), ('0.307', '0.285'), ('0.296', '0.350')]","('0.3038', '0.2814')"
SVM,ngram_notes,2,7,sigmoid,False,False,"[('0.316', '0.276'), ('0.323', '0.252'), ('0.284', '0.251'), ('0.310', '0.292'), ('0.302', '0.338')]","('0.3070', '0.2818')"
SVM,ngram_notes,3,7,sigmoid,False,False,"[('0.316', '0.276'), ('0.323', '0.252'), ('0.284', '0.251'), ('0.310', '0.292'), ('0.302', '0.338')]","('0.3070', '0.2818')"
SVM,ngram_notes,4,7,sigmoid,False,False,"[('0.316', '0.276'), ('0.323', '0.252'), ('0.284', '0.251'), ('0.310', '0.292'), ('0.302', '0.338')]","('0.3070', '0.2818')"
SVM,ngram_notes,5,7,sigmoid,False,False,"[('0.316', '0.276'), ('0.323', '0.252'), ('0.284', '0.251'), ('0.310', '0.292'), ('0.302', '0.338')]","('0.3070', '0.2818')"
SVM,ngram_notes,7,7,sigmoid,False,False,"[('0.315', '0.276'), ('0.323', '0.252'), ('0.277', '0.251'), ('0.310', '0.292'), ('0.300', '0.338')]","('0.3050', '0.2818')"
SVM,ngram_notes,1,7,sigmoid,True,False,"[('0.313', '0.276'), ('0.319', '0.252'), ('0.287', '0.251'), ('0.310', '0.292'), ('0.299', '0.338')]","('0.3056', '0.2818')"
