MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,ngram_notes,8,8,identity,False,False,"[('0.477', '0.203'), ('0.497', '0.111'), ('0.443', '0.191'), ('0.486', '0.243'), ('0.452', '0.208'), ('0.479', '0.250'), ('0.468', '0.187'), ('0.460', '0.242'), ('0.453', '0.291'), ('0.473', '0.171')]","('0.4688', '0.2097')"
LogReg,ngram_notes,8,8,relu,False,False,"[('0.477', '0.203'), ('0.497', '0.111'), ('0.443', '0.191'), ('0.486', '0.243'), ('0.452', '0.208'), ('0.479', '0.250'), ('0.468', '0.187'), ('0.460', '0.242'), ('0.453', '0.291'), ('0.473', '0.171')]","('0.4688', '0.2097')"
LogReg,ngram_notes,8,8,logistic,False,False,"[('0.477', '0.203'), ('0.497', '0.111'), ('0.443', '0.191'), ('0.486', '0.243'), ('0.452', '0.208'), ('0.479', '0.250'), ('0.468', '0.187'), ('0.460', '0.242'), ('0.453', '0.291'), ('0.473', '0.171')]","('0.4688', '0.2097')"
LogReg,ngram_notes,8,8,tanh,False,False,"[('0.477', '0.203'), ('0.497', '0.111'), ('0.443', '0.191'), ('0.486', '0.243'), ('0.452', '0.208'), ('0.479', '0.250'), ('0.468', '0.187'), ('0.460', '0.242'), ('0.453', '0.291'), ('0.473', '0.171')]","('0.4688', '0.2097')"
LogReg,ngram_notes,7,8,identity,False,False,"[('0.458', '0.203'), ('0.486', '0.154'), ('0.417', '0.202'), ('0.445', '0.235'), ('0.455', '0.229'), ('0.482', '0.250'), ('0.453', '0.165'), ('0.468', '0.242'), ('0.454', '0.291'), ('0.448', '0.171')]","('0.4566', '0.2142')"
LogReg,ngram_notes,7,8,relu,False,False,"[('0.458', '0.203'), ('0.486', '0.154'), ('0.417', '0.202'), ('0.445', '0.235'), ('0.455', '0.229'), ('0.482', '0.250'), ('0.453', '0.165'), ('0.468', '0.242'), ('0.454', '0.291'), ('0.448', '0.171')]","('0.4566', '0.2142')"
LogReg,ngram_notes,7,8,logistic,False,False,"[('0.458', '0.203'), ('0.486', '0.154'), ('0.417', '0.202'), ('0.445', '0.235'), ('0.455', '0.229'), ('0.482', '0.250'), ('0.453', '0.165'), ('0.468', '0.242'), ('0.454', '0.291'), ('0.448', '0.171')]","('0.4566', '0.2142')"
LogReg,ngram_notes,7,8,tanh,False,False,"[('0.458', '0.203'), ('0.486', '0.154'), ('0.417', '0.202'), ('0.445', '0.235'), ('0.455', '0.229'), ('0.482', '0.250'), ('0.453', '0.165'), ('0.468', '0.242'), ('0.454', '0.291'), ('0.448', '0.171')]","('0.4566', '0.2142')"
LogReg,ngram_notes,6,8,identity,False,False,"[('0.441', '0.195'), ('0.460', '0.128'), ('0.405', '0.245'), ('0.412', '0.191'), ('0.430', '0.219'), ('0.434', '0.250'), ('0.411', '0.165'), ('0.423', '0.263'), ('0.423', '0.291'), ('0.423', '0.220')]","('0.4262', '0.2167')"
LogReg,ngram_notes,6,8,relu,False,False,"[('0.441', '0.195'), ('0.460', '0.128'), ('0.405', '0.245'), ('0.412', '0.191'), ('0.430', '0.219'), ('0.434', '0.250'), ('0.411', '0.165'), ('0.423', '0.263'), ('0.423', '0.291'), ('0.423', '0.220')]","('0.4262', '0.2167')"
LogReg,ngram_notes,6,8,logistic,False,False,"[('0.441', '0.195'), ('0.460', '0.128'), ('0.405', '0.245'), ('0.412', '0.191'), ('0.430', '0.219'), ('0.434', '0.250'), ('0.411', '0.165'), ('0.423', '0.263'), ('0.423', '0.291'), ('0.423', '0.220')]","('0.4262', '0.2167')"
LogReg,ngram_notes,6,8,tanh,False,False,"[('0.441', '0.195'), ('0.460', '0.128'), ('0.405', '0.245'), ('0.412', '0.191'), ('0.430', '0.219'), ('0.434', '0.250'), ('0.411', '0.165'), ('0.423', '0.263'), ('0.423', '0.291'), ('0.423', '0.220')]","('0.4262', '0.2167')"
LogReg,ngram_notes,5,8,identity,False,False,"[('0.421', '0.195'), ('0.432', '0.120'), ('0.399', '0.277'), ('0.410', '0.226'), ('0.416', '0.198'), ('0.416', '0.241'), ('0.396', '0.176'), ('0.423', '0.274'), ('0.394', '0.278'), ('0.415', '0.244')]","('0.4122', '0.2229')"
LogReg,ngram_notes,5,8,relu,False,False,"[('0.421', '0.195'), ('0.432', '0.120'), ('0.399', '0.277'), ('0.410', '0.226'), ('0.416', '0.198'), ('0.416', '0.241'), ('0.396', '0.176'), ('0.423', '0.274'), ('0.394', '0.278'), ('0.415', '0.244')]","('0.4122', '0.2229')"
LogReg,ngram_notes,5,8,logistic,False,False,"[('0.421', '0.195'), ('0.432', '0.120'), ('0.399', '0.277'), ('0.410', '0.226'), ('0.416', '0.198'), ('0.416', '0.241'), ('0.396', '0.176'), ('0.423', '0.274'), ('0.394', '0.278'), ('0.415', '0.244')]","('0.4122', '0.2229')"
LogReg,ngram_notes,5,8,tanh,False,False,"[('0.421', '0.195'), ('0.432', '0.120'), ('0.399', '0.277'), ('0.410', '0.226'), ('0.416', '0.198'), ('0.416', '0.241'), ('0.396', '0.176'), ('0.423', '0.274'), ('0.394', '0.278'), ('0.415', '0.244')]","('0.4122', '0.2229')"
MLP,ngram_notes,4,6,relu,False,False,"[('0.698', '0.262'), ('0.696', '0.198'), ('0.700', '0.224'), ('0.712', '0.198'), ('0.718', '0.235'), ('0.715', '0.224'), ('0.715', '0.162'), ('0.728', '0.286'), ('0.717', '0.281'), ('0.691', '0.246')]","('0.7090', '0.2316')"
SVM,ngram_notes,5,8,linear,False,False,"[('0.443', '0.229'), ('0.452', '0.145'), ('0.437', '0.287'), ('0.441', '0.209'), ('0.458', '0.240'), ('0.449', '0.259'), ('0.404', '0.132'), ('0.435', '0.242'), ('0.439', '0.354'), ('0.440', '0.220')]","('0.4398', '0.2317')"
SVM,ngram_notes,4,1,sigmoid,False,False,"[('0.313', '0.227'), ('0.297', '0.229'), ('0.252', '0.185'), ('0.276', '0.257'), ('0.232', '0.239'), ('0.265', '0.353'), ('0.272', '0.118'), ('0.287', '0.223'), ('0.284', '0.272'), ('0.263', '0.225')]","('0.2741', '0.2328')"
SVM,ngram_notes,4,1,sigmoid,True,False,"[('0.313', '0.227'), ('0.297', '0.229'), ('0.252', '0.185'), ('0.276', '0.257'), ('0.232', '0.239'), ('0.265', '0.353'), ('0.272', '0.118'), ('0.287', '0.223'), ('0.284', '0.272'), ('0.263', '0.225')]","('0.2741', '0.2328')"
MLP,ngram_notes,3,8,relu,False,False,"[('0.689', '0.280'), ('0.729', '0.188'), ('0.684', '0.223'), ('0.676', '0.226'), ('0.719', '0.156'), ('0.713', '0.222'), ('0.705', '0.165'), ('0.721', '0.305'), ('0.697', '0.278'), ('0.703', '0.293')]","('0.7036', '0.2336')"
MLP,ngram_notes,8,8,identity,False,False,"[('0.469', '0.246'), ('0.479', '0.154'), ('0.433', '0.245'), ('0.465', '0.287'), ('0.449', '0.208'), ('0.468', '0.259'), ('0.447', '0.187'), ('0.447', '0.232'), ('0.448', '0.342'), ('0.457', '0.195')]","('0.4562', '0.2355')"
MLP,ngram_notes,5,8,relu,False,False,"[('0.883', '0.271'), ('0.891', '0.188'), ('0.890', '0.149'), ('0.888', '0.296'), ('0.904', '0.167'), ('0.907', '0.278'), ('0.897', '0.253'), ('0.901', '0.295'), ('0.910', '0.190'), ('0.893', '0.268')]","('0.8964', '0.2355')"
LogReg,ngram_notes,3,8,identity,False,True,"[('0.328', '0.263'), ('0.309', '0.154'), ('0.312', '0.277'), ('0.315', '0.235'), ('0.319', '0.250'), ('0.304', '0.231'), ('0.338', '0.132'), ('0.306', '0.411'), ('0.314', '0.190'), ('0.308', '0.220')]","('0.3153', '0.2363')"
LogReg,ngram_notes,3,8,relu,False,True,"[('0.328', '0.263'), ('0.309', '0.154'), ('0.312', '0.277'), ('0.315', '0.235'), ('0.319', '0.250'), ('0.304', '0.231'), ('0.338', '0.132'), ('0.306', '0.411'), ('0.314', '0.190'), ('0.308', '0.220')]","('0.3153', '0.2363')"
LogReg,ngram_notes,3,8,logistic,False,True,"[('0.328', '0.263'), ('0.309', '0.154'), ('0.312', '0.277'), ('0.315', '0.235'), ('0.319', '0.250'), ('0.304', '0.231'), ('0.338', '0.132'), ('0.306', '0.411'), ('0.314', '0.190'), ('0.308', '0.220')]","('0.3153', '0.2363')"
LogReg,ngram_notes,3,8,tanh,False,True,"[('0.328', '0.263'), ('0.309', '0.154'), ('0.312', '0.277'), ('0.315', '0.235'), ('0.319', '0.250'), ('0.304', '0.231'), ('0.338', '0.132'), ('0.306', '0.411'), ('0.314', '0.190'), ('0.308', '0.220')]","('0.3153', '0.2363')"
LogReg,ngram_notes,3,8,identity,True,True,"[('0.328', '0.263'), ('0.309', '0.154'), ('0.312', '0.277'), ('0.315', '0.235'), ('0.321', '0.250'), ('0.304', '0.231'), ('0.338', '0.132'), ('0.306', '0.411'), ('0.314', '0.190'), ('0.307', '0.220')]","('0.3154', '0.2363')"
