MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,8,8,identity,False,False,"[('0.517', '0.183'), ('0.470', '0.273'), ('0.461', '0.235'), ('0.457', '0.199'), ('0.472', '0.283')]","('0.4754', '0.2346')"
MLP,ngram_notes,8,8,identity,False,False,"[('0.517', '0.191'), ('0.470', '0.273'), ('0.461', '0.235'), ('0.457', '0.199'), ('0.472', '0.283')]","('0.4754', '0.2362')"
MLP,ngram_notes,8,7,identity,False,False,"[('0.485', '0.201'), ('0.461', '0.304'), ('0.452', '0.209'), ('0.451', '0.215'), ('0.452', '0.324')]","('0.4602', '0.2506')"
MLP,ngram_notes,5,8,identity,False,False,"[('0.446', '0.217'), ('0.412', '0.282'), ('0.428', '0.240'), ('0.398', '0.253'), ('0.410', '0.267')]","('0.4188', '0.2518')"
MLP,ngram_notes,5,8,identity,False,False,"[('0.446', '0.217'), ('0.412', '0.282'), ('0.427', '0.240'), ('0.398', '0.253'), ('0.410', '0.267')]","('0.4186', '0.2518')"
MLP,ngram_notes,8,7,identity,False,False,"[('0.484', '0.197'), ('0.461', '0.304'), ('0.450', '0.209'), ('0.451', '0.221'), ('0.452', '0.331')]","('0.4596', '0.2524')"
MLP,ngram_notes,7,8,identity,False,False,"[('0.502', '0.191'), ('0.452', '0.273'), ('0.471', '0.255'), ('0.444', '0.220'), ('0.472', '0.325')]","('0.4682', '0.2528')"
MLP,ngram_notes,7,8,identity,False,False,"[('0.502', '0.191'), ('0.451', '0.273'), ('0.472', '0.255'), ('0.444', '0.220'), ('0.472', '0.325')]","('0.4682', '0.2528')"
MLP,ngram_notes,5,7,identity,False,False,"[('0.447', '0.188'), ('0.397', '0.304'), ('0.416', '0.213'), ('0.407', '0.251'), ('0.383', '0.309')]","('0.4100', '0.2530')"
MLP,ngram_notes,5,7,identity,False,False,"[('0.446', '0.188'), ('0.397', '0.304'), ('0.415', '0.213'), ('0.407', '0.251'), ('0.385', '0.309')]","('0.4100', '0.2530')"
MLP,ngram_notes,6,8,identity,False,False,"[('0.478', '0.226'), ('0.420', '0.287'), ('0.464', '0.230'), ('0.431', '0.247'), ('0.426', '0.292')]","('0.4438', '0.2564')"
MLP,ngram_notes,6,8,identity,False,False,"[('0.478', '0.226'), ('0.420', '0.287'), ('0.463', '0.230'), ('0.432', '0.247'), ('0.426', '0.292')]","('0.4438', '0.2564')"
MLP,ngram_notes,4,8,identity,False,False,"[('0.430', '0.200'), ('0.408', '0.292'), ('0.427', '0.260'), ('0.391', '0.263'), ('0.404', '0.275')]","('0.4120', '0.2580')"
MLP,ngram_notes,8,6,identity,False,False,"[('0.469', '0.185'), ('0.441', '0.292'), ('0.434', '0.234'), ('0.421', '0.250'), ('0.446', '0.333')]","('0.4422', '0.2588')"
MLP,ngram_notes,4,8,identity,False,False,"[('0.430', '0.196'), ('0.407', '0.292'), ('0.427', '0.260'), ('0.391', '0.274'), ('0.404', '0.275')]","('0.4118', '0.2594')"
