MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,previous_ngram_notes,5,1,sigmoid,False,False,"[('0.287', '0.260'), ('0.300', '0.185'), ('0.277', '0.215'), ('0.261', '0.289'), ('0.263', '0.328'), ('0.276', '0.341'), ('0.275', '0.322'), ('0.272', '0.302'), ('0.259', '0.301'), ('0.263', '0.318')]","('0.2733', '0.2861')"
SVM,previous_ngram_notes,5,1,sigmoid,True,False,"[('0.276', '0.313'), ('0.297', '0.231'), ('0.283', '0.299'), ('0.275', '0.267'), ('0.264', '0.293'), ('0.274', '0.341'), ('0.283', '0.254'), ('0.266', '0.310'), ('0.273', '0.327'), ('0.272', '0.336')]","('0.2763', '0.2971')"
SVM,previous_ngram_notes,4,1,rbf,False,False,"[('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.333', '0.452'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]","('0.3422', '0.3322')"
SVM,previous_ngram_notes,4,1,linear,False,False,"[('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]","('0.3415', '0.3329')"
SVM,previous_ngram_notes,4,1,rbf,False,True,"[('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]","('0.3415', '0.3329')"
SVM,previous_ngram_notes,4,1,linear,False,True,"[('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]","('0.3415', '0.3329')"
SVM,previous_ngram_notes,5,1,sigmoid,False,True,"[('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]","('0.3415', '0.3329')"
SVM,previous_ngram_notes,4,1,rbf,True,True,"[('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]","('0.3415', '0.3329')"
SVM,previous_ngram_notes,4,1,linear,True,True,"[('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]","('0.3415', '0.3329')"
SVM,previous_ngram_notes,5,1,sigmoid,True,True,"[('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]","('0.3415', '0.3329')"
SVM,previous_ngram_notes,4,1,rbf,True,False,"[('0.358', '0.313'), ('0.365', '0.254'), ('0.353', '0.290'), ('0.352', '0.252'), ('0.357', '0.319'), ('0.340', '0.459'), ('0.371', '0.178'), ('0.334', '0.457'), ('0.346', '0.434'), ('0.351', '0.382')]","('0.3527', '0.3338')"
SVM,previous_ngram_notes,4,1,linear,True,False,"[('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000'), ('0.998', '0.992'), ('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000')]","('0.9998', '0.9992')"
