MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,current_bar,5,1,identity,False,False,"[('0.275', '0.352'), ('0.281', '0.275'), ('0.292', '0.176'), ('0.281', '0.257'), ('0.281', '0.247'), ('0.276', '0.294'), ('0.279', '0.319'), ('0.282', '0.277'), ('0.274', '0.296'), ('0.286', '0.186')]","('0.2807', '0.2679')"
SVM,current_bar,5,1,sigmoid,False,False,"[('0.258', '0.346'), ('0.263', '0.287'), ('0.278', '0.179'), ('0.266', '0.278'), ('0.273', '0.244'), ('0.265', '0.287'), ('0.261', '0.344'), ('0.273', '0.259'), ('0.264', '0.279'), ('0.274', '0.182')]","('0.2675', '0.2685')"
MLP,current_bar,5,1,tanh,False,False,"[('0.307', '0.361'), ('0.322', '0.272'), ('0.327', '0.170'), ('0.313', '0.301'), ('0.314', '0.256'), ('0.313', '0.297'), ('0.307', '0.291'), ('0.316', '0.266'), ('0.323', '0.310'), ('0.323', '0.204')]","('0.3165', '0.2728')"
LogReg,current_bar,5,1,identity,False,False,"[('0.278', '0.352'), ('0.285', '0.278'), ('0.297', '0.182'), ('0.279', '0.257'), ('0.279', '0.253'), ('0.270', '0.297'), ('0.282', '0.331'), ('0.287', '0.277'), ('0.279', '0.313'), ('0.290', '0.204')]","('0.2826', '0.2744')"
LogReg,current_bar,5,1,relu,False,False,"[('0.278', '0.352'), ('0.285', '0.278'), ('0.297', '0.182'), ('0.279', '0.257'), ('0.279', '0.253'), ('0.270', '0.297'), ('0.282', '0.331'), ('0.287', '0.277'), ('0.279', '0.313'), ('0.290', '0.204')]","('0.2826', '0.2744')"
LogReg,current_bar,5,1,logistic,False,False,"[('0.278', '0.352'), ('0.285', '0.278'), ('0.297', '0.182'), ('0.279', '0.257'), ('0.279', '0.253'), ('0.270', '0.297'), ('0.282', '0.331'), ('0.287', '0.277'), ('0.279', '0.313'), ('0.290', '0.204')]","('0.2826', '0.2744')"
LogReg,current_bar,5,1,tanh,False,False,"[('0.278', '0.352'), ('0.285', '0.278'), ('0.297', '0.182'), ('0.279', '0.257'), ('0.279', '0.253'), ('0.270', '0.297'), ('0.282', '0.331'), ('0.287', '0.277'), ('0.279', '0.313'), ('0.290', '0.204')]","('0.2826', '0.2744')"
MLP,current_bar,5,1,relu,False,False,"[('0.308', '0.358'), ('0.314', '0.284'), ('0.326', '0.182'), ('0.313', '0.316'), ('0.315', '0.256'), ('0.325', '0.294'), ('0.314', '0.297'), ('0.316', '0.270'), ('0.313', '0.296'), ('0.322', '0.196')]","('0.3166', '0.2749')"
MLP,current_bar,5,1,identity,False,True,"[('0.269', '0.349'), ('0.276', '0.290'), ('0.291', '0.170'), ('0.278', '0.275'), ('0.278', '0.274'), ('0.274', '0.316'), ('0.270', '0.350'), ('0.278', '0.277'), ('0.277', '0.286'), ('0.287', '0.182')]","('0.2778', '0.2769')"
MLP,current_bar,5,1,relu,False,True,"[('0.269', '0.349'), ('0.276', '0.290'), ('0.291', '0.170'), ('0.278', '0.275'), ('0.278', '0.274'), ('0.274', '0.316'), ('0.270', '0.350'), ('0.278', '0.277'), ('0.277', '0.286'), ('0.287', '0.182')]","('0.2778', '0.2769')"
