MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,current_bar,5,1,sigmoid,False,False,"[('0.138', '0.116'), ('0.133', '0.148'), ('0.132', '0.219'), ('0.121', '0.187'), ('0.119', '0.162'), ('0.152', '0.125'), ('0.125', '0.140'), ('0.135', '0.129'), ('0.131', '0.113'), ('0.166', '0.197')]","('0.1352', '0.1536')"
LogReg,current_bar,5,1,identity,False,True,"[('0.181', '0.063'), ('0.170', '0.180'), ('0.175', '0.117'), ('0.164', '0.217'), ('0.173', '0.135'), ('0.166', '0.201'), ('0.170', '0.207'), ('0.173', '0.165'), ('0.171', '0.199'), ('0.169', '0.175')]","('0.1712', '0.1659')"
LogReg,current_bar,5,1,relu,False,True,"[('0.181', '0.063'), ('0.170', '0.180'), ('0.175', '0.117'), ('0.164', '0.217'), ('0.173', '0.135'), ('0.166', '0.201'), ('0.170', '0.207'), ('0.173', '0.165'), ('0.171', '0.199'), ('0.169', '0.175')]","('0.1712', '0.1659')"
LogReg,current_bar,5,1,logistic,False,True,"[('0.181', '0.063'), ('0.170', '0.180'), ('0.175', '0.117'), ('0.164', '0.217'), ('0.173', '0.135'), ('0.166', '0.201'), ('0.170', '0.207'), ('0.173', '0.165'), ('0.171', '0.199'), ('0.169', '0.175')]","('0.1712', '0.1659')"
LogReg,current_bar,5,1,tanh,False,True,"[('0.181', '0.063'), ('0.170', '0.180'), ('0.175', '0.117'), ('0.164', '0.217'), ('0.173', '0.135'), ('0.166', '0.201'), ('0.170', '0.207'), ('0.173', '0.165'), ('0.171', '0.199'), ('0.169', '0.175')]","('0.1712', '0.1659')"
MLP,current_bar,5,1,identity,False,True,"[('0.194', '0.101'), ('0.199', '0.159'), ('0.197', '0.184'), ('0.192', '0.232'), ('0.199', '0.157'), ('0.192', '0.228'), ('0.193', '0.223'), ('0.197', '0.182'), ('0.197', '0.177'), ('0.193', '0.224')]","('0.1953', '0.1867')"
MLP,current_bar,5,1,relu,False,True,"[('0.194', '0.101'), ('0.199', '0.159'), ('0.197', '0.184'), ('0.192', '0.232'), ('0.199', '0.157'), ('0.192', '0.228'), ('0.193', '0.223'), ('0.197', '0.182'), ('0.197', '0.177'), ('0.193', '0.224')]","('0.1953', '0.1867')"
MLP,current_bar,5,1,logistic,False,True,"[('0.194', '0.101'), ('0.199', '0.159'), ('0.197', '0.184'), ('0.192', '0.232'), ('0.199', '0.157'), ('0.192', '0.228'), ('0.193', '0.223'), ('0.197', '0.182'), ('0.197', '0.177'), ('0.193', '0.224')]","('0.1953', '0.1867')"
MLP,current_bar,5,1,tanh,False,True,"[('0.194', '0.101'), ('0.199', '0.159'), ('0.197', '0.184'), ('0.192', '0.232'), ('0.199', '0.157'), ('0.192', '0.228'), ('0.193', '0.223'), ('0.197', '0.182'), ('0.197', '0.177'), ('0.193', '0.224')]","('0.1953', '0.1867')"
SVM,current_bar,5,1,rbf,False,False,"[('0.194', '0.101'), ('0.199', '0.159'), ('0.197', '0.184'), ('0.192', '0.232'), ('0.199', '0.157'), ('0.192', '0.228'), ('0.193', '0.223'), ('0.197', '0.182'), ('0.197', '0.177'), ('0.193', '0.224')]","('0.1953', '0.1867')"
SVM,current_bar,5,1,rbf,False,True,"[('0.194', '0.101'), ('0.199', '0.159'), ('0.197', '0.184'), ('0.192', '0.232'), ('0.199', '0.157'), ('0.192', '0.228'), ('0.193', '0.223'), ('0.197', '0.182'), ('0.197', '0.177'), ('0.193', '0.224')]","('0.1953', '0.1867')"
SVM,current_bar,5,1,linear,False,True,"[('0.194', '0.101'), ('0.199', '0.159'), ('0.197', '0.184'), ('0.192', '0.232'), ('0.199', '0.157'), ('0.192', '0.228'), ('0.193', '0.223'), ('0.197', '0.182'), ('0.197', '0.177'), ('0.193', '0.224')]","('0.1953', '0.1867')"
SVM,current_bar,5,1,sigmoid,False,True,"[('0.194', '0.101'), ('0.199', '0.159'), ('0.197', '0.184'), ('0.192', '0.232'), ('0.199', '0.157'), ('0.192', '0.228'), ('0.193', '0.223'), ('0.197', '0.182'), ('0.197', '0.177'), ('0.193', '0.224')]","('0.1953', '0.1867')"
SVM,current_bar,5,1,linear,False,False,"[('0.219', '0.138'), ('0.215', '0.164'), ('0.196', '0.163'), ('0.218', '0.192'), ('0.217', '0.173'), ('0.215', '0.179'), ('0.214', '0.190'), ('0.215', '0.218'), ('0.215', '0.237'), ('0.202', '0.230')]","('0.2126', '0.1884')"
LogReg,current_bar,5,1,identity,False,False,"[('0.222', '0.138'), ('0.226', '0.169'), ('0.219', '0.179'), ('0.218', '0.217'), ('0.220', '0.178'), ('0.227', '0.136'), ('0.218', '0.212'), ('0.216', '0.229'), ('0.222', '0.226'), ('0.211', '0.295')]","('0.2199', '0.1979')"
LogReg,current_bar,5,1,relu,False,False,"[('0.222', '0.138'), ('0.226', '0.169'), ('0.219', '0.179'), ('0.218', '0.217'), ('0.220', '0.178'), ('0.227', '0.136'), ('0.218', '0.212'), ('0.216', '0.229'), ('0.222', '0.226'), ('0.211', '0.295')]","('0.2199', '0.1979')"
