RATIOS-
[0.21909424724602203, 0.21297429620563035, 0.211750305997552, 0.20563035495716034, 0.15055079559363524]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 current_bar         5                   1                   identity            False               False               [('0.328', '0.324'), ('0.313', '0.247'), ('0.351', '0.192'), ('0.338', '0.224'), ('0.346', '0.146')]('0.3352', '0.2266')
MLP                 current_bar         5                   1                   identity            False               False               [('0.328', '0.324'), ('0.313', '0.247'), ('0.351', '0.192'), ('0.338', '0.224'), ('0.346', '0.146')]('0.3352', '0.2266')
MLP                 current_bar         5                   1                   identity            False               False               [('0.328', '0.324'), ('0.313', '0.247'), ('0.351', '0.192'), ('0.338', '0.224'), ('0.346', '0.146')]('0.3352', '0.2266')
MLP                 current_bar         5                   1                   relu                False               False               [('0.366', '0.289'), ('0.384', '0.264'), ('0.373', '0.215'), ('0.386', '0.255'), ('0.406', '0.146')]('0.3830', '0.2338')
MLP                 current_bar         5                   1                   relu                False               False               [('0.366', '0.289'), ('0.384', '0.264'), ('0.373', '0.215'), ('0.386', '0.255'), ('0.406', '0.146')]('0.3830', '0.2338')
MLP                 current_bar         5                   1                   relu                False               False               [('0.366', '0.289'), ('0.384', '0.264'), ('0.373', '0.215'), ('0.386', '0.255'), ('0.406', '0.146')]('0.3830', '0.2338')
MLP                 current_bar         5                   1                   logistic            False               False               [('0.289', '0.353'), ('0.311', '0.270'), ('0.346', '0.209'), ('0.319', '0.236'), ('0.320', '0.089')]('0.3170', '0.2314')
MLP                 current_bar         5                   1                   logistic            False               False               [('0.289', '0.353'), ('0.311', '0.270'), ('0.346', '0.209'), ('0.319', '0.236'), ('0.320', '0.089')]('0.3170', '0.2314')
MLP                 current_bar         5                   1                   logistic            False               False               [('0.289', '0.353'), ('0.311', '0.270'), ('0.346', '0.209'), ('0.319', '0.236'), ('0.320', '0.089')]('0.3170', '0.2314')
MLP                 current_bar         5                   1                   tanh                False               False               [('0.344', '0.318'), ('0.371', '0.247'), ('0.361', '0.192'), ('0.360', '0.206'), ('0.383', '0.154')]('0.3638', '0.2234')
MLP                 current_bar         5                   1                   tanh                False               False               [('0.344', '0.318'), ('0.371', '0.247'), ('0.361', '0.192'), ('0.360', '0.206'), ('0.383', '0.154')]('0.3638', '0.2234')
MLP                 current_bar         5                   1                   tanh                False               False               [('0.344', '0.318'), ('0.371', '0.247'), ('0.361', '0.192'), ('0.360', '0.206'), ('0.383', '0.154')]('0.3638', '0.2234')
MLP                 current_bar         5                   1                   identity            False               True                [('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]('0.3076', '0.2524')
MLP                 current_bar         5                   1                   identity            False               True                [('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]('0.3076', '0.2524')
MLP                 current_bar         5                   1                   identity            False               True                [('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]('0.3076', '0.2524')
MLP                 current_bar         5                   1                   relu                False               True                [('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]('0.3076', '0.2524')
MLP                 current_bar         5                   1                   relu                False               True                [('0.289', '0.353'), ('0.311', '0.270'), ('0.299', '0.314'), ('0.319', '0.236'), ('0.320', '0.089')]('0.3076', '0.2524')
