MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,current_bar,5,1,relu,False,False,"[('0.354', '0.292'), ('0.375', '0.333'), ('0.414', '0.181'), ('0.376', '0.287'), ('0.354', '0.264'), ('0.366', '0.190'), ('0.387', '0.140'), ('0.370', '0.354'), ('0.360', '0.239'), ('0.388', '0.192')]","('0.3744', '0.2472')"
SVM,current_bar,5,1,sigmoid,False,False,"[('0.267', '0.215'), ('0.236', '0.352'), ('0.264', '0.255'), ('0.219', '0.250'), ('0.253', '0.194'), ('0.252', '0.300'), ('0.268', '0.186'), ('0.238', '0.177'), ('0.239', '0.324'), ('0.253', '0.231')]","('0.2489', '0.2484')"
MLP,current_bar,5,1,identity,False,True,"[('0.288', '0.462'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.294', '0.375'), ('0.312', '0.208'), ('0.298', '0.190'), ('0.320', '0.151'), ('0.299', '0.329'), ('0.302', '0.113'), ('0.307', '0.231')]","('0.3043', '0.2527')"
MLP,current_bar,5,1,relu,False,True,"[('0.288', '0.462'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.294', '0.375'), ('0.312', '0.208'), ('0.298', '0.190'), ('0.320', '0.151'), ('0.299', '0.329'), ('0.302', '0.113'), ('0.307', '0.231')]","('0.3043', '0.2527')"
MLP,current_bar,5,1,logistic,False,True,"[('0.288', '0.462'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.294', '0.375'), ('0.312', '0.208'), ('0.298', '0.190'), ('0.320', '0.151'), ('0.299', '0.329'), ('0.302', '0.113'), ('0.307', '0.231')]","('0.3043', '0.2527')"
MLP,current_bar,5,1,tanh,False,True,"[('0.288', '0.462'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.294', '0.375'), ('0.312', '0.208'), ('0.298', '0.190'), ('0.320', '0.151'), ('0.299', '0.329'), ('0.302', '0.113'), ('0.307', '0.231')]","('0.3043', '0.2527')"
SVM,current_bar,5,1,rbf,False,True,"[('0.288', '0.462'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.294', '0.375'), ('0.312', '0.208'), ('0.298', '0.190'), ('0.320', '0.151'), ('0.299', '0.329'), ('0.302', '0.113'), ('0.307', '0.231')]","('0.3043', '0.2527')"
SVM,current_bar,5,1,linear,False,True,"[('0.288', '0.462'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.294', '0.375'), ('0.312', '0.208'), ('0.298', '0.190'), ('0.320', '0.151'), ('0.299', '0.329'), ('0.302', '0.113'), ('0.307', '0.231')]","('0.3043', '0.2527')"
SVM,current_bar,5,1,sigmoid,False,True,"[('0.288', '0.462'), ('0.305', '0.287'), ('0.318', '0.181'), ('0.294', '0.375'), ('0.312', '0.208'), ('0.298', '0.190'), ('0.320', '0.151'), ('0.299', '0.329'), ('0.302', '0.113'), ('0.307', '0.231')]","('0.3043', '0.2527')"
MLP,current_bar,5,1,tanh,False,False,"[('0.338', '0.338'), ('0.349', '0.296'), ('0.383', '0.160'), ('0.358', '0.400'), ('0.356', '0.208'), ('0.358', '0.200'), ('0.362', '0.140'), ('0.331', '0.405'), ('0.364', '0.211'), ('0.364', '0.173')]","('0.3563', '0.2531')"
