MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,ngram_notes,2,1,sigmoid,False,False,"[('0.257', '0.254'), ('0.264', '0.161'), ('0.266', '0.250'), ('0.260', '0.170'), ('0.295', '0.252')]","('0.2684', '0.2174')"
SVM,ngram_notes,2,1,sigmoid,True,False,"[('0.257', '0.254'), ('0.264', '0.161'), ('0.266', '0.250'), ('0.260', '0.170'), ('0.295', '0.252')]","('0.2684', '0.2174')"
SVM,ngram_notes,8,4,sigmoid,False,False,"[('0.263', '0.335'), ('0.295', '0.272'), ('0.254', '0.229'), ('0.303', '0.204'), ('0.311', '0.076')]","('0.2852', '0.2232')"
SVM,ngram_notes,6,1,sigmoid,False,False,"[('0.237', '0.260'), ('0.264', '0.167'), ('0.257', '0.273'), ('0.268', '0.152'), ('0.246', '0.285')]","('0.2544', '0.2274')"
SVM,ngram_notes,6,1,sigmoid,True,False,"[('0.237', '0.260'), ('0.264', '0.167'), ('0.257', '0.273'), ('0.268', '0.152'), ('0.246', '0.285')]","('0.2544', '0.2274')"
SVM,ngram_notes,6,8,sigmoid,False,False,"[('0.273', '0.322'), ('0.290', '0.267'), ('0.307', '0.277'), ('0.306', '0.195'), ('0.332', '0.086')]","('0.3016', '0.2294')"
SVM,ngram_notes,7,8,sigmoid,False,False,"[('0.273', '0.322'), ('0.290', '0.267'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3020', '0.2294')"
SVM,ngram_notes,8,8,sigmoid,False,False,"[('0.273', '0.322'), ('0.290', '0.267'), ('0.305', '0.277'), ('0.308', '0.195'), ('0.330', '0.086')]","('0.3012', '0.2294')"
SVM,ngram_notes,2,8,sigmoid,False,False,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
SVM,ngram_notes,3,8,sigmoid,False,False,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
SVM,ngram_notes,4,8,sigmoid,False,False,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
SVM,ngram_notes,5,8,sigmoid,False,False,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
SVM,ngram_notes,1,8,sigmoid,True,False,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
SVM,ngram_notes,2,8,sigmoid,True,False,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
SVM,ngram_notes,3,8,sigmoid,True,False,"[('0.275', '0.322'), ('0.290', '0.274'), ('0.307', '0.277'), ('0.308', '0.195'), ('0.332', '0.086')]","('0.3024', '0.2308')"
