MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,previous_ngram_notes,4,1,identity,False,True,"[('0.282', '0.344'), ('0.308', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3006', '0.2173')"
LogReg,previous_ngram_notes,4,1,relu,False,True,"[('0.282', '0.344'), ('0.308', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3006', '0.2173')"
LogReg,previous_ngram_notes,4,1,logistic,False,True,"[('0.282', '0.344'), ('0.308', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3006', '0.2173')"
LogReg,previous_ngram_notes,4,1,tanh,False,True,"[('0.282', '0.344'), ('0.308', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3006', '0.2173')"
LogReg,previous_ngram_notes,4,1,identity,True,True,"[('0.282', '0.344'), ('0.309', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3007', '0.2173')"
LogReg,previous_ngram_notes,4,1,relu,True,True,"[('0.282', '0.344'), ('0.309', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3007', '0.2173')"
LogReg,previous_ngram_notes,4,1,logistic,True,True,"[('0.282', '0.344'), ('0.309', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3007', '0.2173')"
LogReg,previous_ngram_notes,4,1,tanh,True,True,"[('0.282', '0.344'), ('0.309', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3007', '0.2173')"
LogReg,previous_ngram_notes,4,1,identity,False,False,"[('0.286', '0.312'), ('0.307', '0.318'), ('0.309', '0.226'), ('0.328', '0.215'), ('0.296', '0.225'), ('0.309', '0.273'), ('0.324', '0.200'), ('0.309', '0.359'), ('0.313', '0.286'), ('0.302', '0.176')]","('0.3083', '0.2590')"
LogReg,previous_ngram_notes,4,1,relu,False,False,"[('0.286', '0.312'), ('0.307', '0.318'), ('0.309', '0.226'), ('0.328', '0.215'), ('0.296', '0.225'), ('0.309', '0.273'), ('0.324', '0.200'), ('0.309', '0.359'), ('0.313', '0.286'), ('0.302', '0.176')]","('0.3083', '0.2590')"
LogReg,previous_ngram_notes,4,1,identity,True,False,"[('0.968', '1.000'), ('0.967', '0.991'), ('0.966', '1.000'), ('0.971', '0.924'), ('0.970', '0.944'), ('0.967', '0.990'), ('0.972', '0.800'), ('0.968', '0.987'), ('0.967', '0.986'), ('0.976', '0.863')]","('0.9692', '0.9485')"
LogReg,previous_ngram_notes,4,1,relu,True,False,"[('0.968', '1.000'), ('0.967', '0.991'), ('0.966', '1.000'), ('0.971', '0.924'), ('0.970', '0.944'), ('0.967', '0.990'), ('0.972', '0.800'), ('0.968', '0.987'), ('0.967', '0.986'), ('0.976', '0.863')]","('0.9692', '0.9485')"
LogReg,previous_ngram_notes,4,1,logistic,True,False,"[('0.968', '1.000'), ('0.967', '0.991'), ('0.966', '1.000'), ('0.971', '0.924'), ('0.970', '0.944'), ('0.967', '0.990'), ('0.972', '0.800'), ('0.968', '0.987'), ('0.967', '0.986'), ('0.976', '0.863')]","('0.9692', '0.9485')"
LogReg,previous_ngram_notes,4,1,tanh,True,False,"[('0.968', '1.000'), ('0.967', '0.991'), ('0.966', '1.000'), ('0.971', '0.924'), ('0.970', '0.944'), ('0.967', '0.990'), ('0.972', '0.800'), ('0.968', '0.987'), ('0.967', '0.986'), ('0.976', '0.863')]","('0.9692', '0.9485')"
