MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,previous_ngram_notes,4,1,identity,False,True,"[('0.282', '0.344'), ('0.308', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3006', '0.2173')"
LogReg,previous_ngram_notes,4,1,relu,False,True,"[('0.282', '0.344'), ('0.308', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3006', '0.2173')"
LogReg,previous_ngram_notes,4,1,logistic,False,True,"[('0.282', '0.344'), ('0.308', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3006', '0.2173')"
LogReg,previous_ngram_notes,4,1,tanh,False,True,"[('0.282', '0.344'), ('0.308', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3006', '0.2173')"
LogReg,previous_ngram_notes,4,1,identity,True,True,"[('0.282', '0.344'), ('0.309', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3007', '0.2173')"
LogReg,previous_ngram_notes,4,1,relu,True,True,"[('0.282', '0.344'), ('0.309', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3007', '0.2173')"
LogReg,previous_ngram_notes,4,1,logistic,True,True,"[('0.282', '0.344'), ('0.309', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3007', '0.2173')"
LogReg,previous_ngram_notes,4,1,tanh,True,True,"[('0.282', '0.344'), ('0.309', '0.299'), ('0.320', '0.151'), ('0.299', '0.304'), ('0.316', '0.113'), ('0.302', '0.222'), ('0.303', '0.200'), ('0.289', '0.308'), ('0.299', '0.114'), ('0.288', '0.118')]","('0.3007', '0.2173')"
MLP,previous_ngram_notes,4,1,logistic,False,False,"[('0.305', '0.328'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.300', '0.342'), ('0.312', '0.211'), ('0.334', '0.192'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3106', '0.2336')"
SVM,previous_ngram_notes,4,1,linear,False,False,"[('0.285', '0.297'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.303', '0.228'), ('0.324', '0.197'), ('0.305', '0.212'), ('0.340', '0.188'), ('0.307', '0.333'), ('0.290', '0.300'), ('0.325', '0.157')]","('0.3103', '0.2385')"
MLP,previous_ngram_notes,4,1,identity,False,False,"[('0.282', '0.281'), ('0.307', '0.280'), ('0.313', '0.183'), ('0.309', '0.228'), ('0.301', '0.225'), ('0.310', '0.303'), ('0.339', '0.176'), ('0.294', '0.333'), ('0.298', '0.243'), ('0.309', '0.196')]","('0.3062', '0.2448')"
MLP,previous_ngram_notes,4,1,identity,True,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
MLP,previous_ngram_notes,4,1,relu,True,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
MLP,previous_ngram_notes,4,1,logistic,True,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
MLP,previous_ngram_notes,4,1,tanh,True,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,4,1,rbf,False,False,"[('0.300', '0.453'), ('0.317', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.323', '0.211'), ('0.309', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.312', '0.100'), ('0.318', '0.216')]","('0.3114', '0.2489')"
SVM,previous_ngram_notes,4,1,rbf,False,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,4,1,linear,False,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,5,1,sigmoid,False,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,4,1,rbf,True,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
SVM,previous_ngram_notes,4,1,linear,True,True,"[('0.289', '0.453'), ('0.305', '0.290'), ('0.319', '0.183'), ('0.295', '0.380'), ('0.312', '0.211'), ('0.299', '0.182'), ('0.321', '0.153'), ('0.300', '0.321'), ('0.302', '0.100'), ('0.308', '0.216')]","('0.3050', '0.2489')"
