MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,previous_ngram_notes,4,1,linear,False,False,"[('0.295', '0.331'), ('0.316', '0.243'), ('0.328', '0.281'), ('0.323', '0.280'), ('0.321', '0.082')]","('0.3166', '0.2434')"
MLP,previous_ngram_notes,4,1,identity,False,False,"[('0.281', '0.302'), ('0.321', '0.243'), ('0.301', '0.251'), ('0.345', '0.250'), ('0.322', '0.180')]","('0.3140', '0.2452')"
MLP,previous_ngram_notes,4,1,logistic,False,False,"[('0.289', '0.349'), ('0.312', '0.272'), ('0.311', '0.292'), ('0.320', '0.238'), ('0.321', '0.082')]","('0.3106', '0.2466')"
LogReg,previous_ngram_notes,4,1,identity,False,True,"[('0.272', '0.384'), ('0.307', '0.272'), ('0.287', '0.246'), ('0.314', '0.256'), ('0.324', '0.082')]","('0.3008', '0.2480')"
LogReg,previous_ngram_notes,4,1,relu,False,True,"[('0.272', '0.384'), ('0.307', '0.272'), ('0.287', '0.246'), ('0.314', '0.256'), ('0.324', '0.082')]","('0.3008', '0.2480')"
LogReg,previous_ngram_notes,4,1,logistic,False,True,"[('0.272', '0.384'), ('0.307', '0.272'), ('0.287', '0.246'), ('0.314', '0.256'), ('0.324', '0.082')]","('0.3008', '0.2480')"
LogReg,previous_ngram_notes,4,1,tanh,False,True,"[('0.272', '0.384'), ('0.307', '0.272'), ('0.287', '0.246'), ('0.314', '0.256'), ('0.324', '0.082')]","('0.3008', '0.2480')"
LogReg,previous_ngram_notes,4,1,identity,True,True,"[('0.272', '0.384'), ('0.307', '0.272'), ('0.287', '0.246'), ('0.314', '0.256'), ('0.324', '0.082')]","('0.3008', '0.2480')"
LogReg,previous_ngram_notes,4,1,relu,True,True,"[('0.272', '0.384'), ('0.307', '0.272'), ('0.287', '0.246'), ('0.314', '0.256'), ('0.324', '0.082')]","('0.3008', '0.2480')"
LogReg,previous_ngram_notes,4,1,logistic,True,True,"[('0.272', '0.384'), ('0.307', '0.272'), ('0.287', '0.246'), ('0.314', '0.256'), ('0.324', '0.082')]","('0.3008', '0.2480')"
LogReg,previous_ngram_notes,4,1,tanh,True,True,"[('0.272', '0.384'), ('0.307', '0.272'), ('0.287', '0.246'), ('0.314', '0.256'), ('0.324', '0.082')]","('0.3008', '0.2480')"
MLP,previous_ngram_notes,4,1,identity,True,True,"[('0.289', '0.349'), ('0.312', '0.272'), ('0.300', '0.316'), ('0.320', '0.238'), ('0.321', '0.082')]","('0.3084', '0.2514')"
MLP,previous_ngram_notes,4,1,relu,True,True,"[('0.289', '0.349'), ('0.312', '0.272'), ('0.300', '0.316'), ('0.320', '0.238'), ('0.321', '0.082')]","('0.3084', '0.2514')"
MLP,previous_ngram_notes,4,1,logistic,True,True,"[('0.289', '0.349'), ('0.312', '0.272'), ('0.300', '0.316'), ('0.320', '0.238'), ('0.321', '0.082')]","('0.3084', '0.2514')"
MLP,previous_ngram_notes,4,1,tanh,True,True,"[('0.289', '0.349'), ('0.312', '0.272'), ('0.300', '0.316'), ('0.320', '0.238'), ('0.321', '0.082')]","('0.3084', '0.2514')"
SVM,previous_ngram_notes,4,1,rbf,False,False,"[('0.302', '0.349'), ('0.312', '0.272'), ('0.312', '0.316'), ('0.320', '0.238'), ('0.321', '0.082')]","('0.3134', '0.2514')"
SVM,previous_ngram_notes,4,1,rbf,True,False,"[('0.302', '0.349'), ('0.324', '0.272'), ('0.334', '0.316'), ('0.332', '0.238'), ('0.331', '0.082')]","('0.3246', '0.2514')"
SVM,previous_ngram_notes,4,1,rbf,False,True,"[('0.289', '0.349'), ('0.312', '0.272'), ('0.300', '0.316'), ('0.320', '0.238'), ('0.321', '0.082')]","('0.3084', '0.2514')"
