MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
SVM,ngram_notes,2,8,linear,False,False,"[('0.944', '0.300'), ('0.817', '0.357'), ('0.780', '0.133'), ('0.892', '0.111'), ('0.884', '0.400'), ('0.812', '0.400'), ('0.817', '0.000'), ('0.778', '0.000'), ('0.795', '0.000'), ('0.797', '0.000')]","('0.8316', '0.1701')"
LogReg,ngram_notes,2,8,identity,False,True,"[('0.407', '0.450'), ('0.350', '0.000'), ('0.475', '0.133'), ('0.400', '0.444'), ('0.420', '0.200'), ('0.406', '0.400'), ('0.408', '0.333'), ('0.417', '0.000'), ('0.397', '0.000'), ('0.405', '0.000')]","('0.4085', '0.1960')"
LogReg,ngram_notes,2,8,relu,False,True,"[('0.407', '0.450'), ('0.350', '0.000'), ('0.475', '0.133'), ('0.400', '0.444'), ('0.420', '0.200'), ('0.406', '0.400'), ('0.408', '0.333'), ('0.417', '0.000'), ('0.397', '0.000'), ('0.405', '0.000')]","('0.4085', '0.1960')"
LogReg,ngram_notes,2,8,logistic,False,True,"[('0.407', '0.450'), ('0.350', '0.000'), ('0.475', '0.133'), ('0.400', '0.444'), ('0.420', '0.200'), ('0.406', '0.400'), ('0.408', '0.333'), ('0.417', '0.000'), ('0.397', '0.000'), ('0.405', '0.000')]","('0.4085', '0.1960')"
LogReg,ngram_notes,2,8,tanh,False,True,"[('0.407', '0.450'), ('0.350', '0.000'), ('0.475', '0.133'), ('0.400', '0.444'), ('0.420', '0.200'), ('0.406', '0.400'), ('0.408', '0.333'), ('0.417', '0.000'), ('0.397', '0.000'), ('0.405', '0.000')]","('0.4085', '0.1960')"
LogReg,ngram_notes,2,8,identity,True,True,"[('0.407', '0.450'), ('0.350', '0.000'), ('0.475', '0.133'), ('0.400', '0.444'), ('0.420', '0.200'), ('0.406', '0.400'), ('0.408', '0.333'), ('0.417', '0.000'), ('0.397', '0.000'), ('0.405', '0.000')]","('0.4085', '0.1960')"
LogReg,ngram_notes,2,8,relu,True,True,"[('0.407', '0.450'), ('0.350', '0.000'), ('0.475', '0.133'), ('0.400', '0.444'), ('0.420', '0.200'), ('0.406', '0.400'), ('0.408', '0.333'), ('0.417', '0.000'), ('0.397', '0.000'), ('0.405', '0.000')]","('0.4085', '0.1960')"
LogReg,ngram_notes,2,8,logistic,True,True,"[('0.407', '0.450'), ('0.350', '0.000'), ('0.475', '0.133'), ('0.400', '0.444'), ('0.420', '0.200'), ('0.406', '0.400'), ('0.408', '0.333'), ('0.417', '0.000'), ('0.397', '0.000'), ('0.405', '0.000')]","('0.4085', '0.1960')"
LogReg,ngram_notes,2,8,tanh,True,True,"[('0.407', '0.450'), ('0.350', '0.000'), ('0.475', '0.133'), ('0.400', '0.444'), ('0.420', '0.200'), ('0.406', '0.400'), ('0.408', '0.333'), ('0.417', '0.000'), ('0.397', '0.000'), ('0.405', '0.000')]","('0.4085', '0.1960')"
MLP,ngram_notes,3,8,identity,True,False,"[('0.667', '0.400'), ('0.600', '0.286'), ('0.661', '0.133'), ('0.600', '0.444'), ('0.580', '0.200'), ('0.638', '0.600'), ('0.634', '0.000'), ('0.583', '0.000'), ('0.603', '0.000'), ('0.649', '0.000')]","('0.6215', '0.2063')"
