MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,ngram_notes,1,8,tanh,False,True,"[('0.225', '0.147'), ('0.480', '0.167'), ('0.429', '0.273'), ('0.420', '0.200'), ('0.446', '0.000')]","('0.4000', '0.1574')"
LogReg,ngram_notes,1,8,tanh,True,True,"[('0.225', '0.147'), ('0.480', '0.167'), ('0.429', '0.273'), ('0.420', '0.200'), ('0.432', '0.000')]","('0.3972', '0.1574')"
LogReg,ngram_notes,2,8,tanh,False,True,"[('0.250', '0.147'), ('0.520', '0.208'), ('0.429', '0.273'), ('0.406', '0.200'), ('0.405', '0.000')]","('0.4020', '0.1656')"
LogReg,ngram_notes,2,8,tanh,True,True,"[('0.250', '0.147'), ('0.520', '0.208'), ('0.429', '0.273'), ('0.406', '0.200'), ('0.405', '0.000')]","('0.4020', '0.1656')"
LogReg,ngram_notes,4,8,tanh,False,True,"[('0.250', '0.176'), ('0.460', '0.250'), ('0.397', '0.273'), ('0.464', '0.200'), ('0.419', '0.000')]","('0.3980', '0.1798')"
LogReg,ngram_notes,4,8,tanh,True,True,"[('0.250', '0.176'), ('0.460', '0.250'), ('0.397', '0.273'), ('0.464', '0.200'), ('0.419', '0.000')]","('0.3980', '0.1798')"
LogReg,ngram_notes,3,7,tanh,False,True,"[('0.180', '0.139'), ('0.433', '0.231'), ('0.403', '0.214'), ('0.390', '0.333'), ('0.376', '0.000')]","('0.3564', '0.1834')"
LogReg,ngram_notes,3,7,tanh,True,True,"[('0.180', '0.139'), ('0.433', '0.231'), ('0.403', '0.214'), ('0.390', '0.333'), ('0.376', '0.000')]","('0.3564', '0.1834')"
LogReg,ngram_notes,3,8,tanh,False,True,"[('0.250', '0.206'), ('0.460', '0.250'), ('0.429', '0.273'), ('0.435', '0.200'), ('0.419', '0.000')]","('0.3986', '0.1858')"
LogReg,ngram_notes,5,8,tanh,False,True,"[('0.350', '0.206'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.464', '0.200'), ('0.419', '0.000')]","('0.4212', '0.1858')"
LogReg,ngram_notes,3,8,tanh,True,True,"[('0.250', '0.206'), ('0.460', '0.250'), ('0.429', '0.273'), ('0.435', '0.200'), ('0.419', '0.000')]","('0.3986', '0.1858')"
LogReg,ngram_notes,5,8,tanh,True,True,"[('0.350', '0.206'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.464', '0.200'), ('0.419', '0.000')]","('0.4212', '0.1858')"
LogReg,ngram_notes,2,8,tanh,False,False,"[('1.000', '0.382'), ('0.840', '0.167'), ('0.810', '0.182'), ('0.783', '0.200'), ('0.730', '0.000')]","('0.8326', '0.1862')"
LogReg,ngram_notes,4,7,tanh,False,True,"[('0.260', '0.167'), ('0.433', '0.231'), ('0.403', '0.214'), ('0.416', '0.333'), ('0.376', '0.000')]","('0.3776', '0.1890')"
LogReg,ngram_notes,4,7,tanh,True,True,"[('0.260', '0.167'), ('0.433', '0.231'), ('0.403', '0.214'), ('0.416', '0.333'), ('0.376', '0.000')]","('0.3776', '0.1890')"
LogReg,ngram_notes,5,7,tanh,False,True,"[('0.300', '0.194'), ('0.433', '0.231'), ('0.389', '0.214'), ('0.429', '0.333'), ('0.400', '0.000')]","('0.3902', '0.1944')"
LogReg,ngram_notes,6,7,tanh,False,True,"[('0.300', '0.194'), ('0.433', '0.231'), ('0.417', '0.214'), ('0.429', '0.333'), ('0.400', '0.000')]","('0.3958', '0.1944')"
LogReg,ngram_notes,7,7,tanh,False,True,"[('0.280', '0.194'), ('0.433', '0.231'), ('0.444', '0.214'), ('0.416', '0.333'), ('0.400', '0.000')]","('0.3946', '0.1944')"
LogReg,ngram_notes,5,7,tanh,True,True,"[('0.300', '0.194'), ('0.433', '0.231'), ('0.389', '0.214'), ('0.429', '0.333'), ('0.400', '0.000')]","('0.3902', '0.1944')"
LogReg,ngram_notes,6,7,tanh,True,True,"[('0.300', '0.194'), ('0.433', '0.231'), ('0.417', '0.214'), ('0.429', '0.333'), ('0.400', '0.000')]","('0.3958', '0.1944')"
