MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,ngram_notes,2,7,relu,True,False,"[('0.420', '0.278'), ('0.600', '0.231'), ('0.444', '0.214'), ('0.519', '0.111'), ('0.529', '0.000')]","('0.5024', '0.1668')"
MLP,ngram_notes,2,7,relu,False,False,"[('0.420', '0.306'), ('0.583', '0.231'), ('0.403', '0.214'), ('0.506', '0.111'), ('0.482', '0.000')]","('0.4788', '0.1724')"
MLP,ngram_notes,3,7,relu,False,False,"[('0.440', '0.278'), ('0.583', '0.192'), ('0.458', '0.286'), ('0.545', '0.111'), ('0.518', '0.000')]","('0.5088', '0.1734')"
MLP,ngram_notes,3,8,relu,True,False,"[('0.550', '0.353'), ('0.620', '0.250'), ('0.540', '0.273'), ('0.609', '0.000'), ('0.662', '0.000')]","('0.5962', '0.1752')"
MLP,ngram_notes,3,7,relu,True,False,"[('0.480', '0.250'), ('0.600', '0.231'), ('0.500', '0.286'), ('0.558', '0.111'), ('0.553', '0.000')]","('0.5382', '0.1756')"
MLP,ngram_notes,5,7,relu,True,False,"[('0.640', '0.333'), ('0.617', '0.154'), ('0.667', '0.286'), ('0.688', '0.111'), ('0.729', '0.000')]","('0.6682', '0.1768')"
MLP,ngram_notes,6,7,relu,True,False,"[('0.700', '0.278'), ('0.650', '0.231'), ('0.681', '0.286'), ('0.688', '0.111'), ('0.729', '0.000')]","('0.6896', '0.1812')"
MLP,ngram_notes,3,8,relu,False,False,"[('0.525', '0.382'), ('0.540', '0.292'), ('0.524', '0.273'), ('0.580', '0.000'), ('0.622', '0.000')]","('0.5582', '0.1894')"
MLP,ngram_notes,4,8,relu,False,False,"[('0.625', '0.382'), ('0.620', '0.292'), ('0.540', '0.273'), ('0.609', '0.000'), ('0.662', '0.000')]","('0.6112', '0.1894')"
MLP,ngram_notes,4,7,relu,False,False,"[('0.520', '0.333'), ('0.583', '0.231'), ('0.486', '0.286'), ('0.610', '0.111'), ('0.588', '0.000')]","('0.5574', '0.1922')"
MLP,ngram_notes,5,8,relu,False,False,"[('0.725', '0.412'), ('0.680', '0.292'), ('0.651', '0.273'), ('0.667', '0.000'), ('0.689', '0.000')]","('0.6824', '0.1954')"
MLP,ngram_notes,1,8,relu,False,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,2,8,relu,False,False,"[('0.325', '0.265'), ('0.460', '0.250'), ('0.444', '0.273'), ('0.464', '0.200'), ('0.514', '0.000')]","('0.4414', '0.1976')"
MLP,ngram_notes,1,8,relu,True,False,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,1,8,relu,True,True,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,2,8,relu,True,True,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,3,8,relu,True,True,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,4,8,relu,True,True,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,5,8,relu,True,True,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,6,8,relu,True,True,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,7,8,relu,True,True,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,8,8,relu,True,True,"[('0.300', '0.265'), ('0.460', '0.250'), ('0.413', '0.273'), ('0.406', '0.200'), ('0.392', '0.000')]","('0.3942', '0.1976')"
MLP,ngram_notes,6,7,relu,False,False,"[('0.680', '0.278'), ('0.650', '0.269'), ('0.653', '0.357'), ('0.675', '0.111'), ('0.718', '0.000')]","('0.6752', '0.2030')"
MLP,ngram_notes,2,8,relu,True,False,"[('0.350', '0.294'), ('0.540', '0.250'), ('0.492', '0.273'), ('0.507', '0.200'), ('0.568', '0.000')]","('0.4914', '0.2034')"
MLP,ngram_notes,5,7,relu,False,False,"[('0.640', '0.333'), ('0.600', '0.231'), ('0.597', '0.357'), ('0.662', '0.111'), ('0.659', '0.000')]","('0.6316', '0.2064')"
MLP,ngram_notes,8,7,relu,True,False,"[('0.820', '0.389'), ('0.683', '0.269'), ('0.750', '0.286'), ('0.766', '0.111'), ('0.776', '0.000')]","('0.7590', '0.2110')"
MLP,ngram_notes,1,7,relu,False,False,"[('0.380', '0.278'), ('0.433', '0.231'), ('0.403', '0.214'), ('0.377', '0.333'), ('0.388', '0.000')]","('0.3962', '0.2112')"
MLP,ngram_notes,1,7,relu,True,False,"[('0.380', '0.278'), ('0.433', '0.231'), ('0.417', '0.214'), ('0.455', '0.333'), ('0.459', '0.000')]","('0.4288', '0.2112')"
MLP,ngram_notes,1,7,relu,True,True,"[('0.380', '0.278'), ('0.433', '0.231'), ('0.403', '0.214'), ('0.377', '0.333'), ('0.376', '0.000')]","('0.3938', '0.2112')"
MLP,ngram_notes,2,7,relu,True,True,"[('0.380', '0.278'), ('0.433', '0.231'), ('0.403', '0.214'), ('0.377', '0.333'), ('0.376', '0.000')]","('0.3938', '0.2112')"
MLP,ngram_notes,3,7,relu,True,True,"[('0.380', '0.278'), ('0.433', '0.231'), ('0.403', '0.214'), ('0.377', '0.333'), ('0.376', '0.000')]","('0.3938', '0.2112')"
MLP,ngram_notes,4,7,relu,True,True,"[('0.380', '0.278'), ('0.433', '0.231'), ('0.403', '0.214'), ('0.377', '0.333'), ('0.376', '0.000')]","('0.3938', '0.2112')"
