RATIOS-
[0.1534090909090909, 0.125, 0.125, 0.09090909090909091, 0.06818181818181818, 0.06818181818181818, 0.10227272727272728, 0.09090909090909091, 0.08522727272727272, 0.06818181818181818]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.452', '0.577'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.462', '0.625'), ('0.465', '0.467'), ('0.487', '0.429'), ('0.478', '0.273')]('0.4865', '0.4029')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.452', '0.577'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.462', '0.625'), ('0.465', '0.467'), ('0.487', '0.429'), ('0.478', '0.273')]('0.4865', '0.4029')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.452', '0.577'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.462', '0.625'), ('0.465', '0.467'), ('0.487', '0.429'), ('0.478', '0.273')]('0.4865', '0.4029')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.737', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7482', '0.7099')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.737', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7482', '0.7099')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.737', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7482', '0.7099')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.764', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.764', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7507', '0.7099')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.764', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.764', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7507', '0.7099')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.764', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.764', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7507', '0.7099')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
