MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
LogReg,previous_ngram_notes,4,1,identity,False,True,"[('0.272', '0.340'), ('0.467', '0.297'), ('0.383', '0.226'), ('0.357', '0.375'), ('0.347', '0.636')]","('0.3652', '0.3748')"
LogReg,previous_ngram_notes,4,1,relu,False,True,"[('0.272', '0.340'), ('0.467', '0.297'), ('0.383', '0.226'), ('0.357', '0.375'), ('0.347', '0.636')]","('0.3652', '0.3748')"
LogReg,previous_ngram_notes,4,1,logistic,False,True,"[('0.272', '0.340'), ('0.467', '0.297'), ('0.383', '0.226'), ('0.357', '0.375'), ('0.347', '0.636')]","('0.3652', '0.3748')"
LogReg,previous_ngram_notes,4,1,tanh,False,True,"[('0.272', '0.340'), ('0.467', '0.297'), ('0.383', '0.226'), ('0.357', '0.375'), ('0.347', '0.636')]","('0.3652', '0.3748')"
LogReg,previous_ngram_notes,4,1,identity,True,True,"[('0.272', '0.340'), ('0.467', '0.297'), ('0.383', '0.226'), ('0.357', '0.375'), ('0.347', '0.636')]","('0.3652', '0.3748')"
LogReg,previous_ngram_notes,4,1,relu,True,True,"[('0.272', '0.340'), ('0.467', '0.297'), ('0.383', '0.226'), ('0.357', '0.375'), ('0.347', '0.636')]","('0.3652', '0.3748')"
LogReg,previous_ngram_notes,4,1,logistic,True,True,"[('0.272', '0.340'), ('0.467', '0.297'), ('0.383', '0.226'), ('0.357', '0.375'), ('0.347', '0.636')]","('0.3652', '0.3748')"
LogReg,previous_ngram_notes,4,1,tanh,True,True,"[('0.272', '0.340'), ('0.467', '0.297'), ('0.383', '0.226'), ('0.357', '0.375'), ('0.347', '0.636')]","('0.3652', '0.3748')"
LogReg,previous_ngram_notes,4,1,identity,False,False,"[('0.472', '0.489'), ('0.607', '0.270'), ('0.532', '0.355'), ('0.543', '0.406'), ('0.467', '0.727')]","('0.5242', '0.4494')"
LogReg,previous_ngram_notes,4,1,relu,False,False,"[('0.472', '0.489'), ('0.607', '0.270'), ('0.532', '0.355'), ('0.543', '0.406'), ('0.467', '0.727')]","('0.5242', '0.4494')"
SVM,previous_ngram_notes,5,1,sigmoid,False,False,"[('0.432', '0.617'), ('0.459', '0.270'), ('0.447', '0.323'), ('0.407', '0.406'), ('0.413', '0.636')]","('0.4316', '0.4504')"
SVM,previous_ngram_notes,5,1,sigmoid,True,False,"[('0.440', '0.617'), ('0.496', '0.270'), ('0.461', '0.323'), ('0.407', '0.438'), ('0.420', '0.636')]","('0.4448', '0.4568')"
MLP,previous_ngram_notes,4,1,identity,False,False,"[('0.432', '0.617'), ('0.548', '0.270'), ('0.511', '0.355'), ('0.464', '0.469'), ('0.447', '0.591')]","('0.4804', '0.4604')"
